
TABLE II. (Part 4)  Provisional cases of selected notifiable diseases, United States, week ending January 20, 2007 (WEEK 03)*

column labels in same order that data fields appears in each record below:
Reporting Area
Lyme disease current week
Lyme disease previous 52 weeks median 
Lyme disease previous 52 weeks maximum 
Lyme disease cummulative for 2007
Lyme disease cummulative for 2006
Malaria current week
Malaria previous 52 weeks median 
Malaria previous 52 weeks maximum 
Malaria cummulative for 2007
Malaria cummulative for 2006
Meningococcal diseases, invasive †, all serogroups current week
Meningococcal diseases, invasive †, all serogroups previous 52 weeks median 
Meningococcal diseases, invasive †, all serogroups previous 52 weeks maximum 
Meningococcal diseases, invasive †, all serogroups cummulative for 2007
Meningococcal diseases, invasive †, all serogroups cummulative for 2006

tab delimited data:
test
UNITED STATES	113	238	1,001	214	221	7	25	39	22	61	9	20	45	29	74						
NEW ENGLAND	3	18	260	5	12	-	0	6	-	2	1	1	3	1	3						
Conn.	3	8	227	4	-	-	0	3	-	-	1	0	2	1	-						
Maine	-	1	34	-	3	-	0	1	-	-	-	0	2	-	2						
Mass.	-	0	3	-	6	-	0	3	-	2	-	0	2	-	1						
N.H.	-	3	95	-	3	-	0	3	-	-	-	0	2	-	-						
R.I.	-	0	93	-	-	-	0	1	-	-	-	0	1	-	-						
Vt.	-	1	15	1	-	-	0	1	-	-	-	0	1	-	-						
MID. ATLANTIC	101	139	556	150	138	1	5	13	4	14	1	3	11	2	16						
N.J.	-	27	185	1	52	-	0	3	-	4	-	0	2	-	1						
N.Y. (Upstate)	6	59	250	26	6	1	1	7	3	-	-	0	4	-	2						
N.Y. City	-	1	18	-	-	-	3	9	1	7	-	1	4	1	7						
Pa.	95	36	231	123	80	-	1	4	-	3	1	0	4	1	6						
E.N. CENTRAL	-	11	153	1	14	1	2	7	3	8	2	2	12	4	11						
Ill.	-	0	0	-	-	-	1	5	1	5	-	0	3	-	5						
Ind.	-	0	3	-	-	-	0	3	-	-	-	0	5	-	-						
Mich.	-	1	5	1	2	-	0	2	-	-	1	0	3	1	2						
Ohio	-	0	5	-	2	1	0	3	2	1	1	1	4	3	2						
Wis.	-	10	149	-	10	-	0	2	-	2	-	0	2	-	2						
W.N. CENTRAL	-	5	169	1	-	1	0	14	1	4	1	1	4	4	4						
Iowa	-	1	8	-	-	-	0	1	-	-	-	0	2	-	-						
Kans.	-	0	2	1	-	-	0	2	-	-	-	0	1	-	-						
Minn.	-	2	167	-	-	-	0	12	-	2	-	0	3	-	-						
Mo.	-	0	2	-	-	-	0	1	-	1	1	0	2	4	1						
Nebr.	-	0	2	-	-	1	0	1	1	-	-	0	2	-	3						
N. Dak.	-	0	0	-	-	-	0	1	-	-	-	0	1	-	-						
S. Dak.	-	0	1	-	-	-	0	0	-	1	-	0	1	-	-						
S. ATLANTIC	9	32	121	55	54	4	6	14	10	15	4	4	14	9	4						
Del.	3	7	28	18	14	-	0	1	-	-	-	0	1	-	1						
D.C.	-	0	7	-	1	-	0	2	-	-	-	0	1	-	-						
Fla.	1	1	5	3	1	1	1	4	3	3	2	2	7	5	2						
Ga.	-	0	1	-	1	-	1	6	2	6	-	0	3	2	-						
Md.	5	16	78	34	33	2	1	5	4	2	1	0	2	1	1						
N.C.	-	0	4	-	4	1	0	4	1	3	-	0	11	-	-						
S.C.	-	0	2	-	-	-	0	2	-	-	1	0	2	1	-						
Va.	-	4	29	-	-	-	1	4	-	1	-	0	4	-	-						
W. Va.	-	0	6	-	-	-	0	1	-	-	-	0	2	-	-						
E.S. CENTRAL	-	0	3	-	-	-	0	3	1	1	-	1	3	2	1						
Ala.	-	0	3	-	-	-	0	2	-	1	-	0	2	-	-						
Ky.	-	0	2	-	-	-	0	1	-	-	-	0	1	-	1						
Miss.	-	0	1	-	-	-	0	1	1	-	-	0	2	2	-						
Tenn.	-	0	2	-	-	-	0	2	-	-	-	0	2	-	-						
W.S. CENTRAL	-	0	3	-	-	-	1	7	-	1	-	1	4	1	1						
Ark.	-	0	0	-	-	-	0	2	-	-	-	0	1	-	1						
La.	-	0	0	-	-	-	0	1	-	-	-	0	2	-	-						
Okla.	-	0	0	-	-	-	0	2	-	-	-	0	3	-	-						
Tex.	-	0	3	-	-	-	1	6	-	1	-	0	3	1	-						
MOUNTAIN	-	0	3	-	-	-	1	6	-	2	-	1	5	-	8						
Ariz.	-	0	2	-	-	-	0	3	-	1	-	0	3	-	2						
Colo.	-	0	1	-	-	-	0	2	-	1	-	0	2	-	4						
Idaho	-	0	2	-	-	-	0	1	-	-	-	0	1	-	-						
Mont.	-	0	0	-	-	-	0	1	-	-	-	0	1	-	-						
Nev.	-	0	1	-	-	-	0	1	-	-	-	0	1	-	-						
N. Mex.	-	0	1	-	-	-	0	1	-	-	-	0	1	-	-						
Utah	-	0	1	-	-	-	0	2	-	-	-	0	1	-	2						
Wyo.	-	0	1	-	-	-	0	0	-	-	-	0	2	-	-						
PACIFIC	-	3	10	2	3	-	4	13	3	14	-	5	16	6	26						
Alaska	-	0	1	-	-	-	0	4	-	2	-	0	1	-	1						
Calif.	-	2	8	2	3	-	3	8	-	11	-	3	10	4	13						
Hawaii	N	0	0	N	N	-	0	2	-	-	-	0	2	-	-						
Oreg.	-	0	2	-	-	-	0	3	3	1	-	0	4	1	11						
Wash.	-	0	1	-	-	-	0	4	-	-	-	0	5	1	1						
Amer. Samoa	U	0	0	U	U	U	0	0	U	U	U	0	0	-	-						
C.N.M.I.	U	0	0	U	U	U	0	0	U	U	U	0	0	-	-						
Guam	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
P.R.	N	0	0	N	N	-	0	1	-	-	-	0	1	-	-						
V.I.	U	0	0	U	U	U	0	0	U	U	U	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2006 and 2007 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Data for meningococcal disease, invasive caused by serogroups A, C, Y, & W-135; serogroup B; other serogroup; and 
unknown serogroup are available in Table I.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


