
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending October 22, 2005 (WEEK 42)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 2005
AIDS § cummulative for 2004
Chlamydia† cummulative for 2005
Chlamydia† cummulative for 2004
Coccidioidomycosis cummulative for 2005
Coccidioidomycosis cummulative for 2004
Cryptosporidiosis cummulative for 2005
Cryptosporidiosis cummulative for 2004

tab delimited data:
test
UNITED STATES	20,405	31,825	736,813	741,868	3,669	4,685	5,812	2,966													
NEW ENGLAND	778	1,087	25,406	24,568	-	-	279	154													
Maine	11	20	1,798	1,672	N	N	23	18													
N.H.	20	36	1,446	1,401	-	-	29	27													
Vt.	4	14	779	918	-	-	33	22													
Mass.	368	389	11,475	10,809	-	-	114	56													
R.I.	68	114	2,654	2,775	-	-	7	4													
Conn.	307	514	7,254	6,993	N	N	73	27													
MID. ATLANTIC	4,352	7,087	91,901	90,645	-	-	2,476	445													
Upstate N.Y.	800	776	18,281	18,269	N	N	2,114	113													
N.Y. City	2,327	4,032	29,431	27,934	-	-	95	112													
N.J.	574	1,188	14,105	14,332	N	N	47	41													
Pa.	651	1,091	30,084	30,110	N	N	220	179													
E.N. CENTRAL	1,938	2,673	119,261	131,081	8	12	1,288	911													
Ohio	312	504	32,199	32,021	N	N	702	194													
Ind.	236	285	16,371	15,037	N	N	64	69													
Ill.	983	1,267	35,310	38,576	-	-	108	138													
Mich.	322	485	20,389	29,996	8	12	86	130													
Wis.	85	132	14,992	15,451	N	N	328	380													
W.N. CENTRAL	463	626	45,613	45,835	5	6	506	341													
Minn.	123	148	9,063	9,582	3	N	114	118													
Iowa	50	50	5,696	5,615	N	N	100	68													
Mo.	198	267	18,060	16,944	1	3	228	62													
N. Dak.	5	15	921	1,489	N	N	1	10													
S. Dak.	10	8	2,227	2,032	-	-	24	33													
Nebr.	18	44	4,041	4,173	1	3	7	25													
Kans.	59	94	5,605	6,000	N	N	32	25													
S. ATLANTIC	6,473	9,843	142,540	139,462	1	-	560	450													
Del.	100	118	2,737	2,365	N	N	3	-													
Md.	812	1,286	15,103	15,320	1	-	33	18													
D.C.	467	625	3,085	2,876	-	-	10	14													
Va.	307	507	16,983	18,103	-	-	52	52													
W. Va.	36	71	2,096	2,286	N	N	13	5													
N.C.	531	472	26,211	22,926	N	N	70	70													
S.C.	386	639	17,055	15,478	-	-	15	20													
Ga.	1,103	1,299	24,631	26,307	-	-	94	157													
Fla.	2,731	4,826	34,639	33,801	N	N	270	114													
E.S. CENTRAL	1,093	1,546	55,232	48,618	-	5	176	119													
Ky.	135	183	7,163	4,591	N	N	124	38													
Tenn.	434	617	19,334	18,235	N	N	32	33													
Ala.	295	381	11,855	10,899	-	-	16	21													
Miss.	229	365	16,880	14,893	-	5	4	27													
W.S. CENTRAL	2,206	3,870	85,271	90,815	1	3	166	113													
Ark.	72	175	7,049	6,529	-	1	4	13													
La.	436	704	12,572	18,248	1	2	73	3													
Okla.	167	147	9,236	8,960	N	N	37	20													
Tex.	1,531	2,844	56,414	57,078	N	N	52	77													
MOUNTAIN	789	1,127	42,615	45,129	2,556	2,918	107	145													
Mont.	4	5	1,656	1,955	N	N	16	34													
Idaho	9	16	1,826	2,252	N	N	11	23													
Wyo.	2	14	928	849	3	2	2	3													
Colo.	163	247	11,068	11,561	N	N	40	50													
N. Mex.	72	148	4,394	7,242	12	20	4	14													
Ariz.	329	403	14,118	13,133	2,504	2,823	10	15													
Utah	33	51	3,518	3,012	5	21	15	4													
Nev.	177	243	5,107	5,125	32	52	9	2													
PACIFIC	2,313	3,966	128,974	125,715	1,098	1,741	254	288													
Wash.	229	309	15,024	14,093	N	N	41	33													
Oreg.	136	236	6,327	6,725	-	-	59	29													
Calif.	1,874	3,284	101,687	97,382	1,098	1,741	150	224													
Alaska	14	43	3,227	3,110	-	-	3	-													
Hawaii	60	94	2,709	4,405	-	-	1	2													
Guam	1	1	-	803	-	-	-	-													
P.R.	537	613	2,901	2,724	N	N	N	N													
V.I.	10	11	119	285	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	2	U	-	U	-	U	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting year 2005 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


