
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending September 4, 2004 (WEEK 35)*

column labels in same order that data fields appears in each record below:
Reporting Area
Salmonellosis cummulative for 2004
Salmonellosis cummulative for 2003
Shigellosis cummulative for 2004
Shigellosis cummulative for 2003
Streptococcal Disease, Invasive, Group A cummulative for 2004
Streptococcal Disease, Invasive, Group A cummulative for 2003
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2004
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2003
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2004
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2003

tab delimited data:
test
UNITED STATES	24,760	26,776	7,302	15,543	3,313	4,318	1,466	1,452	465	499											
NEW ENGLAND	1,321	1,429	179	212	145	379	22	73	53	6											
Maine	63	93	2	6	7	23	2	-	3	-											
N.H.	51	97	5	5	15	24	-	-	N	N											
Vt.	37	47	2	6	8	17	7	6	1	3											
Mass.	795	855	113	148	98	169	N	N	42	N											
R.I.	75	71	13	7	17	9	13	10	7	3											
Conn.	300	266	44	40	-	137	-	57	U	U											
MID. ATLANTIC	3,640	3,127	794	1,678	562	751	102	95	80	74											
Upstate N.Y.	820	654	345	255	188	284	43	52	55	54											
N.Y. City	779	861	225	276	73	107	U	U	U	U											
N.J.	551	550	150	281	132	144	-	-	5	2											
Pa.	1,490	1,062	74	866	169	216	59	43	20	18											
E.N. CENTRAL	3,420	3,811	643	1,332	659	1,048	356	327	115	216											
Ohio	911	951	120	240	179	249	249	215	60	76											
Ind.	400	373	137	104	80	103	107	112	25	21											
Ill.	992	1,340	229	707	135	264	-	-	-	81											
Mich.	568	533	76	185	228	301	N	N	N	N											
Wis.	549	614	81	96	37	131	N	N	30	38											
W.N. CENTRAL	1,615	1,581	293	512	224	263	13	11	66	56											
Minn.	392	340	38	66	116	126	-	-	48	40											
Iowa	335	252	57	44	N	N	N	N	N	N											
Mo.	422	593	115	267	44	59	8	7	8	2											
N. Dak.	29	27	2	6	10	13	-	3	2	4											
S. Dak.	75	71	9	11	12	19	5	1	-	-											
Nebr.	104	101	21	67	11	22	-	-	5	5											
Kans.	258	197	51	51	31	24	N	N	3	5											
S. ATLANTIC	6,497	6,233	1,844	4,745	642	715	749	776	36	15											
Del.	64	65	6	153	3	6	4	1	N	N											
Md.	575	518	100	452	133	176	-	14	25	-											
D.C.	39	23	29	50	6	6	5	-	3	5											
Va.	794	647	104	290	60	87	N	N	N	N											
W. Va.	158	80	4	-	18	30	84	56	8	10											
N.C.	877	769	220	603	85	80	N	N	U	U											
S.C.	562	372	255	318	35	35	65	112	N	N											
Ga.	1,031	1,196	401	895	137	141	169	166	N	N											
Fla.	2,397	2,563	725	1,984	165	154	422	427	N	N											
E.S. CENTRAL	1,455	1,780	412	638	147	150	88	104	1	-											
Ky.	233	270	51	69	51	39	22	14	N	N											
Tenn.	246	490	145	228	96	111	65	90	N	N											
Ala.	439	431	176	203	-	-	-	-	N	N											
Miss.	537	589	40	138	-	-	1	-	1	-											
W.S. CENTRAL	1,851	4,037	1,616	4,013	197	201	36	58	80	78											
Ark.	320	454	48	80	15	6	6	19	7	5											
La.	274	567	170	309	2	1	30	39	12	15											
Okla.	270	279	322	583	48	65	N	N	32	39											
Tex.	987	2,737	1,076	3,041	132	129	N	N	29	19											
MOUNTAIN	1,600	1,418	530	707	377	359	25	4	34	54											
Mont.	116	68	4	2	-	1	-	-	-	-											
Idaho	119	122	9	23	8	15	N	N	N	N											
Wyo.	35	66	3	5	6	2	6	3	-	-											
Colo.	398	339	108	148	97	101	-	-	31	42											
N. Mex.	168	157	74	146	63	88	5	-	-	8											
Ariz.	504	412	275	316	167	127	N	N	N	N											
Utah	149	140	29	34	34	24	12	1	3	4											
Nev.	111	114	28	33	2	1	2	-	-	-											
PACIFIC	3,361	3,360	991	1,706	360	452	75	4	-	-											
Wash.	346	376	75	118	38	41	-	-	N	N											
Oreg.	290	282	51	178	N	N	N	N	N	N											
Calif.	2,466	2,514	830	1,372	260	326	N	N	N	N											
Alaska	41	53	5	6	-	-	-	-	N	N											
Hawaii	218	135	30	32	62	85	75	4	-	-											
Guam	-	35	-	28	-	-	-	-	-	-											
P.R.	128	445	4	18	N	N	N	N	N	N											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	3	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2003 and 2004 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


