
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending September 13, 2003 (WEEK 37)*

column labels in same order that data fields appears in each record below:
Reporting Area
Salmonellosis cummulative for 2003
Salmonellosis cummulative for 2002
Shigellosis cummulative for 2003
Shigellosis cummulative for 2002
Streptococcal Disease, Invasive, Group A cummulative for 2003
Streptococcal Disease, Invasive, Group A cummulative for 2002
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2003
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2002
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2003
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2002

tab delimited data:
test
UNITED STATES	25,439	28,489	13,753	13,061	4,064	3,537	1,586	1,808	320	239											
NEW ENGLAND	1,478	1,548	213	241	332	271	40	86	6	2											
Maine	98	102	6	4	22	20	-	-	-	-											
N.H.	94	95	5	8	21	31	-	-	N	N											
Vt.	48	59	6	1	17	9	6	4	3	1											
Mass.	872	882	145	156	159	92	N	N	N	N											
R.I.	89	109	11	9	11	14	10	11	3	1											
Conn.	277	301	40	63	102	105	24	71	U	U											
MID. ATLANTIC	3,012	3,861	1,589	1,171	740	572	96	84	73	59											
Upstate N.Y.	759	1,019	280	193	297	231	54	72	56	49											
N.Y. City	802	1,000	258	337	96	132	U	U	U	U											
N.J.	358	769	206	428	130	121	N	N	N	N											
Pa.	1,093	1,073	845	213	217	88	42	12	17	10											
E.N. CENTRAL	3,808	4,043	1,242	1,491	890	757	332	163	133	89											
Ohio	1,026	941	249	456	253	169	219	33	77	2											
Ind.	423	372	112	77	92	41	113	128	34	44											
Ill.	1,211	1,392	601	699	180	217	-	2	-	-											
Mich.	572	654	191	123	303	240	N	N	N	N											
Wis.	576	684	89	136	62	90	N	N	22	43											
W.N. CENTRAL	1,740	1,747	569	779	264	193	128	332	44	41											
Minn.	368	403	68	159	131	99	-	220	38	37											
Iowa	260	285	48	99	N	N	N	N	N	N											
Mo.	702	595	290	121	56	38	9	5	2	1											
N. Dak.	28	24	3	16	11	-	3	1	4	3											
S. Dak.	78	76	13	151	19	11	1	1	-	-											
Nebr.	101	123	90	163	21	16	-	25	N	N											
Kans.	203	241	57	70	26	29	115	80	N	N											
S. ATLANTIC	6,902	6,968	5,344	4,115	721	578	828	838	15	25											
Del.	61	60	146	93	6	2	1	3	N	N											
Md.	580	671	480	806	213	89	-	-	-	19											
D.C.	34	51	54	42	12	6	2	-	5	3											
Va.	752	738	307	672	90	62	N	N	N	N											
W. Va.	92	93	-	8	31	16	57	36	10	3											
N.C.	848	917	673	248	86	105	N	N	U	U											
S.C.	443	464	305	81	32	31	116	144	N	N											
Ga.	1,284	1,305	1,326	938	86	112	194	209	N	N											
Fla.	2,808	2,669	2,053	1,227	165	155	458	446	N	N											
E.S. CENTRAL	1,645	2,080	629	951	159	81	106	114	-	-											
Ky.	293	238	72	100	37	16	13	13	N	N											
Tenn.	531	529	236	62	122	65	93	101	N	N											
Ala.	364	542	190	498	-	-	-	-	N	N											
Miss.	457	771	131	291	-	-	-	-	-	-											
W.S. CENTRAL	2,007	3,040	1,763	2,008	150	237	33	152	45	19											
Ark.	498	643	75	148	5	6	8	6	-	-											
La.	258	535	144	330	1	1	25	146	10	6											
Okla.	313	347	593	356	65	36	N	N	27	2											
Tex.	938	1,515	951	1,174	79	194	N	N	8	11											
MOUNTAIN	1,485	1,562	743	530	359	420	20	39	4	4											
Mont.	77	71	2	3	2	-	-	-	-	-											
Idaho	131	102	24	5	18	6	N	N	N	N											
Wyo.	68	45	5	7	2	7	4	10	-	-											
Colo.	322	447	139	118	102	89	-	-	-	-											
N. Mex.	153	212	144	105	89	80	16	29	-	-											
Ariz.	462	409	350	232	135	210	-	-	N	N											
Utah	160	122	38	21	9	28	-	-	4	4											
Nev.	112	154	41	39	2	-	-	-	-	-											
PACIFIC	3,362	3,640	1,661	1,775	449	428	3	-	-	-											
Wash.	362	334	113	109	38	46	-	-	N	N											
Oreg.	287	262	183	74	N	N	N	N	N	N											
Calif.	2,522	2,802	1,328	1,545	330	328	N	N	N	N											
Alaska	54	45	7	3	-	-	-	-	N	N											
Hawaii	137	197	30	44	81	54	3	-	-	-											
Guam	-	35	-	24	-	-	-	4	-	-											
P.R.	169	347	3	26	N	N	N	N	N	N											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2002 and 2003 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


