
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending June 3, 2006 (WEEK 22)*

column labels in same order that data fields appears in each record below:
Reporting Area
Shiga toxin-producing E. coli(STEC)† current week
Shiga toxin-producing E. coli(STEC)† previous 52 weeks median 
Shiga toxin-producing E. coli(STEC)† previous 52 weeks maximum 
Shiga toxin-producing E. coli(STEC)† cummulative for 2006
Shiga toxin-producing E. coli(STEC)† cummulative for 2005
Shigellosis current week
Shigellosis previous 52 weeks median 
Shigellosis previous 52 weeks maximum 
Shigellosis cummulative for 2006
Shigellosis cummulative for 2005
Streptococcal disease, invasive, group A current week
Streptococcal disease, invasive, group A previous 52 weeks median 
Streptococcal disease, invasive, group A previous 52 weeks maximum 
Streptococcal disease, invasive, group A cummulative for 2006
Streptococcal disease, invasive, group A cummulative for 2005

tab delimited data:
test
UNITED STATES	12	54	296	427	656	140	300	1,009	3,485	4,845	38	81	282	2,376	2,369						
NEW ENGLAND	-	3	15	37	57	1	5	26	101	85	1	5	11	91	141						
Conn.	-	0	14	14	17	-	0	20	20	19	U	1	4	U	57						
Maine	-	0	5	-	11	-	0	3	-	5	-	0	2	10	4						
Mass.	-	1	7	18	21	1	4	11	71	50	-	2	6	55	60						
N.H.	-	0	2	5	4	-	0	4	4	4	-	0	3	16	7						
R.I.	-	0	2	-	1	-	0	6	4	2	-	0	3	3	6						
Vt.	-	0	2	2	3	-	0	4	2	5	1	0	2	7	7						
MID. ATLANTIC	-	5	107	14	66	1	17	72	245	465	6	13	43	398	513						
N.J.	-	1	7	-	18	-	4	18	58	123	-	1	8	13	104						
N.Y. (Upstate)	-	2	103	24	23	1	4	60	90	110	5	4	32	161	160						
N.Y. City	-	0	3	7	-	-	5	14	61	199	-	3	8	54	98						
Pa.	-	2	8	-	25	-	2	48	36	33	1	5	13	170	151						
E.N. CENTRAL	3	10	38	95	127	12	19	96	339	366	6	16	41	472	542						
Ill.	-	1	10	-	36	-	7	26	89	94	-	4	10	89	183						
Ind.	-	1	7	13	16	1	1	56	54	39	2	1	11	65	53						
Mich.	-	1	8	19	17	-	3	10	74	121	1	3	11	126	130						
Ohio	3	2	14	37	36	11	3	11	70	25	3	4	19	159	114						
Wis.	-	3	15	26	22	-	3	10	52	87	-	1	4	33	62						
W.N. CENTRAL	1	7	35	67	91	34	46	78	515	346	1	5	57	177	150						
Iowa	-	1	10	16	20	-	1	7	15	44	N	0	0	N	N						
Kans.	-	0	4	-	14	-	4	20	33	19	-	0	5	35	26						
Minn.	1	3	19	47	14	1	2	6	31	28	-	0	52	78	53						
Mo.	5	2	7	38	25	31	23	70	367	213	1	1	5	36	41						
Nebr.	2	1	5	11	15	2	3	11	38	25	-	0	4	17	12						
N. Dak.	-	0	15	-	1	-	0	2	4	2	-	0	5	5	4						
S. Dak.	-	0	5	3	2	-	2	17	27	15	-	0	3	6	14						
S. ATLANTIC	1	7	39	79	112	56	51	122	979	695	6	19	40	554	445						
Del.	-	0	2	1	-	-	0	2	-	5	-	0	2	4	-						
D.C.	-	0	1	-	-	-	0	2	3	7	-	0	2	7	5						
Fla.	1	1	29	35	52	40	25	66	443	321	2	6	12	128	111						
Ga.	-	0	6	-	12	16	13	34	336	194	4	4	13	126	91						
Md.	-	1	5	6	14	-	2	8	36	25	-	3	12	105	88						
N.C.	1	1	11	29	16	-	2	22	82	63	-	1	21	67	71						
S.C.	-	0	2	3	1	-	2	9	58	42	-	1	6	36	24						
Va.	-	1	8	-	17	-	2	9	21	38	-	2	11	66	43						
W. Va.	-	0	2	-	-	-	0	1	-	-	-	0	6	15	12						
E.S. CENTRAL	2	2	11	25	33	9	15	46	263	615	3	3	10	106	99						
Ala.	-	0	3	2	10	4	3	13	70	134	N	0	0	N	N						
Ky.	-	1	8	13	8	-	7	23	127	66	-	0	5	23	23						
Miss.	-	0	2	-	1	-	1	6	26	38	-	0	0	-	-						
Tenn.	-	1	4	27	14	5	3	22	40	377	3	3	9	83	76						
