
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending October 9, 1999 (WEEK 40)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 1999
AIDS § cummulative for 1998
Chlamydia† cummulative for 1999
Chlamydia† cummulative for 1998
Cryptosporidiosis cummulative for 1999
Cryptosporidiosis cummulative for 1998
Escherichia coli O157:H7 NETSS cummulative for 1999
Escherichia coli O157:H7 NETSS cummulative for 1998
Escherichia coli O157:H7 PHLIS cummulative for 1999
Escherichia coli O157:H7 PHLIS cummulative for 1998

tab delimited data:
test
UNITED STATES	34,088	35,254	437,542	450,964	1,698	3,055	2,476	2,312	1,562	1,830											
NEW ENGLAND	1,698	1,354	15,377	15,780	112	131	257	278	229	235											
Maine	54	24	738	757	21	28	31	33	-	-											
N.H.	36	25	737	764	15	14	26	40	27	42											
Vt.	13	17	363	324	32	21	26	18	14	16											
Mass.	1,116	684	7,069	6,460	42	61	149	128	115	133											
R.I.	77	98	1,774	1,756	2	7	25	11	6	1											
Conn.	402	506	4,696	5,719	-	-	U	48	67	43											
MID. ATLANTIC	8,684	9,591	49,741	46,970	262	467	209	253	60	81											
Upstate N.Y.	952	1,103	N	N	121	279	160	184	-	-											
N.Y. City	4,588	5,419	21,963	20,322	109	167	7	11	15	12											
N.J.	1,619	1,753	7,929	9,026	22	21	42	58	32	48											
Pa.	1,525	1,316	19,849	17,622	10	N	N	N	13	21											
E.N. CENTRAL	2,280	2,565	62,199	76,279	389	609	518	370	384	308											
Ohio	345	549	18,054	20,373	45	59	169	99	151	59											
Ind.	258	412	7,898	8,470	33	50	74	81	45	42											
Ill.	1,108	986	20,939	20,741	17	70	178	99	81	71											
Mich.	456	466	15,308	16,069	41	33	97	91	65	61											
Wis.	113	152	U	10,626	253	397	N	N	42	75											
W.N. CENTRAL	770	661	25,421	26,704	178	240	502	384	277	351											
Minn.	138	135	5,396	5,405	67	79	200	167	142	191											
Iowa	69	58	3,104	3,411	51	60	100	80	57	50											
Mo.	370	310	8,595	9,640	23	20	39	38	53	54											
N. Dak.	6	4	325	776	16	27	16	10	1	15											
S. Dak.	14	13	1,174	1,184	6	19	38	22	13	31											
Nebr.	60	60	2,601	2,074	14	30	88	39	-	-											
Kans.	113	81	4,226	4,214	1	5	21	28	11	10											
S. ATLANTIC	9,423	9,157	92,123	86,787	301	249	260	187	139	148											
Del.	129	112	1,968	1,974	-	3	6	-	3	2											
Md.	1,113	1,300	7,844	5,736	13	17	23	34	2	14											
D.C.	412	690	N	N	8	7	-	1	U	U											
Va.	608	687	10,637	10,847	21	19	62	N	48	48											
W. Va.	53	68	1,204	1,856	3	1	9	8	6	8											
N.C.	629	637	17,403	16,876	15	N	55	45	46	44											
S.C.	797	598	9,494	13,505	-	-	19	10	14	8											
Ga.	1,382	979	21,374	17,983	115	83	27	61	-	-											
Fla.	4,300	4,086	22,199	18,010	126	119	59	28	20	24											
E.S. CENTRAL	1,536	1,440	35,498	31,267	24	20	100	100	53	55											
Ky.	214	221	5,796	4,859	6	8	31	31	-	-											
Tenn.	588	519	10,810	10,403	6	7	43	44	33	35											
Ala.	405	395	10,007	7,723	10	N	21	20	16	18											
Miss.	329	305	8,885	8,282	2	5	5	5	4	2											
W.S. CENTRAL	3,524	4,187	65,019	68,721	65	862	74	80	81	87											
Ark.	132	159	4,690	3,021	1	6	11	9	8	10											
La.	663	705	10,879	11,243	22	14	9	4	11	6											
Okla.	101	238	5,853	7,687	9	N	20	13	12	6											
Tex.	2,628	3,085	43,597	46,770	33	842	34	54	50	65											
MOUNTAIN	1,343	1,230	24,106	25,056	82	116	233	299	94	211											
Mont.	8	23	1,133	1,009	10	10	17	15	-	5											
Idaho	19	19	1,309	1,533	7	17	35	35	8	23											
Wyo.	10	1	600	530	1	2	14	52	5	55											
Colo.	235	230	4,784	6,193	11	16	87	64	40	50											
N. Mex.	74	178	2,943	2,668	37	44	9	17	5	16											
Ariz.	697	501	9,238	8,896	9	18	25	41	16	26											
Utah	116	101	1,641	1,653	N	N	32	61	18	21											
Nev.	184	177	2,458	2,574	7	9	14	14	2	15											
PACIFIC	4,830	5,069	68,058	73,400	285	361	323	361	245	354											
Wash.	285	331	9,097	8,599	N	N	131	78	104	104											
Oreg.	151	138	4,794	4,230	86	62	64	94	61	90											
Calif.	4,319	4,452	50,531	57,150	199	296	119	185	71	147											
Alaska	13	17	1,463	1,461	-	-	1	4	-	-											
Hawaii	62	131	2,173	1,960	-	3	8	-	9	13											
Guam	5	-	226	307	-	-	N	N	U	U											
P.R.	1,013	1,244	U	U	-	N	5	5	U	U											
V.I.	25	24	U	U	U	U	U	U	U	U											
Amer. Samoa	-	-	U	U	U	U	U	U	U	U											
C.N.M.I.	-	-	U	U	U	U	U	U	U	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting year 1999 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


