
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending January 3, 2009 (WEEK 53)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal disease, invasive, group A current week
Streptococcal disease, invasive, group A previous 52 weeks median 
Streptococcal disease, invasive, group A previous 52 weeks maximum 
Streptococcal disease, invasive, group A cummulative for 2008
Streptococcal disease, invasive, group A cummulative for 2007
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years current week
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2008
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2007

tab delimited data:
test
UNITED STATES	48	86	181	5,166	5,294	14	32	55	1,664	2,032											
NEW ENGLAND	2	5	31	330	409	-	1	11	72	141											
Conn.	-	0	26	101	132	-	0	11	11	24											
Maine	-	0	3	28	28	-	0	1	3	4											
Mass.	-	2	8	138	190	-	0	5	39	89											
N.H.	-	0	2	31	27	-	0	1	11	13											
R.I.	-	0	9	18	14	-	0	2	7	9											
Vt.	2	0	2	14	18	-	0	1	1	2											
MID. ATLANTIC	-	18	43	1,011	946	-	3	12	214	350											
N.J.	-	2	11	153	173	-	1	4	63	75											
N.Y. (Upstate)	-	6	17	330	295	-	2	9	110	123											
N.Y. City	-	4	10	188	226	-	0	6	41	152											
Pa.	-	7	16	340	252	N	0	0	N	N											
E.N. CENTRAL	14	15	42	928	987	6	5	15	270	334											
Ill.	-	4	16	244	293	-	0	5	48	84											
Ind.	9	2	9	139	128	5	0	5	40	37											
Mich.	-	3	10	173	201	-	1	5	78	84											
Ohio	4	5	14	262	239	1	1	4	66	69											
Wis.	1	1	10	110	126	-	1	4	38	60											
W.N. CENTRAL	4	5	39	386	351	2	2	11	158	116											
Iowa	-	0	0	-	-	-	0	0	-	-											
Kans.	2	0	5	40	32	-	0	3	17	3											
Minn.	-	0	35	172	173	-	0	9	75	66											
Mo.	1	2	10	93	85	1	1	2	38	27											
Nebr.	1	1	3	46	25	-	0	2	9	18											
N. Dak.	-	0	3	12	24	-	0	2	8	1											
S. Dak.	-	0	2	23	12	1	0	1	11	1											
S. ATLANTIC	10	21	37	1,115	1,264	1	6	16	307	349											
Del.	1	0	2	11	10	-	0	0	-	-											
D.C.	-	0	4	23	17	-	0	1	2	3											
Fla.	-	5	10	266	309	-	1	4	70	71											
Ga.	5	4	14	249	259	-	1	4	73	85											
Md.	4	4	8	187	212	1	1	5	60	72											
N.C.	-	2	10	136	167	N	0	0	N	N											
S.C.	-	1	5	75	101	-	1	4	52	58											
Va.	-	3	9	134	162	-	0	6	39	52											
W. Va.	-	0	3	34	27	-	0	1	11	8											
E.S. CENTRAL	3	3	9	178	213	-	2	6	105	119											
Ala.	N	0	0	N	N	N	0	0	N	N											
Ky.	-	1	3	41	41	N	0	0	N	N											
Miss.	N	0	0	N	N	-	0	3	22	13											
Tenn.	3	3	6	137	172	-	1	5	83	106											
W.S. CENTRAL	6	9	27	488	401	5	5	13	292	350											
Ark.	-	0	2	5	19	-	0	2	7	19											
La.	-	0	2	16	16	-	0	2	13	39											
Okla.	3	2	8	125	85	1	1	3	70	65											
Tex.	3	6	20	342	281	4	3	13	202	227											
MOUNTAIN	6	10	22	552	574	-	4	13	227	259											
Ariz.	3	3	9	197	208	-	2	8	113	128											
Colo.	3	3	8	153	145	-	1	4	58	52											
Idaho	-	0	2	15	18	-	0	1	5	2											
Mont.	N	0	0	N	N	-	0	1	4	1											
Nev.	-	0	1	12	2	N	0	0	N	N											
N. Mex.	-	1	8	100	107	-	0	3	18	44											
Utah	-	1	4	68	89	-	0	4	28	32											
Wyo.	-	0	2	7	5	-	0	1	1	-											
PACIFIC	3	3	8	178	149	-	0	2	19	14											
Alaska	1	1	4	41	25	N	0	0	N	N											
Calif.	-	0	0	-	-	N	0	0	N	N											
Hawaii	2	2	8	137	124	-	0	2	19	14											
Oreg.	N	0	0	N	N	N	0	0	N	N											
Wash.	N	0	0	N	N	N	0	0	N	N											
Amer. Samoa	-	0	12	30	4	N	0	0	N	N											
C.N.M.I.	-	-	-	-	-	-	-	-	-	-											
Guam	-	0	0	-	14	-	0	0	-	-											
P.R.	N	0	0	N	N	N	0	0	N	N											
V.I.	-	0	0	-	-	N	0	0	N	N											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting year 2008 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes cases of invasive pneumococcal disease, in children aged <5 years, caused by Streptococcus pneumoniae, 
which is susceptible or for which susceptibility testing is not available (NNDSS event code 11717).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


