
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending July 2, 2011 (WEEK 26)*

column labels in same order that data fields appears in each record below:
Reporting Area
Chlamydia trachomatis infection current week
Chlamydia trachomatis infection previous 52 weeks median 
Chlamydia trachomatis infection previous 52 weeks maximum 
Chlamydia trachomatis infection cummulative for 2011
Chlamydia trachomatis infection cummulative for 2010
Coccidioidomycosis current week
Coccidioidomycosis previous 52 weeks median 
Coccidioidomycosis previous 52 weeks maximum 
Coccidioidomycosis cummulative for 2011
Coccidioidomycosis cummulative for 2010
Cryptosporidiosis current week
Cryptosporidiosis previous 52 weeks median 
Cryptosporidiosis previous 52 weeks maximum 
Cryptosporidiosis cummulative for 2011
Cryptosporidiosis cummulative for 2010

tab delimited data:
test
UNITED STATES	9,778	25,748	31,142	625,202	639,499	79	0	570	8,041	NN	59	92	374	1,990	3,103						
NEW ENGLAND	844	839	2,043	21,493	19,843	-	0	1	1	NN	-	5	29	94	245						
Conn.	152	234	1,557	4,721	4,817	-	0	0	-	NN	-	0	24	24	77						
Maine	-	57	100	1,453	1,229	-	0	0	-	NN	-	0	7	3	29						
Mass.	527	404	860	11,015	10,247	-	0	0	-	NN	-	2	9	32	64						
N.H.	34	53	81	1,433	1,153	-	0	1	1	NN	-	1	3	15	33						
R.I.	104	69	154	2,129	1,773	-	0	0	-	NN	-	0	2	1	10						
Vt.	27	26	84	742	624	-	0	0	-	NN	-	1	5	19	32						
MID. ATLANTIC	1,583	3,315	5,069	79,834	83,710	-	0	1	3	NN	14	15	38	324	314						
N.J.	77	481	684	10,763	13,115	-	0	0	-	NN	-	1	4	18	13						
N.Y. (Upstate)	702	713	2,099	17,807	16,091	-	0	0	-	NN	7	3	13	68	62						
N.Y. City	172	1,145	2,612	26,023	31,249	-	0	0	-	NN	-	2	6	30	35						
Pa.	632	953	1,228	25,241	23,255	-	0	1	3	NN	7	8	26	208	204						
E.N. CENTRAL	785	4,034	7,039	92,849	100,560	1	0	3	23	NN	2	23	137	426	819						
Ill.	-	1,103	1,320	22,119	29,696	-	0	0	-	NN	-	1	21	4	98						
Ind.	282	453	3,376	14,135	9,115	-	0	0	-	NN	-	4	15	41	123						
Mich.	365	937	1,398	23,446	25,176	1	0	3	16	NN	1	5	18	109	151						
Ohio	-	997	1,134	22,236	25,311	-	0	3	7	NN	-	7	24	138	177						
Wis.	138	467	559	10,913	11,262	-	0	0	-	NN	1	8	65	134	270						
W.N. CENTRAL	336	1,437	1,634	34,016	35,949	1	0	1	2	NN	8	11	99	169	498						
Iowa	11	206	240	5,079	5,340	-	0	0	-	NN	-	3	25	24	109						
Kans.	-	189	287	4,452	4,879	-	0	0	-	NN	-	1	6	3	44						
Minn.	U	287	361	5,596	7,707	U	0	0	-	NN	U	1	22	-	149						
Mo.	316	524	766	13,680	12,795	-	0	0	-	NN	4	3	29	59	79						
Nebr.	-	101	218	2,923	2,555	1	0	1	2	NN	2	3	26	59	57						
N. Dak.	-	39	90	664	1,118	-	0	0	-	NN	2	0	9	13	11						
S. Dak.	9	64	93	1,622	1,555	-	0	0	-	NN	-	1	6	11	49						
S. ATLANTIC	2,611	5,113	6,543	134,569	128,316	-	0	2	3	NN	13	18	53	382	468						
Del.	90	83	220	2,200	2,169	-	0	0	-	NN	-	0	1	3	3						
D.C.	67	105	180	2,542	2,716	-	0	0	-	NN	-	0	1	3	2						
Fla.	700	1,486	1,706	37,674	37,315	-	0	0	-	NN	6	6	19	98	179						
Ga.	946	930	2,384	25,956	21,747	-	0	0	-	NN	1	4	11	128	146						
Md.	-	471	1,125	10,404	11,780	-	0	2	3	NN	6	1	3	30	16						
N.C.	-	756	1,477	22,257	22,612	-	0	0	-	NN	-	0	17	36	35						
S.C.	493	531	946	14,472	12,996	-	0	0	-	NN	-	2	8	45	26						
Va.	240	658	970	16,998	15,186	-	0	0	-	NN	-	1	5	27	55						
W. Va.	75	78	121	2,066	1,795	-	0	0	-	NN	-	0	5	12	6						
E.S. CENTRAL	1,202	1,826	3,314	45,820	45,542	-	0	0	-	NN	3	4	19	72	89						
Ala.	-	542	1,566	13,101	12,629	-	0	0	-	NN	-	1	13	8	36						
Ky.	283	268	2,352	8,064	8,001	-	0	0	-	NN	1	1	6	22	27						
Miss.	595	392	614	9,928	11,113	-	0	0	-	NN	-	0	2	12	6						
Tenn.	324	583	795	14,727	13,799	-	0	0	-	NN	2	1	5	30	20						
W.S. CENTRAL	403	3,294	4,723	79,781	90,209	-	0	1	1	NN	11	5	33	107	155						
Ark.	403	307	440	8,238	7,759	-	0	0	-	NN	-	0	3	8	16						
La.	-	346	1,052	6,679	14,764	-	0	1	1	NN	-	0	6	10	19						
Okla.	-	228	1,371	5,319	6,598	-	0	0	-	NN	-	0	8	-	32						
Tex.	-	2,369	3,107	59,545	61,088	-	0	0	-	NN	11	4	24	89	88						
