
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending January 19, 2008 (WEEK 03)*

column labels in same order that data fields appears in each record below:
Reporting Area
Chlamydia† current week
Chlamydia† previous 52 weeks median 
Chlamydia† previous 52 weeks maximum 
Chlamydia† cummulative for 2008
Chlamydia† cummulative for 2007
Coccidioidomycosis current week
Coccidioidomycosis previous 52 weeks median 
Coccidioidomycosis previous 52 weeks maximum 
Coccidioidomycosis cummulative for 2008
Coccidioidomycosis cummulative for 2007
Cryptosporidiosis current week
Cryptosporidiosis previous 52 weeks median 
Cryptosporidiosis previous 52 weeks maximum 
Cryptosporidiosis cummulative for 2008
Cryptosporidiosis cummulative for 2007

tab delimited data:
test
UNITED STATES	9,933	20,959	25,202	35,551	48,855	95	140	254	328	404	36	78	978	97	194						
NEW ENGLAND	662	697	1,136	1,584	1,296	-	0	1	-	-	-	4	16	-	46						
Conn.	83	223	691	131	68	N	0	0	N	N	-	0	0	-	41						
Maine	64	48	74	137	123	-	0	0	-	-	-	1	5	-	2						
Mass.	412	305	668	1,064	746	-	0	0	-	-	-	2	11	-	-						
N.H.	47	38	73	116	117	-	0	1	-	-	-	1	5	-	2						
R.I.	56	62	98	130	182	-	0	0	-	-	-	0	3	-	-						
Vt.	-	18	32	6	60	N	0	0	N	N	-	1	3	-	1						
MID. ATLANTIC	1,645	2,851	4,161	4,633	7,537	-	0	0	-	-	10	10	113	18	23						
N.J.	186	398	526	497	1,252	N	0	0	N	N	-	0	6	-	-						
N.Y. (Upstate)	287	536	1,662	440	507	N	0	0	N	N	1	3	20	1	3						
N.Y. City	665	997	2,179	1,814	2,971	N	0	0	N	N	-	1	10	2	9						
Pa.	507	834	1,764	1,882	2,807	N	0	0	N	N	9	5	103	15	11						
E.N. CENTRAL	599	3,219	6,210	3,052	9,528	-	1	3	1	3	4	20	134	22	36						
Ill.	-	1,007	1,843	25	2,761	-	0	0	-	-	-	2	13	-	8						
Ind.	201	395	631	835	1,286	-	0	0	-	-	-	2	23	-	-						
Mich.	311	703	856	1,152	2,375	-	0	2	-	3	-	3	11	5	9						
Ohio	87	746	3,633	770	2,014	-	0	1	1	-	4	6	61	15	11						
Wis.	-	365	455	270	1,092	N	0	0	N	N	-	7	59	2	8						
W.N. CENTRAL	523	1,199	1,465	1,748	3,221	-	0	1	-	2	3	14	125	7	19						
Iowa	172	158	251	445	484	N	0	0	N	N	-	2	61	2	6						
Kans.	-	151	294	-	344	N	0	0	N	N	-	2	16	-	4						
Minn.	1	251	300	173	763	-	0	0	-	-	-	3	34	-	1						
Mo.	350	465	551	1,087	1,184	-	0	1	-	2	-	2	13	1	3						
Nebr.	-	94	183	-	237	N	0	0	N	N	2	1	24	3	3						
N. Dak.	-	27	61	6	78	N	0	0	N	N	1	0	6	1	-						
S. Dak.	-	49	81	37	131	N	0	0	N	N	-	2	16	-	2						
S. ATLANTIC	2,536	3,969	5,893	9,654	6,523	-	0	1	-	-	14	20	66	33	36						
Del.	93	65	140	179	206	-	0	0	-	-	1	0	4	2	-						
