
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending October 30, 1999 (WEEK 43)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 1999
AIDS § cummulative for 1998
Chlamydia† cummulative for 1999
Chlamydia† cummulative for 1998
Cryptosporidiosis cummulative for 1999
Cryptosporidiosis cummulative for 1998
Escherichia coli O157:H7 NETSS cummulative for 1999
Escherichia coli O157:H7 NETSS cummulative for 1998
Escherichia coli O157:H7 PHLIS cummulative for 1999
Escherichia coli O157:H7 PHLIS cummulative for 1998

tab delimited data:
test
UNITED STATES	37,420	38,690	473,984	489,113	1,855	3,256	2,763	2,502	1,936	1,946											
NEW ENGLAND	1,904	1,517	16,532	16,842	124	139	282	292	293	243											
Maine	68	26	738	837	24	29	34	33	-	-											
N.H.	38	25	802	819	17	14	28	42	29	42											
Vt.	15	18	396	350	34	23	31	19	18	17											
Mass.	1,231	766	7,651	6,940	45	66	162	135	171	139											
R.I.	90	110	1,920	1,909	4	7	27	11	6	1											
Conn.	462	572	5,025	5,987	-	-	U	52	69	44											
MID. ATLANTIC	9,663	10,367	51,826	50,792	282	493	235	264	76	84											
Upstate N.Y.	1,146	1,250	N	N	138	294	184	188	-	-											
N.Y. City	5,100	5,843	21,963	21,862	112	177	9	12	15	12											
N.J.	1,741	1,894	8,632	9,818	22	22	42	64	32	51											
Pa.	1,676	1,380	21,231	19,112	10	N	N	N	29	21											
E.N. CENTRAL	2,519	2,736	68,585	83,074	445	663	592	398	425	320											
Ohio	403	567	19,151	22,486	56	64	199	106	168	61											
Ind.	285	446	9,080	9,168	34	52	84	89	55	47											
Ill.	1,201	1,037	22,045	22,212	60	76	203	102	81	73											
Mich.	504	530	18,309	17,680	42	37	106	101	73	62											
Wis.	126	156	U	11,528	253	434	N	N	48	77											
W.N. CENTRAL	846	750	27,266	29,104	187	249	529	425	370	373											
Minn.	161	146	5,658	5,853	71	80	207	181	158	196											
Iowa	72	60	3,438	3,752	52	61	107	88	70	56											
Mo.	408	363	9,298	10,420	26	23	44	42	57	59											
N. Dak.	6	5	707	855	16	29	16	10	14	15											
S. Dak.	13	15	1,338	1,277	7	19	44	29	59	34											
Nebr.	61	60	2,601	2,346	14	31	90	44	-	-											
Kans.	125	101	4,226	4,601	1	6	21	31	12	13											
S. ATLANTIC	10,275	10,032	105,331	93,951	327	292	283	208	148	156											
Del.	147	122	2,280	2,149	-	3	6	-	3	2											
Md.	1,242	1,394	9,734	6,158	17	18	33	35	2	14											
D.C.	496	750	N	N	8	21	-	1	U	U											
Va.	689	771	11,835	11,237	21	20	65	N	52	51											
W. Va.	61	70	1,204	2,007	3	1	10	8	8	8											
N.C.	688	703	18,471	18,198	21	N	61	52	49	47											
S.C.	847	638	10,092	14,036	-	-	19	11	14	8											
Ga.	1,466	1,060	28,524	19,755	121	97	29	66	-	-											
Fla.	4,639	4,524	23,191	20,411	136	132	60	35	20	26											
E.S. CENTRAL	1,666	1,596	37,694	33,983	24	24	109	108	56	61											
Ky.	236	248	6,251	5,264	6	10	40	33	-	-											
Tenn.	643	590	11,502	11,311	6	8	43	48	36	39											
Ala.	423	417	10,446	8,509	10	N	21	21	16	18											
Miss.	364	341	9,495	8,899	2	6	5	6	4	4											
W.S. CENTRAL	3,822	4,742	67,530	74,402	79	893	106	84	109	94											
Ark.	158	177	4,935	3,196	1	6	13	10	8	10											
La.	742	814	10,879	12,440	22	15	9	4	13	7											
Okla.	113	254	6,630	8,078	9	N	21	13	24	8											
Tex.	2,809	3,497	45,086	50,688	47	872	63	57	64	69											
MOUNTAIN	1,469	1,359	26,358	26,967	86	119	266	321	167	228											
Mont.	11	26	1,287	1,066	10	10	24	15	-	5											
Idaho	21	27	1,396	1,671	7	17	40	36	20	24											
Wyo.	10	3	636	579	1	2	14	53	14	55											
Colo.	271	254	5,009	6,561	11	17	102	72	86	57											
N. Mex.	78	188	3,151	2,965	38	46	11	17	5	18											
Ariz.	745	550	10,502	9,615	12	18	28	43	19	26											
Utah	129	114	1,808	1,778	N	N	32	67	21	21											
Nev.	204	197	2,569	2,732	7	9	15	18	2	22											
PACIFIC	5,256	5,591	72,862	79,998	301	384	361	402	292	387											
Wash.	305	369	9,736	9,267	N	N	139	90	119	120											
Oreg.	185	146	5,041	4,696	88	63	73	99	68	95											
Calif.	4,673	4,915	54,214	62,384	213	318	139	207	94	158											
Alaska	13	17	1,563	1,541	-	-	1	6	1	-											
Hawaii	80	144	2,308	2,110	-	3	9	-	10	14											
Guam	5	1	302	350	-	-	N	N	U	U											
P.R.	1,094	1,498	U	U	-	N	5	5	U	U											
V.I.	36	31	U	U	U	U	U	U	U	U											
Amer. Samoa	-	-	U	U	U	U	U	U	U	U											
C.N.M.I.	-	-	U	U	U	U	U	U	U	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting year 1999 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


