
TABLE II. (Part 8)  Provisional cases of selected notifiable diseases, United States, week ending February 28, 2009 (WEEK 08)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages current week
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages cummulative for 2009
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages cummulative for 2008
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years current week
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years cummulative for 2009
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years cummulative for 2008
Syphillis, primary & secondary current week
Syphillis, primary & secondary previous 52 weeks median 
Syphillis, primary & secondary previous 52 weeks maximum 
Syphillis, primary & secondary cummulative for 2009
Syphillis, primary & secondary cummulative for 2008

tab delimited data:
test
UNITED STATES	74	54	101	551	631	14	8	22	69	69	110	243	338	1,603	1,923						
NEW ENGLAND	-	1	48	6	13	-	0	5	-	1	2	5	14	47	37						
Conn.	-	0	48	-	-	-	0	5	-	-	-	1	4	7	2						
Maine	-	0	2	2	3	-	0	1	-	-	-	0	2	1	-						
Mass.	-	0	0	-	-	-	0	0	-	-	2	4	11	34	30						
N.H.	-	0	1	1	-	-	0	0	-	-	-	0	2	5	3						
R.I.	-	0	2	-	6	-	0	1	-	-	-	0	5	-	2						
Vt.	-	0	2	3	4	-	0	1	-	1	-	0	2	-	-						
MID. ATLANTIC	1	3	13	16	54	-	0	2	1	4	52	34	52	279	250						
N.J.	-	0	0	-	-	-	0	0	-	-	6	4	10	28	41						
N.Y. (Upstate)	1	1	6	6	9	-	0	1	1	-	2	2	8	12	11						
N.Y. City	-	1	5	-	20	-	0	0	-	-	38	22	36	198	147						
Pa.	-	1	9	10	25	N	0	2	N	N	6	5	12	41	51						
E.N. CENTRAL	13	10	40	94	115	3	1	6	11	11	4	17	34	153	352						
Ill.	N	0	0	N	N	-	0	0	-	-	-	2	11	29	255						
Ind.	1	2	31	8	33	-	0	5	-	2	1	3	10	26	17						
Mich.	-	0	3	4	5	-	0	1	-	1	2	3	18	36	22						
Ohio	12	7	18	82	77	3	1	4	11	8	-	6	17	52	46						
Wis.	-	0	0	-	-	-	0	0	-	-	1	1	3	10	12						
W.N. CENTRAL	3	2	7	15	55	1	0	2	5	2	-	7	14	39	74						
Iowa	-	0	0	-	-	-	0	0	-	-	-	0	2	3	-						
Kans.	1	0	4	4	24	N	0	1	N	N	-	0	3	1	5						
Minn.	-	0	0	-	-	-	0	0	-	-	-	2	6	10	19						
Mo.	2	1	4	11	30	-	0	1	1	-	-	4	10	23	49						
Nebr.	-	0	0	-	-	-	0	0	-	-	-	0	2	2	1						
N. Dak.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
S. Dak.	-	0	1	-	1	-	0	1	-	1	-	0	1	-	-						
S. ATLANTIC	37	22	51	315	280	9	4	14	41	37	24	56	166	382	279						
Del.	-	0	1	2	-	-	0	0	-	-	-	0	4	6	1						
D.C.	N	0	0	N	N	N	0	0	N	N	-	2	9	26	17						
Fla.	27	14	36	206	155	8	2	13	30	21	5	19	37	148	122						
Ga.	9	7	22	91	103	1	1	5	11	12	6	13	143	34	15						
Md.	1	0	2	2	2	-	0	0	-	1	10	7	14	39	35						
N.C.	N	0	0	N	N	N	0	0	N	N	3	6	19	78	43						
S.C.	-	0	0	-	-	-	0	0	-	-	-	2	6	9	17						
Va.	N	0	0	N	N	N	0	0	N	N	-	5	16	41	29						
W. Va.	-	1	7	14	20	-	0	2	-	3	-	0	1	1	-						
E.S. CENTRAL	16	5	22	71	70	1	1	4	7	4	16	21	37	163	166						
Ala.	N	0	0	N	N	N	0	0	N	N	-	8	17	52	83						
