
TABLE II. (Part 5)  Provisional cases of selected notifiable diseases, United States, week ending February 22, 2003 (WEEK 08)*

column labels in same order that data fields appears in each record below:
Reporting Area
Malaria cummulative for 2003
Malaria cummulative for 2002
Meningococcal Disease cummulative for 2003
Meningococcal Disease cummulative for 2002
Pertussis cummulative for 2003
Pertussis cummulative for 2002
Rabies, Animal cummulative for 2003
Rabies, Animal cummulative for 2002
Rocky Mountain Spotted Fever cummulative for 2003
Rocky Mountain Spotted Fever cummulative for 2002

tab delimited data:
test
UNITED STATES	92	150	195	297	480	790	419	728	26	39											
NEW ENGLAND	5	12	11	24	106	145	57	71	2	-											
Maine	1	1	1	2	-	3	4	5	-	-											
N.H.	1	4	-	2	4	1	3	1	-	-											
Vt.	-	-	-	3	16	19	3	20	-	-											
Mass.	3	4	8	14	86	117	23	19	2	-											
R.I.	-	-	-	2	-	-	1	5	-	-											
Conn.	-	3	2	1	-	5	23	21	-	-											
MID. ATLANTIC	12	30	10	34	35	41	39	92	-	4											
Upstate N.Y.	6	5	3	9	33	31	37	59	-	-											
N.Y. City	4	12	5	6	-	5	-	4	-	-											
N.J.	2	9	1	7	2	-	-	16	-	-											
Pa.	-	4	1	12	-	5	2	13	-	4											
E.N. CENTRAL	9	19	31	42	61	101	4	2	1	2											
Ohio	5	7	15	18	52	56	-	1	1	2											
Ind.	-	-	4	6	3	5	2	1	-	-											
Ill.	1	6	-	6	-	12	-	-	-	-											
Mich.	3	5	9	7	5	11	2	-	-	-											
Wis.	-	1	3	5	1	17	-	-	-	-											
W.N. CENTRAL	4	11	16	18	20	71	62	42	1	1											
Minn.	2	-	3	-	3	10	4	4	-	-											
Iowa	2	2	4	4	3	23	6	4	1	-											
Mo.	-	4	7	8	8	23	-	1	-	1											
N. Dak.	-	-	-	-	-	-	10	-	-	-											
S. Dak.	-	-	-	2	1	2	6	15	-	-											
Nebr.	-	2	1	2	-	2	-	-	-	-											
Kans.	-	3	1	2	5	11	36	18	-	-											
S. ATLANTIC	34	37	49	44	63	48	216	224	20	29											
Del.	-	-	4	1	-	1	-	3	-	-											
Md.	12	16	3	1	12	7	2	56	4	5											
D.C.	-	2	-	-	-	-	-	-	-	-											
Va.	3	-	2	2	1	15	60	63	-	-											
W. Va.	2	-	-	-	-	-	8	21	-	-											
N.C.	4	5	4	7	28	9	81	64	16	22											
S.C.	-	2	-	6	-	14	13	8	-	2											
Ga.	3	11	6	7	14	1	36	-	-	-											
Fla.	10	1	30	20	8	1	16	9	-	-											
E.S. CENTRAL	5	3	12	14	15	26	5	109	1	2											
Ky.	1	-	-	2	3	7	3	1	-	-											
Tenn.	2	1	3	3	3	11	-	108	1	2											
Ala.	2	1	4	8	7	1	2	-	-	-											
Miss.	-	1	5	1	2	7	-	-	-	-											
W.S. CENTRAL	2	2	17	43	-	152	12	142	-	1											
Ark.	-	-	1	5	-	107	-	-	-	-											
La.	1	2	10	3	-	1	-	-	-	-											
Okla.	-	-	3	4	-	2	12	16	-	-											
Tex.	1	-	3	31	-	42	-	126	-	1											
MOUNTAIN	4	5	8	22	118	95	12	18	-	-											
Mont.	-	-	-	-	-	2	1	-	-	-											
Idaho	-	-	-	-	2	6	-	-	-	-											
Wyo.	-	-	-	-	-	2	-	1	-	-											
Colo.	3	2	3	8	57	53	-	-	-	-											
N. Mex.	-	-	2	-	12	15	-	-	-	-											
Ariz.	1	-	3	7	35	9	11	17	-	-											
Utah	-	2	-	1	9	6	-	-	-	-											
Nev.	-	1	-	6	3	2	-	-	-	-											
PACIFIC	17	31	41	56	62	111	12	28	1	-											
Wash.	4	1	2	9	17	19	-	-	-	-											
Oreg.	5	-	11	12	39	11	-	-	-	-											
Calif.	8	27	27	33	6	77	12	13	1	-											
Alaska	-	1	-	1	-	1	-	15	-	-											
Hawaii	-	2	1	1	-	3	-	-	-	-											
Guam	-	-	-	-	-	-	-	-	-	-											
P.R.	-	-	-	-	-	-	-	-	N	N											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2002 and 2003 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


