
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending December 8, 2012 (WEEK 49)*

column labels in same order that data fields appears in each record below:
Reporting Area
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis current week
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis cummulative for 2012
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis cummulative for 2011
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum current week
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum cummulative for 2012
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum cummulative for 2011
Ehrlichiosis/Anaplasmosis†, Undetermined current week
Ehrlichiosis/Anaplasmosis†, Undetermined previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Undetermined previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Undetermined cummulative for 2012
Ehrlichiosis/Anaplasmosis†, Undetermined cummulative for 2011

tab delimited data:
test
UNITED STATES	5	11	66	869	771	5	14	64	742	2,460	-	2	14	133	142						
NEW ENGLAND	1	0	2	24	3	1	4	19	272	444	-	0	1	1	2						
Conn.	-	0	0	-	-	-	1	10	97	149	-	0	0	-	-						
Maine	-	0	2	5	1	-	1	4	47	23	-	0	0	-	-						
Mass.	-	0	0	-	-	-	0	0	-	172	-	0	0	-	-						
N.H.	-	0	1	4	1	-	1	5	51	27	-	0	0	-	1						
R.I.	1	0	2	15	1	-	1	11	66	66	-	0	1	1	1						
Vt.	-	0	0	-	-	1	0	2	11	7	-	0	0	-	-						
MID. ATLANTIC	2	0	6	40	107	4	6	44	306	410	-	0	2	12	21						
N.J.	-	0	1	-	59	-	0	6	1	115	-	0	0	-	7						
N.Y. (Upstate)	2	0	3	22	41	4	5	41	271	253	-	0	2	12	8						
N.Y. City	-	0	3	18	4	-	0	4	34	36	-	0	0	-	-						
Pa.	-	0	1	-	3	-	0	0	-	6	-	0	1	-	6						
E.N. CENTRAL	-	0	4	40	42	-	1	4	41	706	-	1	9	84	58						
Ill.	-	0	4	36	25	-	0	1	9	11	-	0	1	1	-						
Ind.	-	0	0	-	-	-	0	0	-	-	-	0	7	68	18						
Mich.	-	0	0	-	4	-	0	0	-	-	-	0	1	5	5						
Ohio	-	0	1	3	6	-	0	1	1	8	-	0	1	1	1						
Wis.	-	0	1	1	7	-	0	3	31	687	-	0	2	9	34						
W.N. CENTRAL	-	2	33	271	177	-	0	4	38	805	-	0	4	16	25						
Iowa	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
