
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending April 5, 2008 (WEEK 14)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal disease, invasive, group A current week
Streptococcal disease, invasive, group A previous 52 weeks median 
Streptococcal disease, invasive, group A previous 52 weeks maximum 
Streptococcal disease, invasive, group A cummulative for 2008
Streptococcal disease, invasive, group A cummulative for 2007
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years current week
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2008
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2007

tab delimited data:
test
UNITED STATES	78	94	197	1,621	1,699	26	32	147	454	513											
NEW ENGLAND	-	4	28	37	109	1	1	4	6	44											
Conn.	-	0	22	10	2	-	0	1	-	7											
Maine	-	0	3	9	7	-	0	1	1	-											
Mass.	-	1	12	-	77	-	0	4	-	34											
N.H.	-	0	4	10	13	1	0	1	5	-											
R.I.	-	0	3	3	-	-	0	1	-	2											
Vt.	-	0	2	5	10	-	0	1	-	1											
MID. ATLANTIC	23	17	40	319	349	4	6	38	54	70											
N.J.	-	3	11	35	70	-	1	6	12	19											
N.Y. (Upstate)	12	6	20	115	87	4	2	14	28	31											
N.Y. City	-	4	9	48	87	-	1	35	14	20											
Pa.	11	4	16	121	105	N	0	0	N	N											
E.N. CENTRAL	14	16	56	356	330	4	5	20	97	77											
Ill.	1	4	12	87	114	-	1	6	18	13											
Ind.	-	2	11	44	32	-	0	12	12	4											
Mich.	2	4	10	60	72	-	1	5	24	31											
Ohio	10	4	14	100	93	3	1	5	20	23											
Wis.	1	0	38	65	19	1	0	9	23	6											
W.N. CENTRAL	4	6	39	149	112	1	2	22	40	30											
Iowa	-	0	0	-	-	-	0	0	-	-											
Kans.	-	0	6	25	14	1	0	2	5	1											
Minn.	-	0	35	55	48	-	1	21	13	14											
Mo.	3	2	10	37	33	-	0	2	16	12											
Nebr.	1	0	3	16	5	-	0	3	2	2											
N. Dak.	-	0	3	7	9	-	0	0	-	1											
S. Dak.	-	0	2	9	3	-	0	1	4	-											
S. ATLANTIC	17	23	49	359	377	6	5	10	72	105											
Del.	-	0	3	6	1	-	0	0	-	-											
D.C.	-	0	4	11	4	-	0	1	2	-											
Fla.	7	6	16	86	77	3	1	4	20	18											
Ga.	3	4	13	75	84	-	0	4	-	32											
Md.	2	4	9	69	69	3	1	5	26	26											
N.C.	3	2	22	46	44	N	0	0	N	N											
S.C.	2	1	7	21	34	-	1	4	16	9											
Va.	-	2	12	33	58	-	0	3	5	18											
W. Va.	-	0	3	12	6	-	0	1	3	2											
E.S. CENTRAL	4	4	13	52	69	-	2	11	28	27											
Ala.	N	0	0	N	N	N	0	0	N	N											
Ky.	1	1	2	12	19	N	0	0	N	N											
Miss.	N	0	0	N	N	-	0	3	7	2											
Tenn.	3	3	13	40	50	-	2	9	21	25											
W.S. CENTRAL	8	7	68	143	101	6	4	61	76	81											
Ark.	-	0	1	2	10	-	0	2	3	6											
La.	-	0	2	3	12	-	0	2	-	20											
Okla.	1	1	9	45	33	3	1	5	29	18											
Tex.	7	5	59	93	46	3	3	56	44	37											
MOUNTAIN	8	9	19	169	216	4	4	11	81	75											
Ariz.	5	4	9	68	73	-	2	8	49	39											
Colo.	2	2	9	40	56	3	1	4	16	17											
Idaho	-	0	2	7	5	1	0	1	2	-											
Mont.	N	0	0	N	N	-	0	1	-	-											
Nev.	-	0	1	2	2	N	0	0	N	N											
N. Mex.	-	2	5	33	37	-	0	3	9	16											
Utah	1	1	5	19	41	-	0	2	5	3											
Wyo.	-	0	1	-	2	-	0	0	-	-											
PACIFIC	-	3	7	37	36	-	0	1	-	4											
Alaska	-	0	3	10	5	N	0	0	N	N											
Calif.	-	0	0	-	-	N	0	0	N	N											
Hawaii	-	2	5	27	31	-	0	1	-	4											
Oreg.	N	0	0	N	N	N	0	0	N	N											
Wash.	N	0	0	N	N	N	0	0	N	N											
Amer. Samoa	12	0	4	12	-	N	0	0	N	N											
C.N.M.I.	-	-	-	-	-	-	-	-	-	-											
Guam	-	0	0	-	-	-	0	0	-	-											
P.R.	N	0	0	N	N	N	0	0	N	N											
V.I.	-	0	0	-	-	N	0	0	N	N											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2007 and 2008 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes cases of invasive pneumococcal disease, in children aged <5 years, caused by Streptococcus pneumoniae, 
which is susceptible or for which susceptibility testing is not available (NNDSS event code 11717).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


