
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending March 27, 2004 (WEEK 12)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 2004
AIDS § cummulative for 2003
Chlamydia† cummulative for 2004
Chlamydia† cummulative for 2003
Coccidioidomycosis cummulative for 2004
Coccidioidomycosis cummulative for 2003
Cryptosporidiosis cummulative for 2004
Cryptosporidiosis cummulative for 2003
Encephalitis/Meningitis West Nile cummulative for 2004
Encephalitis/Meningitis West Nile cummulative for 2003

tab delimited data:
test
UNITED STATES	-	8,321	172,890	191,345	1,162	890	569	523	6	57											
NEW ENGLAND	-	279	6,430	6,322	-	-	31	31	-	-											
Maine	-	8	350	426	N	N	4	2	-	-											
N.H.	-	3	408	356	-	-	8	3	-	-											
Vt.	-	5	269	259	-	-	3	5	-	-											
Mass.	-	111	3,244	2,433	-	-	10	16	-	-											
R.I.	-	21	828	695	-	-	1	3	-	-											
Conn.	-	131	1,331	2,153	N	N	5	2	-	-											
MID. ATLANTIC	-	2,163	24,316	22,106	-	-	98	58	2	-											
Upstate N.Y.	-	92	4,722	3,682	N	N	21	11	-	-											
N.Y. City	-	1,272	7,433	7,640	-	-	20	24	-	-											
N.J.	-	296	2,630	3,428	-	-	7	2	-	-											
Pa.	-	503	9,531	7,356	N	N	50	21	2	-											
E.N. CENTRAL	-	856	28,264	35,966	4	2	112	90	-	-											
Ohio	-	128	4,807	9,985	-	-	39	12	-	-											
Ind.	-	119	3,988	4,017	N	N	18	6	-	-											
Ill.	-	365	7,381	11,489	-	-	8	16	-	-											
Mich.	-	202	9,106	6,573	4	2	25	20	-	-											
Wis.	-	42	2,982	3,902	-	-	22	36	-	-											
W.N. CENTRAL	-	136	9,453	11,245	6	1	66	36	1	-											
Minn.	-	23	1,849	2,542	N	N	27	21	-	-											
Iowa	-	23	-	1,084	N	N	8	5	-	-											
Mo.	-	73	3,990	4,029	1	1	14	2	1	-											
N. Dak.	-	-	207	282	N	N	-	-	-	-											
S. Dak.	-	4	553	550	-	-	5	6	-	-											
Nebr.	-	6	1,143	1,070	1	-	-	2	-	-											
Kans.	-	7	1,711	1,688	N	N	12	-	-	-											
S. ATLANTIC	-	1,814	28,196	34,318	-	1	122	174	2	57											
Del.	-	49	698	693	N	N	-	1	-	-											
Md.	-	187	4,455	3,668	-	1	7	6	-	-											
D.C.	-	233	810	784	-	-	1	-	-	-											
Va.	-	264	1,245	3,638	-	-	10	6	-	-											
W. Va.	-	13	667	570	N	N	2	-	-	-											
N.C.	-	192	6,488	5,312	N	N	24	7	-	-											
S.C.	-	169	4,266	3,082	-	-	2	1	1	-											
Ga.	-	415	908	7,270	-	-	42	24	-	-											
Fla.	-	292	8,659	9,301	N	N	34	129	1	57											
E.S. CENTRAL	-	324	11,758	12,710	N	N	27	27	-	-											
Ky.	-	38	1,368	1,944	N	N	6	7	-	-											
Tenn.	-	145	4,708	4,383	N	N	11	10	-	-											
Ala.	-	64	3,077	3,263	-	-	7	8	-	-											
Miss.	-	77	2,605	3,120	N	N	3	2	-	-											
W.S. CENTRAL	-	940	24,032	23,533	2	1	20	9	1	-											
Ark.	-	23	1,815	1,455	1	-	8	2	-	-											
La.	-	49	5,882	4,575	N	N	-	-	1	-											
Okla.	-	40	1,936	1,936	N	N	8	1	-	-											
Tex.	-	828	14,399	15,567	1	1	4	6	-	-											
MOUNTAIN	-	312	9,923	11,897	726	645	31	18	-	-											
Mont.	-	7	42	483	N	N	3	2	-	-											
Idaho	-	4	751	627	N	N	1	4	-	-											
Wyo.	-	2	244	247	-	-	2	-	-	-											
Colo.	-	72	1,790	3,011	N	N	18	3	-	-											
N. Mex.	-	27	1,245	1,837	6	-	1	-	-	-											
Ariz.	-	145	4,230	3,703	707	636	5	2	-	-											
Utah	-	14	567	604	4	1	-	5	-	-											
Nev.	-	41	1,054	1,385	9	8	1	2	-	-											
PACIFIC	-	1,497	30,518	33,248	422	240	62	80	-	-											
Wash.	-	117	3,936	3,448	N	N	3	-	-	-											
Oreg.	-	66	1,449	1,672	-	-	7	6	-	-											
Calif.	-	1,294	24,339	26,096	422	240	51	74	-	-											
Alaska	-	7	783	799	-	-	-	-	-	-											
Hawaii	-	13	11	1,233	-	-	1	-	-	-											
Guam	-	1	-	-	-	-	-	-	-	-											
P.R.	-	235	298	561	N	N	N	N	-	-											
V.I.	-	6	20	75	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	32	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2003 and 2004 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


