
TABLE II. (Part 8)  Provisional cases of selected notifiable diseases, United States, week ending January 19, 2002 (WEEK 03)*

column labels in same order that data fields appears in each record below:
Reporting Area
Syphilis (Primary and Secondary) cummulative for 2002
Syphilis (Primary and Secondary) cummulative for 2001
Syphilis (Congenital) cummulative for 2002
Syphilis (Congenital) cummulative for 2001
Tuberculosis cummulative for 2002
Tuberculosis cummulative for 2001
Typhoid Fever cummulative for 2002
Typhoid Fever cummulative for 2001

tab delimited data:
test
UNITED STATES	191	199	-	25	111	227	3	6													
NEW ENGLAND	-	2	-	-	8	2	2	1													
Maine	-	-	-	-	-	-	-	-													
N.H.	-	-	-	-	-	-	-	-													
Vt.	-	-	-	-	-	1	-	-													
Mass.	-	-	-	-	-	-	1	1													
R.I.	-	-	-	-	3	-	-	-													
Conn.	-	2	-	-	5	1	1	-													
MID. ATLANTIC	5	16	-	3	21	11	-	-													
Upstate N.Y.	-	-	-	1	-	-	-	-													
N.Y. City	4	8	-	-	7	4	-	-													
N.J.	-	2	-	2	-	5	-	-													
Pa.	1	6	-	-	14	2	-	-													
E.N. CENTRAL	27	21	-	2	9	14	-	1													
Ohio	5	3	-	-	2	4	-	-													
Ind.	1	5	-	-	6	4	-	-													
Ill.	3	12	-	2	1	6	-	1													
Mich.	18	-	-	-	-	-	-	-													
Wis.	-	1	-	-	-	-	-	-													
W.N. CENTRAL	-	3	-	1	19	4	-	1													
Minn.	-	2	-	-	1	4	-	-													
Iowa	-	-	-	-	-	-	-	-													
Mo.	-	1	-	-	18	-	-	1													
N. Dak.	-	-	-	-	-	-	-	-													
S. Dak.	-	-	-	-	-	-	-	-													
Nebr.	-	-	-	-	-	-	-	-													
Kans.	-	-	-	1	-	-	-	-													
S. ATLANTIC	52	78	-	8	3	21	1	1													
Del.	-	-	-	-	-	-	-	-													
Md.	5	10	-	1	-	-	-	1													
D.C.	3	-	-	-	-	3	-	-													
Va.	3	6	-	-	-	-	-	-													
W. Va.	-	-	-	-	1	1	-	-													
N.C.	19	17	-	-	2	-	-	-													
S.C.	5	9	-	2	-	5	-	-													
Ga.	9	15	-	2	-	12	1	-													
Fla.	8	21	-	3	-	-	-	-													
E.S. CENTRAL	39	19	-	-	7	10	-	-													
Ky.	1	2	-	-	-	-	-	-													
Tenn.	16	8	-	-	-	-	-	-													
Ala.	20	4	-	-	7	10	-	-													
Miss.	2	5	-	-	-	-	-	-													
W.S. CENTRAL	40	35	-	4	1	82	-	1													
Ark.	-	5	-	2	-	8	-	-													
La.	14	8	-	-	-	-	-	-													
Okla.	7	3	-	-	1	-	-	-													
Tex.	19	19	-	2	-	74	-	1													
MOUNTAIN	18	3	-	1	2	8	-	-													
Mont.	-	-	-	-	-	-	-	-													
Idaho	1	-	-	-	-	-	-	-													
Wyo.	-	-	-	-	-	-	-	-													
Colo.	-	-	-	-	-	1	-	-													
N. Mex.	3	-	-	-	-	2	-	-													
Ariz.	14	2	-	1	2	2	-	-													
Utah	-	1	-	-	-	-	-	-													
Nev.	-	-	-	-	-	3	-	-													
PACIFIC	10	22	-	6	41	75	-	1													
Wash.	1	3	-	-	4	9	-	-													
Oreg.	-	2	-	-	-	3	-	-													
Calif.	9	16	-	6	30	52	-	1													
Alaska	-	-	-	-	1	3	-	-													
Hawaii	-	1	-	-	6	8	-	-													
Guam	-	-	-	-	-	-	-	-													
P.R.	-	21	-	-	-	-	-	-													
V.I.	-	-	-	-	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	1	U	-	U	2	U	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2001 and 2002 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


