
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending March 19, 2005 (WEEK 11)*

column labels in same order that data fields appears in each record below:
Reporting Area
Escherichia coli, Enterohemorrhagic, (EHEC), 0157:H7 cummulative for 2005
Escherichia coli, Enterohemorrhagic, (EHEC), 0157:H7 cummulative for 2004
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, serogroup non-0157 cummulative for 2005
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, serogroup non-0157 cummulative for 2004
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, not serogrouped cummulative for 2005
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, not serogrouped cummulative for 2004
Giardiasis cummulative for 2005
Giardiasis cummulative for 2004
Gonorrhea cummulative for 2005
Gonorrhea cummulative for 2004

tab delimited data:
test
UNITED STATES	182	171	23	32	30	24	2,802	3,268	54,783	67,681											
NEW ENGLAND	14	8	4	9	5	2	217	278	1,015	1,491											
Maine	-	-	-	-	-	-	31	27	32	63											
N.H.	-	1	1	-	-	-	7	8	32	25											
Vt.	1	-	-	-	-	-	24	16	6	14											
Mass.	5	2	1	3	5	2	117	149	617	617											
R.I.	1	1	-	-	-	-	17	23	107	205											
Conn.	7	4	2	6	-	-	21	55	221	567											
MID. ATLANTIC	22	16	1	-	2	6	506	737	5,786	7,634											
Upstate N.Y.	12	3	1	-	-	3	164	188	1,275	1,378											
N.Y. City	1	5	-	-	-	-	125	260	1,444	2,457											
N.J.	5	-	-	-	-	1	64	87	745	1,428											
Pa.	4	8	-	-	2	2	153	202	2,322	2,371											
E.N. CENTRAL	45	46	3	9	3	3	359	516	8,225	14,470											
Ohio	21	11	1	-	2	3	119	158	1,442	4,459											
Ind.	3	13	-	-	-	-	N	N	1,511	1,397											
Ill.	5	7	1	-	-	-	31	175	2,977	4,186											
Mich.	7	8	-	1	1	-	125	113	1,413	3,489											
Wis.	9	7	1	8	-	-	84	70	882	939											
W.N. CENTRAL	27	25	4	6	5	6	316	303	3,093	3,890											
Minn.	3	11	1	2	2	-	125	98	490	939											
Iowa	5	3	-	-	-	-	45	39	264	260											
Mo.	11	3	2	4	1	1	72	100	1,746	1,800											
N. Dak.	-	1	-	-	-	3	1	4	15	35											
S. Dak.	2	-	-	-	-	-	18	12	68	51											
Nebr.	3	4	1	-	1	-	22	23	106	254											
Kans.	3	3	-	-	1	2	33	27	404	551											
S. ATLANTIC	23	11	4	3	13	5	527	521	15,162	16,288											
Del.	-	-	N	N	N	N	8	11	162	216											
Md.	5	2	1	-	-	1	33	19	1,423	1,758											
D.C.	-	-	-	-	-	-	12	16	452	507											
Va.	1	-	1	2	2	-	110	64	2,031	2,047											
W. Va.	-	1	-	-	-	-	6	7	171	179											
N.C.	-	-	-	-	9	3	N	N	4,020	3,254											
S.C.	-	1	-	-	-	-	19	14	2,060	1,891											
Ga.	5	2	1	-	-	-	167	158	959	3,068											
Fla.	12	5	1	1	2	1	172	232	3,884	3,368											
E.S. CENTRAL	9	7	-	-	-	2	69	65	4,260	5,187											
Ky.	-	3	-	-	-	2	N	N	840	546											
Tenn.	6	2	-	-	-	-	31	28	1,593	1,736											
Ala.	3	1	-	-	-	-	38	37	478	1,644											
Miss.	-	1	-	-	-	-	-	-	1,349	1,261											
W.S. CENTRAL	4	16	1	-	1	-	49	60	7,914	9,220											
Ark.	1	1	-	-	-	-	18	27	937	757											
La.	-	1	1	-	1	-	7	10	643	2,595											
Okla.	1	3	-	-	-	-	24	23	1,033	897											
Tex.	2	11	-	-	-	-	N	N	5,301	4,971											
MOUNTAIN	15	17	6	4	1	-	246	266	2,418	2,381											
Mont.	1	1	-	-	-	-	9	5	23	7											
Idaho	1	3	4	1	-	-	22	42	19	13											
Wyo.	-	-	1	-	-	-	1	1	11	11											
Colo.	3	3	1	1	-	-	77	87	596	628											
N. Mex.	-	3	-	1	-	-	9	12	100	168											
Ariz.	4	2	N	N	N	N	47	57	976	1,015											
Utah	2	2	-	-	-	-	64	44	126	63											
Nev.	4	3	-	1	1	-	17	18	567	476											
PACIFIC	23	25	-	1	-	-	513	522	6,910	7,120											
Wash.	5	3	-	-	-	-	28	38	622	601											
Oreg.	-	2	-	1	-	-	42	92	296	208											
Calif.	14	17	-	-	-	-	414	370	5,712	5,863											
Alaska	2	-	-	-	-	-	13	8	106	122											
Hawaii	2	3	-	-	-	-	16	14	174	326											
Guam	N	N	-	-	-	-	-	-	-	45											
P.R.	-	-	-	-	-	-	6	4	85	43											
V.I.	-	-	-	-	-	-	-	-	2	33											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2004 and 2005 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


