
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending July 10, 1999 (WEEK 27)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 1999
AIDS § cummulative for 1998
Chlamydia† cummulative for 1999
Chlamydia† cummulative for 1998
Cryptosporidiosis cummulative for 1999
Cryptosporidiosis cummulative for 1998
Escherichia coli O157:H7 NETSS cummulative for 1999
Escherichia coli O157:H7 NETSS cummulative for 1998
Escherichia coli O157:H7 PHLIS cummulative for 1999
Escherichia coli O157:H7 PHLIS cummulative for 1998

tab delimited data:
test
UNITED STATES	23,194	23,725	293,694	297,705	680	1,010	788	924	469	797											
NEW ENGLAND	1,120	810	9,808	10,496	32	73	108	129	77	111											
Maine	29	18	193	493	10	18	11	13	-	-											
N.H.	26	15	481	500	5	3	15	17	8	22											
Vt.	6	10	241	206	6	11	12	5	2	5											
Mass.	716	372	4,696	4,270	11	37	42	68	39	63											
R.I.	61	69	1,216	1,275	-	4	6	5	6	1											
Conn.	282	326	2,981	3,752	-	-	22	21	22	20											
MID. ATLANTIC	5,913	6,918	36,296	31,319	101	300	46	94	14	34											
Upstate N.Y.	725	856	N	N	60	185	40	60	-	-											
N.Y. City	3,003	3,888	19,071	13,694	22	104	-	7	4	6											
N.J.	1,158	1,215	5,333	6,011	9	11	6	27	10	21											
Pa.	1,027	959	11,892	11,614	10	-	N	N	-	7											
E.N. CENTRAL	1,502	1,760	42,783	50,930	61	107	142	180	90	151											
Ohio	241	339	11,913	13,904	20	40	56	39	26	24											
Ind.	191	323	5,280	5,551	9	20	17	52	16	26											
Ill.	682	693	14,326	13,334	11	32	41	50	18	33											
Mich.	308	305	11,264	11,206	21	15	28	39	15	29											
Wis.	80	100	U	6,935	-	-	N	N	15	39											
W.N. CENTRAL	537	441	14,472	17,540	51	127	147	117	78	115											
Minn.	82	64	3,264	3,576	14	43	47	37	47	51											
Iowa	50	49	1,225	2,071	9	24	15	29	10	22											
Mo.	261	210	5,099	6,201	11	11	17	16	15	22											
N. Dak.	4	4	325	510	4	14	3	2	1	6											
S. Dak.	11	9	832	819	3	17	5	8	4	10											
Nebr.	39	37	1,258	1,470	9	15	50	15	-	-											
Kans.	90	68	2,469	2,893	1	3	10	10	1	4											
S. ATLANTIC	6,366	5,825	66,663	56,944	163	96	102	61	50	64											
Del.	80	75	1,417	1,292	-	-	2	-	-	1											
Md.	720	717	4,944	4,326	7	9	6	13	-	8											
D.C.	242	480	N	N	5	4	-	-	-	-											
Va.	340	424	7,623	5,685	10	1	29	-	19	26											
W. Va.	31	51	1,011	1,242	-	1	4	3	1	3											
N.C.	390	389	11,723	11,283	4	-	22	12	16	15											
S.C.	588	381	8,635	9,725	-	-	12	3	5	1											
Ga.	958	618	16,560	12,391	86	30	8	24	-	-											
Fla.	3,017	2,690	14,750	11,000	51	51	19	6	9	10											
E.S. CENTRAL	1,034	933	20,124	20,358	10	15	54	57	19	36											
Ky.	152	126	3,333	3,125	2	5	14	16	-	-											
Tenn.	405	330	7,102	6,620	4	6	24	24	12	24											
Ala.	257	274	5,353	5,281	2	-	12	14	6	11											
Miss.	220	203	4,336	5,332	2	4	4	3	1	1											
W.S. CENTRAL	2,491	2,889	44,392	44,687	33	17	31	38	35	51											
Ark.	90	104	3,119	1,874	-	3	5	4	4	6											
La.	463	507	7,726	7,153	21	8	3	3	6	2											
Okla.	70	170	4,070	5,074	2	3	7	6	5	4											
Tex.	1,868	2,108	29,477	30,586	10	3	16	25	20	39											
MOUNTAIN	860	816	16,331	16,601	41	71	65	112	35	109											
Mont.	4	15	654	655	7	6	4	6	-	2											
Idaho	12	15	641	979	3	14	2	10	2	7											
Wyo.	3	1	356	337	-	-	3	21	4	45											
Colo.	172	146	3,751	4,154	4	5	24	26	13	21											
N. Mex.	46	130	1,731	1,986	17	28	4	10	1	6											
Ariz.	427	327	6,657	5,668	7	10	11	15	6	11											
Utah	80	65	1,000	1,168	-	1	14	17	7	10											
Nev.	116	117	1,541	1,654	3	7	3	7	2	7											
PACIFIC	3,371	3,333	42,825	48,830	188	204	93	136	71	126											
Wash.	188	230	6,134	5,716	-	-	32	28	26	37											
Oreg.	88	94	3,021	2,675	73	22	22	33	21	33											
Calif.	3,036	2,930	31,628	38,266	115	179	39	73	22	52											
Alaska	13	12	947	975	-	-	-	2	-	-											
Hawaii	46	67	1,095	1,198	-	3	-	-	2	4											
Guam	5	-	149	189	-	-	N	N	-	-											
P.R.	734	995	U	U	-	-	5	-	U	U											
V.I.	15	17	N	N	-	-	N	N	U	U											
Amer. Samoa	-	-	U	U	-	-	N	N	U	U											
C.N.M.I.	-	-	N	N	-	-	N	N	U	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1998 and 1999 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


