
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending May 29, 1999 (WEEK 21)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 1999
AIDS § cummulative for 1998
Chlamydia† cummulative for 1999
Chlamydia† cummulative for 1998
Cryptosporidiosis cummulative for 1999
Cryptosporidiosis cummulative for 1998
Escherichia coli O157:H7 NETSS cummulative for 1999
Escherichia coli O157:H7 NETSS cummulative for 1998
Escherichia coli O157:H7 PHLIS cummulative for 1999
Escherichia coli O157:H7 PHLIS cummulative for 1998

tab delimited data:
test
UNITED STATES	18,649	19,858	223,144	244,426	472	775	506	447	261	317											
NEW ENGLAND	953	620	7,765	8,239	23	63	76	55	61	47											
Maine	22	13	193	382	4	14	4	2	-	-											
N.H.	24	13	389	387	5	3	10	8	7	10											
Vt.	6	10	201	151	6	7	8	-	1	-											
Mass.	627	264	3,330	3,371	8	35	32	31	29	26											
R.I.	60	60	953	1,011	-	4	4	3	6	1											
Conn.	214	260	2,699	2,937	-	-	18	11	18	10											
MID. ATLANTIC	4,463	5,687	28,840	38,841	76	252	32	41	7	13											
Upstate N.Y.	531	714	N	N	44	162	28	30	-	-											
N.Y. City	2,110	3,149	15,182	25,408	16	60	-	4	2	5											
N.J.	967	986	4,180	4,637	7	8	4	7	5	7											
Pa.	855	838	9,478	8,796	9	22	N	N	-	1											
E.N. CENTRAL	1,289	1,510	34,271	39,064	47	88	85	85	41	60											
Ohio	209	287	9,140	10,696	16	34	33	21	8	6											
Ind.	169	292	4,444	4,308	8	19	14	12	10	20											
Ill.	594	598	11,452	10,197	6	23	19	35	7	7											
Mich.	252	251	9,235	8,486	17	12	19	17	10	11											
Wis.	65	82	U	5,377	-	-	N	N	6	16											
W.N. CENTRAL	389	345	7,809	13,992	34	64	94	48	36	36											
Minn.	69	55	2,456	2,833	14	19	30	18	21	18											
Iowa	44	20	1,199	1,695	7	14	9	7	2	1											
Mo.	154	175	U	4,815	5	5	12	7	9	14											
N. Dak.	4	4	325	407	3	5	3	1	-	1											
S. Dak.	11	9	674	668	2	9	3	1	4	1											
Nebr.	34	34	1,165	1,193	2	11	30	6	-	-											
Kans.	73	48	1,990	2,381	1	1	7	8	-	1											
S. ATLANTIC	5,239	4,979	51,684	43,515	123	64	60	26	31	23											
Del.	72	57	1,157	1,036	-	-	2	-	-	1											
Md.	560	572	4,299	3,345	6	5	4	10	-	6											
D.C.	208	412	N	N	4	3	-	-	-	-											
Va.	266	368	5,862	3,665	5	1	18	-	8	9											
W. Va.	26	44	861	977	-	1	1	1	1	-											
N.C.	356	333	9,320	9,141	1	N	11	7	10	3											
S.C.	485	313	7,547	7,534	-	-	7	1	3	-											
Ga.	826	610	12,211	9,858	72	17	4	2	-	-											
Fla.	2,440	2,270	10,427	7,959	35	37	13	5	9	4											
E.S. CENTRAL	844	784	16,142	15,799	7	15	35	32	14	18											
Ky.	128	101	2,634	2,517	1	5	11	8	-	-											
Tenn.	339	268	5,789	5,148	4	6	12	17	7	13											
Ala.	214	232	3,811	3,917	1	N	9	5	6	5											
Miss.	163	183	3,908	4,217	1	4	3	2	1	-											
W.S. CENTRAL	2,091	2,463	30,137	34,206	26	12	19	22	11	6											
Ark.	70	81	2,304	1,417	-	2	5	1	3	1											
La.	410	412	6,866	4,968	18	5	3	-	3	1											
Okla.	54	134	3,265	4,140	1	3	6	3	5	4											
Tex.	1,557	1,836	17,702	23,681	7	2	5	18	-	-											
MOUNTAIN	723	706	13,165	12,547	30	54	43	44	19	35											
Mont.	4	13	512	475	4	-	3	2	-	-											
Idaho	11	14	501	769	2	14	1	3	2	1											
Wyo.	3	1	315	275	-	-	3	-	3	-											
Colo.	144	126	3,117	3,206	4	2	15	8	5	8											
N. Mex.	37	111	1,561	1,531	11	23	2	8	1	6											
Ariz.	355	283	5,343	4,312	7	9	9	8	4	7											
Utah	70	57	768	890	-	-	8	10	2	7											
Nev.	99	101	1,048	1,089	2	6	2	5	2	6											
PACIFIC	2,658	2,764	33,331	38,223	106	163	62	94	41	79											
Wash.	153	196	4,812	4,526	-	-	17	20	16	27											
Oreg.	63	87	2,171	2,003	10	16	16	22	12	22											
Calif.	2,394	2,428	24,681	29,993	96	146	29	52	12	27											
Alaska	6	12	786	783	-	-	-	-	-	-											
Hawaii	42	41	881	918	-	1	-	-	1	3											
Guam	1	-	-	148	-	-	N	N	-	-											
P.R.	625	830	U	U	-	-	6	4	U	U											
V.I.	13	17	N	N	-	-	N	N	U	U											
Amer. Samoa	-	-	U	U	-	-	N	N	U	U											
C.N.M.I.	-	-	N	N	-	-	N	N	U	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1998 and 1999 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


