
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending January 23, 1999 (WEEK 03)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 1999*
AIDS § cummulative for 1998
Chlamydia† cummulative for 1999
Chlamydia† cummulative for 1998
Escherichia coli O157:H7 NETSS cummulative for 1999
Escherichia coli O157:H7 PHLIS cummulative for 1999
Gonorrhea cummulative for 1999
Gonorrhea cummulative for 1998
Hepatitis C/NA,NB cummulative for 1999
Hepatitis C/NA,NB cummulative for 1998

tab delimited data:
test
UNITED STATES	-	1,630	19,089	30,613	45	10	11,924	19,651	63	132											
NEW ENGLAND	-	62	653	1,174	6	2	203	393	11	6											
Maine	-	-	-	11	1	-	-	2	-	-											
N.H.	-	-	46	50	-	-	-	7	-	-											
Vt.	-	5	6	17	-	-	3	-	-	1											
Mass.	-	6	481	521	4	2	168	151	11	5											
R.I.	-	13	119	156	-	-	31	23	-	-											
Conn.	-	38	1	419	1	-	1	210	-	-											
MID. ATLANTIC	-	735	2,987	4,330	2	-	1,599	2,715	-	6											
Upstate N.Y.	-	6	N	N	2	-	31	236	-	6											
N.Y. City	-	476	1,715	1,920	-	-	877	1,036	-	-											
N.J.	-	94	132	601	-	-	85	463	-	-											
Pa.	-	159	1,140	1,809	N	-	606	980	-	-											
E.N. CENTRAL	-	22	2,152	5,420	15	1	1,719	3,951	11	31											
Ohio	-	1	835	1,623	13	1	609	914	-	2											
Ind.	-	1	-	301	2	-	391	320	-	1											
Ill.	-	2	1,104	U	-	-	599	U	-	4											
Mich.	-	14	175	1,571	-	-	81	1,256	11	24											
Wis.	-	4	38	751	N	-	39	308	-	-											
W.N. CENTRAL	-	23	371	1,891	5	2	135	740	-	23											
Minn.	-	-	44	389	2	2	28	166	-	-											
Iowa	-	-	6	95	3	-	6	25	-	1											
Mo.	-	19	-	739	-	-	-	268	-	22											
N. Dak.	-	-	-	55	-	-	-	3	-	-											
S. Dak.	-	-	55	85	-	-	8	17	-	-											
Nebr.	-	-	-	123	-	-	-	60	-	-											
Kans.	-	4	266	405	-	-	93	201	-	-											
S. ATLANTIC	-	372	6,030	5,169	6	2	4,774	4,739	4	5											
Del.	-	-	144	75	-	-	90	80	-	-											
Md.	-	43	435	382	1	-	318	245	2	2											
D.C.	-	-	N	N	-	-	184	237	-	-											
Va.	-	36	847	335	N	-	805	332	-	1											
W. Va.	-	2	105	168	-	1	45	47	-	-											
N.C.	-	44	1,227	914	2	1	1,150	849	-	2											
S.C.	-	40	2,042	1,013	1	-	1,161	835	-	-											
Ga.	-	2	-	1,379	-	-	-	1,283	-	-											
Fla.	-	205	1,230	903	2	-	1,021	831	2	-											
E.S. CENTRAL	-	45	1,331	2,098	4	-	1,202	2,279	4	4											
Ky.	-	18	-	282	-	-	-	217	-	1											
Tenn.	-	27	678	696	3	-	527	719	3	3											
Ala.	-	-	653	543	1	-	675	770	1	-											
Miss.	-	-	-	577	-	-	-	573	-	-											
W.S. CENTRAL	-	311	1,810	4,026	-	-	1,313	2,979	-	-											
Ark.	-	15	223	128	-	-	46	202	-	-											
La.	-	-	1,094	754	-	-	1,001	832	-	-											
Okla.	-	14	493	450	-	-	266	276	-	-											
Tex.	-	282	-	2,694	-	-	-	1,669	-	-											
MOUNTAIN	-	55	1,159	1,287	4	1	377	460	5	13											
Mont.	-	5	-	6	-	-	-	-	-	3											
Idaho	-	3	-	70	-	-	-	7	2	3											
Wyo.	-	-	-	39	-	-	-	2	-	1											
Colo.	-	20	364	280	2	1	77	175	1	2											
N. Mex.	-	9	224	266	1	-	52	56	2	1											
Ariz.	-	15	522	425	-	-	243	192	-	-											
Utah	-	-	49	113	1	-	5	13	-	2											
Nev.	-	3	-	88	-	-	-	15	-	1											
PACIFIC	-	5	2,596	5,218	3	2	602	1,395	28	44											
Wash.	-	-	-	509	-	1	-	88	-	-											
Oreg.	-	-	-	380	-	1	-	57	-	-											
Calif.	-	-	2,512	4,110	3	-	592	1,207	28	44											
Alaska	-	-	28	93	-	-	3	16	-	-											
Hawaii	-	5	56	126	-	-	7	27	-	-											
Guam	-	-	-	9	N	-	-	1	-	-											
P.R.	-	-	U	U	-	U	13	35	-	-											
V.I.	-	-	N	N	N	U	U	U	U	U											
Amer. Samoa	-	-	U	U	N	U	U	U	U	U											
C.N.M.I.	-	-	N	N	N	U	-	5	-	-											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1998 and 1999 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


