
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending March 29, 1997 (WEEK 13)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 1997*
AIDS § cummulative for 1996
Chlamydia† cummulative for 1997
Chlamydia† cummulative for 1996
Escherichia coli O157:H7 NETSS cummulative for 1997
Escherichia coli O157:H7 PHLIS cummulative for 1997
Gonorrhea cummulative for 1997
Gonorrhea cummulative for 1996
Hepatitis C/NA,NB cummulative for 1997
Hepatitis C/NA,NB cummulative for 1996

tab delimited data:
test
UNITED STATES	10,182	16,657	82,771	95,380	238	100	56,242	75,402	949	736											
NEW ENGLAND	262	648	3,521	4,617	18	10	1,342	1,853	8	18											
Maine	16	10	236	U	1	-	12	11	-	-											
N.H.	2	23	139	154	-	-	37	34	2	2											
Vt.	10	7	101	126	1	1	15	16	-	9											
Mass.	125	387	1,666	1,654	14	9	603	566	6	5											
R.I.	29	38	535	556	1	-	135	140	-	2											
Conn.	80	183	844	2,127	1	-	540	1,086	-	-											
MID. ATLANTIC	3,529	4,439	5,014	13,001	17	3	3,197	7,130	59	55											
Upstate N.Y.	537	539	N	N	10	3	411	6	41	48											
N.Y. City	1,788	2,448	U	5,189	4	-	U	3,207	-	1											
N.J.	770	924	1,144	2,777	3	-	812	1,190	-	-											
Pa.	434	528	3,870	5,035	N	-	1,974	2,727	18	6											
E.N. CENTRAL	597	1,391	13,763	22,558	42	14	8,739	14,870	146	125											
Ohio	130	300	3,346	5,350	17	9	2,242	3,940	5	4											
Ind.	88	264	2,028	2,103	7	1	1,409	1,603	2	4											
Ill.	252	525	2,748	6,546	9	-	1,439	4,307	8	23											
Mich.	89	224	4,321	5,771	9	2	3,005	3,777	131	94											
Wis.	38	78	1,320	2,788	N	2	644	1,243	-	-											
W.N. CENTRAL	207	401	5,214	8,279	34	24	2,300	3,217	29	19											
Minn.	39	83	U	1,369	20	16	U	-	-	-											
Iowa	47	31	1,239	641	8	2	313	201	14	5											
Mo.	81	169	2,559	3,921	1	3	1,510	2,217	5	10											
N. Dak.	2	1	81	274	3	2	5	9	2	-											
S. Dak.	2	5	279	300	-	-	30	45	-	-											
Nebr.	21	32	250	595	1	-	88	121	-	2											
Kans.	15	80	806	1,179	1	1	354	624	8	2											
S. ATLANTIC	2,493	4,526	19,556	13,262	34	5	20,833	26,488	61	38											
Del.	38	92	U	U	1	1	266	357	-	-											
Md.	304	438	1,682	1,384	2	1	3,217	3,312	4	-											
D.C.	130	229	N	N	-	-	1,173	1,124	-	-											
Va.	243	223	2,929	3,073	N	-	2,369	2,388	4	3											
W. Va.	17	24	U	U	N	-	162	99	1	4											
N.C.	153	196	4,424	U	5	3	4,042	4,944	17	8											
S.C.	158	226	3,142	U	-	-	2,761	2,923	12	7											
Ga.	370	680	2,070	3,139	13	-	2,924	6,642	U	-											
Fla.	1,080	2,418	5,309	5,666	13	-	3,919	4,699	23	16											
E.S. CENTRAL	315	539	7,780	7,068	20	4	7,907	7,583	75	142											
Ky.	32	87	1,584	1,817	6	-	993	1,027	5	7											
Tenn.	136	200	2,872	2,975	12	4	2,497	2,633	35	134											
Ala.	87	157	1,835	2,200	-	-	2,607	3,435	4	1											
Miss.	60	95	1,489	76	2	-	1,810	488	31	-											
W.S. CENTRAL	931	1,464	10,111	4,705	3	1	7,025	6,033	60	79											
Ark.	40	70	288	343	2	-	615	976	2	1											
La.	152	428	1,527	U	1	1	1,542	2,042	42	33											
Okla.	46	52	1,849	1,929	-	-	1,245	1,187	2	26											
Tex.	693	914	6,447	2,433	-	-	3,623	1,828	14	19											
MOUNTAIN	294	463	4,897	3,057	26	17	1,711	2,033	87	159											
Mont.	8	4	137	303	-	-	10	6	3	8											
Idaho	4	7	370	390	1	-	25	20	14	38											
Wyo.	5	2	110	173	-	-	14	10	27	41											
Colo.	82	150	101	7	13	8	381	502	20	16											
N. Mex.	25	25	1,017	989	4	1	348	235	14	25											
Ariz.	73	134	2,293	73	N	6	744	990	5	21											
Utah	17	62	308	403	2	-	36	72	1	6											
Nev.	80	79	561	719	6	2	153	198	3	4											
PACIFIC	1,554	2,786	12,915	18,833	44	20	3,188	6,195	424	101											
Wash.	92	216	2,268	2,467	8	-	537	631	6	23											
Oreg.	74	152	700	1,335	13	10	98	108	3	3											
Calif.	1,370	2,379	9,262	14,384	20	8	2,325	5,186	372	36											
Alaska	10	3	324	171	3	-	125	144	-	2											
Hawaii	8	36	361	476	N	2	103	126	43	37											
Guam	-	3	-	90	N	-	-	22	-	-											
P.R.	264	416	N	N	9	U	225	60	19	12											
V.I.	11	3	N	N	N	U	-	-	-	-											
Amer. Samoa	-	-	-	-	N	U	-	-	-	-											
C.N.M.I.	-	-	N	N	N	U	8	11	2	-											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1996 and 1997 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


