
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending April 21, 2001 (WEEK 16)*

column labels in same order that data fields appears in each record below:
Reporting Area
Meningococcal Disease cummulative for 2001
Meningococcal Disease cummulative for 2000
Mumps current week
Mumps cummulative for 2001
Mumps cummulative for 2000
Pertussis current week
Pertussis cummulative for 2001
Pertussis cummulative for 2000
Rubella current week
Rubella cummulative for 2001
Rubella cummulative for 2000

tab delimited data:
test
UNITED STATES	877	843	6	49	143	103	1,447	1,545	-	3	27										
NEW ENGLAND	59	49	-	-	2	1	217	415	-	-	6										
Maine	-	3	-	-	-	-	-	9	-	-	-										
N.H.	5	3	-	-	-	-	16	49	-	-	1										
Vt.	4	2	-	-	-	-	22	77	-	-	-										
Mass.	35	31	-	-	-	-	172	261	-	-	4										
R.I.	1	3	-	-	1	-	-	6	-	-	-										
Conn.	14	7	-	-	1	1	7	13	-	-	1										
MID. ATLANTIC	69	81	-	1	10	2	89	141	-	1	5										
Upstate N.Y.	29	15	-	-	5	2	73	70	-	1	2										
N.Y. City	17	23	-	1	3	-	6	29	-	-	3										
N.J.	21	20	-	-	-	-	2	-	-	-	-										
Pa.	2	23	-	-	2	-	8	42	-	-	-										
E.N. CENTRAL	108	146	2	6	17	4	166	216	-	1	-										
Ohio	40	25	-	1	6	-	112	131	-	-	-										
Ind.	17	17	-	-	-	2	7	12	-	-	-										
Ill.	18	40	2	5	4	2	14	18	-	1	-										
Mich.	21	47	-	-	6	-	15	12	-	-	-										
Wis.	12	17	-	-	1	-	18	43	-	-	-										
W.N. CENTRAL	58	52	1	5	7	19	66	46	-	-	1										
Minn.	7	3	1	1	-	17	17	21	-	-	-										
Iowa	15	12	-	-	4	-	5	8	-	-	-										
Mo.	21	27	-	-	1	-	29	7	-	-	-										
N. Dak.	2	1	-	-	-	-	-	1	-	-	-										
S. Dak.	2	4	-	-	-	1	3	1	-	-	-										
Nebr.	2	3	-	-	1	1	2	2	-	-	1										
Kans.	9	2	-	4	1	-	10	6	-	-	-										
S. ATLANTIC	170	121	1	6	18	8	68	110	-	1	3										
Del.	-	-	-	-	-	-	-	1	-	-	-										
Md.	22	12	1	3	5	1	11	34	-	-	-										
D.C.	-	-	-	-	-	-	1	-	-	-	-										
Va.	19	19	-	2	4	-	8	10	-	-	-										
W. Va.	4	3	-	-	-	-	1	-	-	-	-										
N.C.	39	24	-	-	2	1	24	28	-	-	-										
S.C.	15	9	-	1	6	5	13	15	-	-	2										
Ga.	23	22	-	-	-	-	2	12	-	1	-										
Fla.	48	32	-	-	1	1	8	10	-	-	1										
E.S. CENTRAL	59	55	-	-	4	-	29	35	-	-	4										
Ky.	10	11	-	-	-	-	6	23	-	-	1										
Tenn.	21	23	-	-	2	-	16	3	-	-	-										
Ala.	24	16	-	-	1	-	4	8	-	-	3										
Miss.	4	5	U	-	1	U	3	1	U	-	-										
W.S. CENTRAL	127	95	-	6	14	1	25	30	-	-	3										
Ark.	10	5	-	1	1	1	3	6	-	-	-										
La.	44	27	-	2	3	-	1	3	-	-	-										
Okla.	14	17	-	-	-	-	1	-	-	-	-										
Tex.	59	46	-	3	10	-	20	21	-	-	3										
MOUNTAIN	50	50	-	5	8	67	692	269	-	-	-										
Mont.	-	1	-	-	1	-	5	1	-	-	-										
Idaho	4	6	-	-	-	2	159	35	-	-	-										
Wyo.	-	-	-	1	-	-	-	-	-	-	-										
Colo.	20	13	-	2	1	1	135	167	-	-	-										
N. Mex.	8	7	-	2	1	2	42	38	-	-	-										
Ariz.	9	16	-	-	-	62	337	20	-	-	-										
Utah	5	5	-	-	3	-	9	5	-	-	-										
Nev.	4	2	-	-	2	-	5	3	-	-	-										
PACIFIC	177	194	2	20	63	1	95	283	-	-	5										
Wash.	33	14	-	-	1	-	29	76	-	-	4										
Oreg.	9	24	N	N	N	1	4	26	-	-	-										
Calif.	128	149	2	16	55	-	58	167	-	-	1										
Alaska	1	2	-	1	2	-	-	4	-	-	-										
Hawaii	6	5	-	3	5	-	4	10	-	-	-										
Guam	-	-	U	-	-	U	-	-	U	-	-										
P.R.	1	4	U	-	-	U	-	-	U	-	-										
V.I.	-	-	U	-	-	U	-	-	U	-	-										
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U										
C.N.M.I.	U	U	U	U	U	U	U	U	U	U	U										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2000 and 2001 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


