
TABLE II. (Part 4)  Provisional cases of selected notifiable diseases, United States, week ending January 8, 2000 (WEEK 01)*

column labels in same order that data fields appears in each record below:
Reporting Area
Shigellosis NETSS cummulative for 2000
Shigellosis NETSS cummulative for 1999
Shigellosis PHLIS cummulative for 2000
Shigellosis PHLIS cummulative for 1999
Syphilis (Primary and Secondary) cummulative for 2000
Syphilis (Primary and Secondary) cummulative for 1999
Tuberculosis cummulative for 2000
Tuberculosis cummulative for 1999

tab delimited data:
test
UNITED STATES	39	163	1	174	30	119	4	146													
NEW ENGLAND	-	3	-	2	1	2	-	2													
Maine	-	-	-	-	-	-	-	-													
N.H.	-	-	-	-	-	-	-	-													
Vt.	-	-	-	-	-	-	-	-													
Mass.	-	3	-	2	1	1	-	-													
R.I.	-	-	-	-	-	-	-	-													
Conn.	-	-	-	-	-	1	-	2													
MID. ATLANTIC	-	10	-	18	-	3	-	-													
Upstate N.Y.	-	1	-	4	-	-	-	-													
N.Y. City	-	3	-	9	-	3	-	-													
N.J.	-	5	-	5	-	-	-	-													
Pa.	-	1	-	-	-	-	-	-													
E.N. CENTRAL	24	50	-	28	10	15	-	18													
Ohio	6	13	-	5	-	3	-	10													
Ind.	2	-	-	-	4	2	-	2													
Ill.	-	25	-	20	6	7	-	6													
Mich.	16	6	-	-	-	-	-	-													
Wis.	-	6	-	3	-	3	-	-													
W.N. CENTRAL	6	8	-	14	-	3	-	-													
Minn.	-	-	-	4	-	-	-	-													
Iowa	2	-	-	-	-	-	-	-													
Mo.	4	5	-	7	-	3	-	-													
N. Dak.	-	-	-	-	-	-	-	-													
S. Dak.	-	-	-	-	-	-	-	-													
Nebr.	-	3	-	2	-	-	-	-													
Kans.	-	-	-	1	-	-	-	-													
S. ATLANTIC	1	12	-	11	17	49	-	4													
Del.	-	-	-	-	-	-	-	2													
Md.	-	3	-	-	3	2	-	-													
D.C.	-	1	U	U	-	5	-	-													
Va.	-	-	-	-	9	2	-	-													
W. Va.	-	-	-	-	-	-	-	1													
N.C.	1	2	-	4	5	13	-	-													
S.C.	-	-	-	-	-	-	-	-													
Ga.	-	-	-	-	-	18	-	-													
Fla.	-	6	-	7	-	9	-	1													
E.S. CENTRAL	5	4	1	19	-	23	2	7													
Ky.	-	2	U	U	-	2	-	1													
Tenn.	-	1	1	16	-	13	-	-													
Ala.	1	1	-	3	-	7	2	6													
Miss.	4	-	-	-	-	1	-	-													
W.S. CENTRAL	-	8	-	62	2	18	-	37													
Ark.	-	1	-	1	-	1	-	-													
La.	-	-	-	3	-	3	-	U													
Okla.	-	-	-	-	2	4	-	-													
Tex.	-	7	-	58	-	10	-	37													
MOUNTAIN	3	5	-	10	-	-	-	1													
Mont.	-	-	-	-	-	-	-	-													
Idaho	1	1	-	-	-	-	-	-													
Wyo.	-	-	-	-	-	-	-	-													
Colo.	-	1	-	2	-	-	-	U													
N. Mex.	2	2	-	1	-	-	-	-													
Ariz.	-	-	-	5	-	-	-	-													
Utah	-	1	-	2	-	-	-	-													
Nev.	-	-	-	-	-	-	-	1													
PACIFIC	-	63	-	10	-	6	2	77													
Wash.	-	-	-	6	-	-	2	-													
Oreg.	-	-	-	-	-	1	-	1													
Calif.	-	59	-	-	-	5	-	71													
Alaska	-	-	-	-	-	-	-	1													
Hawaii	-	4	-	4	-	-	-	4													
Guam	-	1	U	U	-	-	-	-													
P.R.	-	-	U	U	-	3	-	-													
V.I.	-	U	U	U	-	U	-	U													
Amer. Samoa	-	U	U	U	-	U	-	U													
C.N.M.I.	-	U	U	U	-	U	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1999 and 2000 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


