
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending March 13, 1999 (WEEK 10)*

column labels in same order that data fields appears in each record below:
Reporting Area
Meningococcal Disease cummulative for 1999
Meningococcal Disease cummulative for 1998
Mumps current week
Mumps cummulative for 1999
Mumps cummulative for 1998
Pertussis current week
Pertussis cummulative for 1999
Pertussis cummulative for 1998
Rubella current week
Rubella cummulative for 1999
Rubella cummulative for 1998

tab delimited data:
test
UNITED STATES	474	705	6	67	83	81	646	786	1	6	67										
NEW ENGLAND	25	39	-	1	-	2	84	159	-	-	13										
Maine	3	3	-	-	-	-	-	4	-	-	-										
N.H.	-	1	-	1	-	-	17	15	-	-	-										
Vt.	2	1	-	-	-	-	11	24	-	-	-										
Mass.	17	15	-	-	-	-	54	112	-	-	1										
R.I.	2	3	-	-	-	2	2	-	-	-	-										
Conn.	1	16	-	-	-	-	-	4	-	-	12										
MID. ATLANTIC	51	71	3	9	6	6	86	95	-	-	44										
Upstate N.Y.	9	16	-	2	2	2	59	56	-	-	39										
N.Y. City	17	10	-	-	4	-	-	6	-	-	1										
N.J.	13	18	U	-	-	U	-	6	U	-	4										
Pa.	12	27	3	7	-	4	27	27	-	-	-										
E.N. CENTRAL	71	119	1	6	10	12	80	88	-	-	-										
Ohio	33	45	1	3	7	10	66	33	-	-	-										
Ind.	7	20	-	-	-	-	2	8	-	-	-										
Ill.	23	26	-	-	-	-	-	3	-	-	-										
Mich.	8	13	-	3	3	2	12	11	-	-	-										
Wis.	-	15	-	-	-	-	-	33	-	-	-										
W.N. CENTRAL	44	50	-	2	8	-	9	58	-	-	-										
Minn.	16	-	-	-	4	-	-	28	-	-	-										
Iowa	9	9	-	2	2	-	3	13	-	-	-										
Mo.	8	25	-	-	1	-	5	10	-	-	-										
N. Dak.	-	-	-	-	1	-	-	-	-	-	-										
S. Dak.	5	4	-	-	-	-	1	-	-	-	-										
Nebr.	2	1	U	-	-	U	-	3	U	-	-										
Kans.	4	11	-	-	-	-	-	4	-	-	-										
S. ATLANTIC	88	103	-	12	12	6	58	57	-	3	1										
Del.	1	1	-	-	-	-	-	-	-	-	-										
Md.	13	13	-	2	-	2	19	13	-	-	-										
D.C.	1	-	-	1	-	-	-	-	-	-	-										
Va.	10	11	-	2	2	-	7	-	-	-	-										
W. Va.	1	3	-	-	-	-	-	-	-	-	-										
N.C.	10	18	-	1	5	1	19	30	-	3	1										
S.C.	12	13	-	2	3	1	5	5	-	-	-										
Ga.	14	33	-	-	-	2	2	-	-	-	-										
Fla.	26	11	-	4	2	-	6	9	-	-	-										
E.S. CENTRAL	37	59	-	1	1	-	14	13	-	-	-										
Ky.	10	11	U	-	-	U	1	-	U	-	-										
Tenn.	14	21	-	-	-	-	9	4	-	-	-										
Ala.	9	22	-	1	1	-	4	9	-	-	-										
Miss.	4	5	U	-	-	U	-	-	U	-	-										
W.S. CENTRAL	21	44	-	9	16	-	18	21	1	3	3										
Ark.	7	8	-	-	-	-	3	4	-	-	-										
La.	6	12	-	-	-	-	-	-	-	-	-										
Okla.	7	17	-	1	-	-	2	-	-	-	-										
Tex.	1	7	-	8	16	-	13	17	1	3	3										
MOUNTAIN	48	47	-	4	4	5	131	150	-	-	5										
Mont.	-	2	-	-	-	1	1	1	-	-	-										
Idaho	5	3	-	-	-	-	72	66	-	-	-										
Wyo.	2	3	-	-	1	-	1	-	-	-	-										
Colo.	15	12	-	2	-	4	13	25	-	-	-										
N. Mex.	7	6	N	N	N	-	7	41	-	-	1										
Ariz.	14	17	-	-	1	-	18	10	-	-	1										
Utah	3	3	-	1	-	-	17	3	-	-	2										
Nev.	2	1	-	1	2	-	2	4	-	-	1										
PACIFIC	89	173	2	23	26	50	166	145	-	-	1										
Wash.	12	20	-	-	2	40	63	54	-	-	-										
Oreg.	12	31	N	N	N	-	3	8	-	-	-										
Calif.	58	119	2	20	16	10	99	83	-	-	1										
Alaska	3	1	-	1	2	-	1	-	-	-	-										
Hawaii	4	2	-	2	6	-	-	-	-	-	-										
Guam	-	-	U	-	1	U	-	-	U	-	-										
P.R.	2	1	-	-	-	-	-	2	-	-	-										
V.I.	U	U	U	U	U	U	U	U	U	U	U										
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U										
C.N.M.I.	-	-	U	-	2	U	-	-	U	-	-										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1998 and 1999 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


