
TABLE II. (Part 5)  Provisional cases of selected notifiable diseases, United States, week ending July 3, 2010 (WEEK 26)*

column labels in same order that data fields appears in each record below:
Reporting Area
Hepatitis (Viral Acute), Type A current week
Hepatitis (Viral Acute), Type A previous 52 weeks median 
Hepatitis (Viral Acute), Type A previous 52 weeks maximum 
Hepatitis (Viral Acute), Type A cummulative for 2010
Hepatitis (Viral Acute), Type A cummulative for 2009
Hepatitis (Viral Acute), Type B current week
Hepatitis (Viral Acute), Type B previous 52 weeks median 
Hepatitis (Viral Acute), Type B previous 52 weeks maximum 
Hepatitis (Viral Acute), Type B cummulative for 2010
Hepatitis (Viral Acute), Type B cummulative for 2009
Hepatitis (Viral Acute), Type C current week
Hepatitis (Viral Acute), Type C previous 52 weeks median 
Hepatitis (Viral Acute), Type C previous 52 weeks maximum 
Hepatitis (Viral Acute), Type C cummulative for 2010
Hepatitis (Viral Acute), Type C cummulative for 2009

tab delimited data:
test
UNITED STATES	14	30	68	649	974	30	58	203	1,362	1,657	9	14	43	364	389						
NEW ENGLAND	1	1	5	22	52	-	1	3	22	29	-	1	5	11	31						
Conn.	1	0	2	14	12	-	0	2	6	8	-	1	4	11	23						
Maine	-	0	1	4	1	-	0	2	9	6	-	0	1	-	-						
Mass.	-	0	4	-	29	-	0	2	-	12	-	0	1	-	7						
N.H.	-	0	1	-	5	-	0	2	5	3	-	0	0	-	-						
R.I.	-	0	4	4	3	-	0	0	-	U	-	0	0	-	U						
Vt.	-	0	0	-	2	-	0	1	2	-	-	0	0	-	1						
MID. ATLANTIC	2	4	10	92	139	2	5	10	140	196	2	2	5	53	48						
N.J.	-	0	4	10	39	-	1	4	32	63	-	0	2	5	2						
N.Y. (Upstate)	-	1	3	26	25	2	1	6	27	34	1	1	3	30	25						
N.Y. City	-	1	5	29	40	-	1	4	43	34	-	0	1	-	1						
Pa.	2	1	6	27	35	-	1	5	38	65	1	0	3	18	20						
E.N. CENTRAL	2	4	19	88	151	2	8	15	208	237	-	2	6	75	51						
Ill.	-	1	13	16	62	-	2	6	39	55	-	0	1	1	3						
Ind.	-	0	4	8	13	-	1	5	25	40	-	0	2	12	10						
Mich.	-	1	4	27	36	1	2	6	55	71	-	1	6	55	16						
Ohio	2	0	4	17	24	1	2	6	61	59	-	0	3	5	19						
Wis.	-	0	3	20	16	-	1	3	28	12	-	0	1	2	3						
W.N. CENTRAL	-	1	10	24	57	1	3	15	66	63	-	0	11	12	6						
Iowa	-	0	3	4	17	-	1	3	10	15	-	0	4	1	3						
Kans.	-	0	2	7	6	-	0	2	4	4	-	0	0	-	1						
Minn.	-	0	8	1	12	-	0	13	2	10	-	0	9	3	-						
Mo.	-	0	3	11	10	1	1	5	41	23	-	0	1	7	-						
Nebr.	-	0	3	1	10	-	0	2	9	10	-	0	1	1	2						
N. Dak.	-	0	1	-	-	-	0	0	-	-	-	0	1	-	-						
S. Dak.	-	0	1	-	2	-	0	1	-	1	-	0	1	-	-						
S. ATLANTIC	5	7	14	146	214	11	16	39	390	446	3	3	7	69	100						
Del.	-	0	1	5	3	-	1	2	16	18	U	0	0	U	U						
D.C.	-	0	1	1	1	-	0	2	2	7	-	0	1	2	-						
Fla.	3	3	8	61	96	5	5	11	153	156	1	1	4	25	20						
Ga.	-	1	3	17	23	3	3	7	78	71	-	0	2	6	24						
Md.	-	0	4	11	21	1	1	6	28	44	1	0	2	13	12						
N.C.	-	0	3	11	33	-	0	4	4	63	-	0	4	9	20						
S.C.	-	1	4	21	21	1	1	4	27	23	-	0	0	-	1						
Va.	2	1	3	18	16	1	2	14	50	41	1	0	2	8	7						
W. Va.	-	0	2	1	-	-	0	19	32	23	-	0	3	6	16						
E.S. CENTRAL	-	1	3	18	23	2	6	13	142	168	1	2	7	63	54						
Ala.	-	0	1	4	6	-	1	5	29	49	-	0	2	2	5						
Ky.	-	0	2	9	4	-	2	6	45	42	-	1	5	43	33						
Miss.	-	0	1	-	6	-	0	3	14	12	-	0	0	-	U						
Tenn.	-	0	2	5	7	2	2	6	54	65	1	0	4	18	16						
