
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending April 27, 2002 (WEEK 17)*

column labels in same order that data fields appears in each record below:
Reporting Area
Escherichia coli, shiga toxin positive, not serogrouped cummulative for 2002
Escherichia coli, shiga toxin positive, not serogrouped cummulative for 2001
Giardiasis cummulative for 2002
Gonorrhea cummulative for 2002
Gonorrhea cummulative for 2001
Haemophilus influenzae, Invasive, All ages, All serotypes cummulative for 2002
Haemophilus influenzae, Invasive, All ages, All serotypes cummulative for 2001
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2002
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2001

tab delimited data:
test
UNITED STATES	3	3	4,070	93,576	110,300	554	572	4	9												
NEW ENGLAND	-	-	448	2,520	2,044	45	19	-	1												
Maine	-	-	56	22	45	1	1	-	-												
N.H.	-	-	17	39	43	4	-	-	-												
Vt.	-	-	35	34	28	3	-	-	-												
Mass.	-	-	193	1,126	933	19	16	-	1												
R.I.	-	-	36	304	245	8	-	-	-												
Conn.	-	-	111	995	750	10	2	-	-												
MID. ATLANTIC	-	-	858	9,445	11,683	94	85	1	-												
Upstate N.Y.	-	-	327	2,609	2,479	49	20	1	-												
N.Y. City	-	-	382	3,421	4,020	27	24	-	-												
N.J.	-	-	-	651	1,411	10	35	-	-												
Pa.	-	-	149	2,764	3,773	8	6	-	-												
E.N. CENTRAL	2	2	767	15,871	23,299	70	87	1	1												
Ohio	2	2	269	2,853	6,377	41	27	-	1												
Ind.	-	-	-	2,200	2,136	16	16	-	-												
Ill.	-	-	126	4,684	7,270	-	32	-	-												
Mich.	-	-	259	4,631	5,618	8	4	1	-												
Wis.	-	-	113	1,503	1,898	5	8	-	-												
W.N. CENTRAL	-	-	476	4,447	5,188	19	19	-	1												
Minn.	-	-	192	890	846	14	9	-	-												
Iowa	-	-	77	170	379	1	-	-	-												
Mo.	-	-	141	2,302	2,555	2	9	-	-												
N. Dak.	-	-	6	13	11	-	-	-	-												
S. Dak.	-	-	20	84	72	-	-	-	-												
Nebr.	-	-	-	131	439	-	1	-	1												
Kans.	-	-	40	857	886	2	-	-	-												
S. ATLANTIC	-	-	735	26,426	29,293	151	169	-	1												
Del.	-	-	14	558	528	-	-	-	-												
Md.	-	-	32	2,542	2,783	37	41	-	-												
D.C.	-	-	14	943	1,029	-	-	-	-												
Va.	-	-	52	3,457	2,919	8	9	-	-												
W. Va.	-	-	9	304	168	2	4	-	1												
N.C.	-	-	-	4,748	5,899	13	22	-	-												
S.C.	-	-	11	2,587	4,305	3	3	-	-												
Ga.	-	-	280	5,035	5,540	56	46	-	-												
Fla.	-	-	323	6,252	6,122	32	44	-	-												
E.S. CENTRAL	-	1	99	9,376	10,299	20	32	1	-												
Ky.	-	1	-	1,099	1,091	2	1	-	-												
Tenn.	-	-	43	2,875	3,165	11	12	-	-												
Ala.	-	-	56	3,488	3,482	5	17	1	-												
Miss.	-	-	-	1,914	2,561	2	2	-	-												
W.S. CENTRAL	-	-	14	14,418	16,537	21	17	-	1												
Ark.	-	-	14	873	1,677	1	-	-	-												
La.	-	-	-	3,706	3,804	1	2	-	-												
Okla.	-	-	-	1,476	1,498	19	14	-	-												
Tex.	-	-	-	8,363	9,558	-	1	-	1												
MOUNTAIN	1	-	371	2,969	3,221	77	76	1	2												
Mont.	-	-	25	38	34	-	-	-	-												
Idaho	-	-	19	28	29	1	1	-	-												
Wyo.	-	-	2	20	17	1	-	-	-												
Colo.	1	-	124	1,035	1,072	16	17	-	-												
N. Mex.	-	-	47	368	318	14	12	-	-												
Ariz.	-	-	48	864	1,102	35	37	1	1												
Utah	-	-	67	132	26	8	2	-	-												
Nev.	-	-	39	484	623	2	7	-	1												
PACIFIC	-	-	302	8,104	8,736	57	68	-	2												
Wash.	-	-	117	973	1,002	1	1	-	-												
Oreg.	-	-	125	286	390	30	18	-	-												
Calif.	-	-	-	6,509	7,013	9	32	-	2												
Alaska	-	-	24	183	107	1	1	-	-												
Hawaii	-	-	36	153	224	16	16	-	-												
Guam	-	-	-	-	-	-	-	-	-												
P.R.	-	-	-	206	223	-	-	-	-												
V.I.	-	-	-	17	7	-	-	-	-												
Amer. Samoa	U	U	U	U	U	U	U	U	U												
C.N.M.I.	-	U	-	5	U	-	U	-	U												

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2001 and 2002 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


