
TABLE II. (Part 9)  Provisional cases of selected notifiable diseases, United States, week ending June 25, 2005 (WEEK 25)*

column labels in same order that data fields appears in each record below:
Reporting Area
Tuberculosis cummulative for 2005
Tuberculosis cummulative for 2004
Typhoid Fever cummulative for 2005
Typhoid Fever cummulative for 2004
Varicella (Chicken Pox) cummulative for 2005
Varicella (Chicken Pox) cummulative for 2004
West Nile virus disease § Neuroinvasive cummulative for 2005
West Nile virus disease § Neuroinvasive cummulative for 2004
West Nile virus disease § Non-neuroinvasive † cummulative for 2005

tab delimited data:
test
UNITED STATES	4,501	6,087	97	127	12,795	12,359	-	63	-												
NEW ENGLAND	146	199	11	14	920	1,774	-	-	-												
Maine	8	11	1	-	200	177	-	-	-												
N.H.	4	7	-	-	151	-	-	-	-												
Vt.	-	-	-	-	31	399	-	-	-												
Mass.	97	114	7	12	538	41	-	-	-												
R.I.	14	23	-	1	-	-	-	-	-												
Conn.	23	44	3	1	U	1,157	-	-	-												
MID. ATLANTIC	946	893	25	34	2,804	58	-	2	-												
Upstate N.Y.	117	114	4	2	-	-	-	-	-												
N.Y. City	483	454	6	13	-	-	-	1	-												
N.J.	221	192	8	11	-	-	-	-	-												
Pa.	125	133	7	8	2,804	58	-	1	-												
E.N. CENTRAL	599	533	5	13	3,833	3,890	-	1	-												
Ohio	122	97	-	2	862	962	-	-	-												
Ind.	64	66	-	-	120	N	-	-	-												
Ill.	283	240	1	6	24	1	-	-	-												
Mich.	92	94	2	4	2,572	2,459	-	1	-												
Wis.	38	36	2	1	255	468	-	-	-												
W.N. CENTRAL	209	204	2	3	199	128	-	2	-												
Minn.	87	75	2	2	-	-	-	-	-												
Iowa	17	19	-	-	N	N	-	-	-												
Mo.	56	58	-	1	125	2	-	1	-												
N. Dak.	2	3	-	-	10	71	-	-	-												
S. Dak.	6	5	-	-	64	55	-	1	-												
Nebr.	13	11	-	-	-	-	-	-	-												
Kans.	28	33	-	-	-	-	-	-	N												
S. ATLANTIC	996	1,240	13	14	1,040	1,444	-	1	-												
Del.	2	12	-	-	10	4	-	-	-												
Md.	112	118	3	5	-	-	-	-	-												
D.C.	28	4	-	-	16	17	-	-	-												
Va.	122	91	3	3	209	343	-	-	-												
W. Va.	10	11	-	-	628	804	-	-	N												
N.C.	98	126	2	3	-	N	-	-	-												
S.C.	100	98	-	-	177	276	-	-	-												
Ga.	149	310	2	1	-	-	-	-	-												
Fla.	375	470	3	2	-	-	-	1	-												
E.S. CENTRAL	247	272	1	5	-	-	-	1	-												
Ky.	52	47	1	2	N	N	-	-	-												
Tenn.	106	100	-	3	-	-	-	-	-												
Ala.	89	92	-	-	-	-	-	1	-												
Miss.	-	33	-	-	-	-	-	-	-												
W.S. CENTRAL	424	1,014	3	9	2,379	3,579	-	2	-												
Ark.	49	61	-	-	-	-	-	-	-												
La.	-	-	-	-	101	45	-	-	-												
Okla.	65	77	-	-	-	-	-	-	-												
Tex.	310	876	3	9	2,278	3,534	-	2	-												
MOUNTAIN	156	254	3	6	1,620	1,486	-	52	-												
Mont.	6	4	-	-	-	-	-	-	-												
Idaho	-	-	-	-	-	-	-	-	-												
Wyo.	-	1	-	-	43	22	-	-	-												
Colo.	27	66	-	1	1,157	1,170	-	1	-												
N. Mex.	8	18	-	-	97	U	-	-	-												
Ariz.	104	103	1	2	-	-	-	51	-												
Utah	11	20	1	1	323	294	-	-	-												
Nev.	-	42	1	2	-	-	-	-	-												
PACIFIC	778	1,478	34	29	-	-	-	2	-												
Wash.	98	115	2	2	N	N	-	-	-												
Oreg.	50	39	2	-	-	-	-	-	-												
Calif.	564	1,257	24	21	-	-	-	2	-												
Alaska	13	15	-	-	-	-	-	-	-												
Hawaii	53	52	6	6	-	-	-	-	-												
Guam	-	36	-	-	-	82	-	-	-												
P.R.	-	21	-	-	96	242	-	-	-												
V.I.	-	-	-	-	-	-	-	-	-												
Amer. Samoa	U	U	U	U	U	U	U	U	-												
C.N.M.I.	-	U	-	U	-	U	-	U	-												

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2004 and 2005 are provisional and cumulative (year-to-date).

§ Updated weekly from reports to the Division of Vector-Borne Infectious Diseases, National Center for Infectious Diseases 
(ArboNet Surveillance).

† Not previously notifiable.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


