
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending November 22, 2003 (WEEK 47)*

column labels in same order that data fields appears in each record below:
Reporting Area
Salmonellosis cummulative for 2003
Salmonellosis cummulative for 2002
Shigellosis cummulative for 2003
Shigellosis cummulative for 2002
Streptococcal Disease, Invasive, Group A cummulative for 2003
Streptococcal Disease, Invasive, Group A cummulative for 2002
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2003
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2002
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2003
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2002

tab delimited data:
test
UNITED STATES	36,896	39,762	19,662	19,358	4,769	4,152	1,856	2,192	394	329											
NEW ENGLAND	1,891	2,066	295	318	349	298	40	105	8	3											
Maine	125	136	6	8	26	20	-	-	-	-											
N.H.	100	128	5	11	21	35	-	-	N	N											
Vt.	66	72	7	1	19	10	6	5	4	2											
Mass.	1,107	1,152	193	194	166	100	N	N	N	N											
R.I.	126	163	20	17	15	15	10	13	4	1											
Conn.	367	415	64	87	102	118	24	87	U	U											
MID. ATLANTIC	4,152	5,343	2,065	1,655	837	658	116	105	87	77											
Upstate N.Y.	1,059	1,415	509	289	336	257	65	82	69	63											
N.Y. City	1,186	1,288	354	456	119	147	U	U	U	U											
N.J.	483	987	240	585	134	141	N	N	N	N											
Pa.	1,424	1,653	962	325	248	113	51	23	18	14											
E.N. CENTRAL	4,834	5,148	1,545	2,009	962	886	393	214	160	135											
Ohio	1,260	1,280	277	586	277	190	254	68	91	22											
Ind.	531	517	152	104	98	48	139	144	45	56											
Ill.	1,525	1,688	780	966	182	254	-	2	-	-											
Mich.	716	818	225	176	336	279	N	N	N	N											
Wis.	802	845	111	177	69	115	N	N	24	57											
W.N. CENTRAL	2,327	2,399	756	990	303	231	147	419	54	53											
Minn.	514	511	98	204	147	113	-	292	45	49											
Iowa	364	467	83	118	N	N	N	N	N	N											
Mo.	903	775	352	175	68	42	11	5	2	1											
N. Dak.	37	40	4	18	14	3	3	1	7	3											
S. Dak.	111	109	16	156	21	13	1	1	-	-											
Nebr.	131	167	101	230	25	23	-	25	N	N											
Kans.	267	330	102	89	28	37	132	95	N	N											
S. ATLANTIC	10,020	10,422	6,634	6,462	830	675	952	1,007	18	33											
Del.	89	92	154	316	6	2	1	3	N	N											
Md.	794	870	547	1,093	246	110	-	-	-	23											
D.C.	46	75	70	60	14	8	2	-	7	3											
Va.	978	1,119	400	900	93	71	N	N	N	N											
W. Va.	118	140	-	12	33	19	67	42	11	7											
N.C.	1,228	1,440	923	405	100	112	N	N	U	U											
S.C.	664	773	465	116	36	37	126	176	N	N											
Ga.	2,051	1,818	1,542	1,572	110	123	225	250	N	N											
Fla.	4,052	4,095	2,533	1,988	192	193	531	536	N	N											
E.S. CENTRAL	2,479	3,040	864	1,366	192	107	129	122	-	-											
Ky.	355	358	120	177	43	19	16	17	N	N											
Tenn.	700	764	339	117	149	88	113	105	N	N											
Ala.	498	802	242	744	-	-	-	-	N	N											
Miss.	926	1,116	163	328	-	-	-	-	-	-											
W.S. CENTRAL	4,452	4,402	4,086	2,978	323	269	53	173	62	24											
Ark.	748	1,011	95	188	5	7	8	8	-	-											
La.	420	762	226	454	1	1	45	165	8	9											
Okla.	440	471	776	538	81	41	N	N	33	3											
Tex.	2,844	2,158	2,989	1,798	236	220	N	N	21	12											
MOUNTAIN	2,071	2,055	1,128	845	417	514	23	47	5	4											
Mont.	103	82	2	4	2	-	-	-	-	-											
Idaho	162	136	29	13	18	9	N	N	N	N											
Wyo.	73	104	8	8	2	7	6	13	-	-											
Colo.	440	564	273	191	124	112	-	-	-	-											
N. Mex.	231	291	217	209	96	100	17	33	-	-											
Ariz.	688	506	490	342	163	256	-	-	N	N											
Utah	209	170	47	30	10	30	-	-	5	4											
Nev.	165	202	62	48	2	-	-	1	-	-											
PACIFIC	4,670	4,887	2,289	2,735	556	514	3	-	-	-											
Wash.	495	481	139	165	70	60	-	-	N	N											
Oreg.	382	318	207	100	N	N	N	N	N	N											
Calif.	3,507	3,765	1,893	2,399	380	369	N	N	N	N											
Alaska	92	78	10	5	-	-	-	-	N	N											
Hawaii	194	245	40	66	106	85	3	-	-	-											
Guam	-	39	-	32	-	-	-	4	-	-											
P.R.	323	513	8	30	N	N	N	N	N	N											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting year 2003 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


