
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending August 27, 2005 (WEEK 34)*

column labels in same order that data fields appears in each record below:
Reporting Area
Haemophilus influenzae, Invasive, All Ages, All serotypes cummulative for 2005
Haemophilus influenzae, Invasive, All Ages, All serotypes cummulative for 2004
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2005
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2004
Haemophilus influenzae, Invasive, Age < 5 years, non-Serotype B cummulative for 2005
Haemophilus influenzae, Invasive, Age < 5 years, non-Serotype B cummulative for 2004
Haemophilus influenzae, Invasive, Age < 5 years, Unknown Serotype cummulative for 2005
Haemophilus influenzae, Invasive, Age < 5 years, Unknown Serotype cummulative for 2004

tab delimited data:
test
UNITED STATES	1,445	1,361	3	9	78	75	141	131													
NEW ENGLAND	112	122	-	1	10	8	4	1													
Maine	5	10	-	-	-	-	1	-													
N.H.	5	14	-	-	-	2	-	-													
Vt.	6	5	-	-	-	-	2	1													
Mass.	52	59	-	1	3	3	1	-													
R.I.	7	3	-	-	2	-	-	-													
Conn.	37	31	-	-	5	3	-	-													
MID. ATLANTIC	281	282	-	1	-	4	35	32													
Upstate N.Y.	79	96	-	1	-	4	7	5													
N.Y. City	51	64	-	-	-	-	10	12													
N.J.	54	52	-	-	-	-	9	2													
Pa.	97	70	-	-	-	-	9	13													
E.N. CENTRAL	212	250	1	-	3	8	14	38													
Ohio	91	73	-	-	-	2	9	12													
Ind.	51	37	-	-	3	4	-	1													
Ill.	35	87	-	-	-	-	3	20													
Mich.	14	15	1	-	-	2	1	3													
Wis.	21	38	-	-	-	-	1	2													
W.N. CENTRAL	84	74	-	2	3	3	10	7													
Minn.	33	34	-	1	3	3	1	-													
Iowa	1	1	-	1	-	-	-	-													
Mo.	35	26	-	-	-	-	7	5													
N. Dak.	1	3	-	-	-	-	1	-													
S. Dak.	-	-	-	-	-	-	-	-													
Nebr.	7	4	-	-	-	-	1	1													
Kans.	7	6	-	-	-	-	-	1													
S. ATLANTIC	345	310	1	-	21	20	20	22													
Del.	-	-	-	-	-	-	-	-													
Md.	49	49	-	-	5	5	-	-													
D.C.	-	2	-	-	-	-	-	1													
Va.	34	30	-	-	-	-	1	3													
W. Va.	22	12	-	-	1	3	4	-													
N.C.	60	41	1	-	7	5	-	1													
S.C.	20	10	-	-	-	-	1	1													
Ga.	69	87	-	-	-	-	10	16													
Fla.	91	79	-	-	8	7	4	-													
E.S. CENTRAL	84	57	-	1	1	-	14	7													
Ky.	8	5	-	-	1	-	2	-													
Tenn.	58	38	-	-	-	-	8	5													
Ala.	18	12	-	1	-	-	4	2													
Miss.	-	2	-	-	-	-	-	-													
W.S. CENTRAL	79	52	1	1	5	6	6	1													
Ark.	4	1	-	-	1	-	-	-													
La.	28	10	1	-	2	-	6	1													
Okla.	46	40	-	-	2	6	-	-													
Tex.	1	1	-	1	-	-	-	-													
MOUNTAIN	167	144	-	3	13	17	29	17													
Mont.	-	-	-	-	-	-	-	-													
Idaho	3	5	-	-	-	-	1	2													
Wyo.	4	-	-	-	-	-	1	-													
Colo.	34	35	-	-	-	-	9	4													
N. Mex.	15	30	-	-	4	5	1	6													
Ariz.	84	51	-	-	7	7	8	2													
Utah	14	12	-	2	-	2	7	2													
Nev.	13	11	-	1	2	3	2	1													
PACIFIC	81	70	-	-	22	9	9	6													
Wash.	1	1	-	-	-	-	1	1													
Oreg.	29	32	-	-	-	-	5	2													
Calif.	39	24	-	-	22	9	2	1													
Alaska	4	5	-	-	-	-	1	1													
Hawaii	8	8	-	-	-	-	-	1													
Guam	-	-	-	-	-	-	-	-													
P.R.	1	2	-	-	-	-	-	2													
V.I.	-	-	-	-	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	-	U	-	U	-	U	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2004 and 2005 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


