
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending April 8, 2006 (WEEK 14)*

column labels in same order that data fields appears in each record below:
Reporting Area
Chlamydia† current week
Chlamydia† previous 52 weeks median 
Chlamydia† previous 52 weeks maximum 
Chlamydia† cummulative for 2006
Chlamydia† cummulative for 2005
Coccidioidomycosis current week
Coccidioidomycosis previous 52 weeks median 
Coccidioidomycosis previous 52 weeks maximum 
Coccidioidomycosis cummulative for 2006
Coccidioidomycosis cummulative for 2005
Cryptosporidiosis current week
Cryptosporidiosis previous 52 weeks median 
Cryptosporidiosis previous 52 weeks maximum 
Cryptosporidiosis cummulative for 2006
Cryptosporidiosis cummulative for 2005

tab delimited data:
test
UNITED STATES	11,670	18,459	25,273	226,078	254,670	89	109	1,203	2,316	1,163	42	70	852	603	491						
NEW ENGLAND	648	630	1,536	7,641	7,123	-	0	0	-	-	1	4	34	35	26						
Conn.	64	161	1,199	1,293	946	N	0	0	N	N	-	0	14	4	4						
Maine	61	41	74	557	617	N	0	0	N	N	-	0	3	8	4						
Mass.	418	277	441	4,126	3,832	-	0	0	-	-	1	2	15	16	7						
N.H.	-	34	64	415	520	-	0	0	-	-	-	0	3	5	4						
R.I.	79	65	99	907	923	-	0	0	-	-	-	0	6	-	1						
Vt.	26	18	43	343	285	N	0	0	N	N	-	0	5	2	6						
MID. ATLANTIC	1,387	2,179	3,712	21,954	30,178	-	0	0	-	-	7	10	598	84	74						
N.J.	-	355	526	3,016	4,789	N	0	0	N	N	-	0	8	-	6						
N.Y. (Upstate)	593	498	1,728	5,546	5,433	N	0	0	N	N	5	3	562	26	17						
N.Y. City	314	620	1,136	3,363	10,082	N	0	0	N	N	-	2	15	7	23						
Pa.	480	716	1,084	10,029	9,874	N	0	0	N	N	2	4	21	51	28						
E.N. CENTRAL	1,937	3,219	4,140	43,888	41,875	1	0	3	10	2	2	14	162	123	99						
Ill.	610	964	1,784	10,869	10,835	-	0	0	-	-	-	1	16	8	15						
Ind.	177	390	553	5,330	5,490	N	0	0	N	N	-	1	13	9	5						
Mich.	1,024	585	1,959	13,925	6,778	1	0	3	6	2	1	2	7	25	13						
Ohio	-	815	1,445	8,521	13,256	-	0	1	4	-	1	5	109	57	29						
Wis.	126	399	531	5,243	5,516	N	0	0	N	N	-	4	38	24	37						
W.N. CENTRAL	524	1,116	1,449	14,500	15,938	-	0	1	-	3	16	8	51	88	65						
Iowa	115	143	225	2,211	1,856	N	0	0	N	N	-	1	11	5	14						
Kans.	172	151	269	2,268	2,055	N	0	0	N	N	-	0	5	14	7						
Minn.	-	226	294	2,301	3,444	-	0	0	-	3	11	2	10	41	16						
Mo.	202	434	525	5,374	6,066	-	0	1	-	-	5	2	37	21	26						
Nebr.	-	97	175	1,290	1,404	N	0	1	N	N	-	0	2	3	-						
N. Dak.	-	31	50	362	366	N	0	0	N	N	-	0	1	-	-						
S. Dak.	35	52	118	694	747	N	0	0	N	N	-	0	4	4	2						
S. ATLANTIC	2,688	3,245	4,942	43,168	48,298	-	0	1	2	-	8	14	53	176	93						
Del.	60	70	92	1,008	868	N	0	0	N	N	-	0	2	-	-						
D.C.	35	63	102	547	1,061	-	0	0	-	-	-	0	3	5	1						
Fla.	579	867	1,037	12,024	11,899	N	0	0	N	N	3	6	28	65	32						
Ga.	21	571	2,062	3,899	7,789	-	0	0	-	-	3	3	12	58	26						
Md.	344	358	525	4,833	4,627	-	0	1	2	-	-	0	4	7	4						
N.C.	655	557	1,743	9,444	9,095	N	0	0	N	N	2	1	10	25	12						
S.C.	541	312	1,418	4,554	5,922	-	0	0	-	-	-	0	4	4	5						
Va.	387	425	841	5,673	6,439	N	0	0	N	N	-	1	8	11	9						
W. Va.	66	49	353	1,186	598	N	0	0	N	N	-	0	3	1	4						
E.S. CENTRAL	697	1,376	2,188	18,230	18,444	-	0	0	-	-	1	3	21	14	8						
Ala.	-	352	1,048	4,925	2,817	N	0	0	N	N	1	0	3	7	4						
Ky.	214	153	323	2,557	3,410	N	0	0	N	N	-	1	20	3	1						
Miss.	-	379	801	3,902	5,995	-	0	0	-	-	-	0	1	-	1						
Tenn.	483	466	624	6,846	6,222	N	0	0	N	N	-	1	4	4	2						
W.S. CENTRAL	1,437	1,979	3,374	24,506	31,328	-	0	1	-	-	4	3	30	44	18						
Ark.	-	168	340	1,967	2,370	-	0	0	-	-	-	0	1	2	-						
La.	104	221	760	1,521	4,946	N	0	1	N	N	-	0	21	4	3						
Okla.	203	226	2,160	2,730	2,809	N	0	0	N	N	-	0	10	11	6						
Tex.	1,130	1,329	1,699	18,288	21,203	N	0	0	N	N	4	1	20	27	9						
MOUNTAIN	634	1,088	1,705	11,589	16,734	68	80	229	1,853	693	3	2	9	21	34						
Ariz.	345	311	536	4,417	5,977	68	78	225	1,829	662	-	0	1	2	3						
Colo.	132	273	482	1,741	4,062	N	0	0	N	N	1	1	3	5	10						
Idaho	-	45	235	450	502	N	0	0	N	N	1	0	2	2	3						
Mont.	35	42	181	435	627	N	0	0	N	N	1	0	3	5	-						
Nev.	-	134	448	1,102	1,991	-	1	4	14	24	-	0	1	1	5						
N. Mex.	122	159	337	2,533	2,090	-	0	2	-	5	-	0	3	-	7						
Utah	-	86	138	639	1,183	-	0	3	8	2	-	0	3	6	4						
Wyo.	-	23	43	272	302	-	0	2	2	-	-	0	1	-	2						
PACIFIC	1,718	3,179	4,915	40,602	44,752	20	27	1,114	451	465	-	6	50	18	74						
Alaska	41	77	121	901	1,023	-	0	0	-	-	-	0	2	-	-						
Calif.	1,142	2,470	4,149	31,123	34,614	20	27	1,114	451	465	-	3	14	-	58						
Hawaii	-	106	135	1,378	1,436	N	0	0	N	N	-	0	1	-	-						
Oreg.	121	174	315	2,196	2,410	N	0	0	N	N	-	1	20	18	11						
Wash.	414	356	604	5,004	5,269	N	0	0	N	N	-	0	36	-	5						
