
TABLE II. (Part 8)  Provisional cases of selected notifiable diseases, United States, week ending March 7, 2009 (WEEK 09)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages current week
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages cummulative for 2009
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages cummulative for 2008
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years current week
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years cummulative for 2009
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years cummulative for 2008
Syphillis, primary & secondary current week
Syphillis, primary & secondary previous 52 weeks median 
Syphillis, primary & secondary previous 52 weeks maximum 
Syphillis, primary & secondary cummulative for 2009
Syphillis, primary & secondary cummulative for 2008

tab delimited data:
test
UNITED STATES	59	55	100	631	734	13	8	22	79	77	106	244	356	1,834	2,166						
NEW ENGLAND	-	1	48	10	14	-	0	5	-	1	3	5	14	52	41						
Conn.	-	0	48	-	-	-	0	5	-	-	1	0	4	8	3						
Maine	-	0	2	3	3	-	0	1	-	-	-	0	2	1	-						
Mass.	-	0	0	-	-	-	0	0	-	-	1	4	11	36	33						
N.H.	-	0	3	4	-	-	0	0	-	-	1	0	2	7	3						
R.I.	-	0	2	-	7	-	0	1	-	-	-	0	5	-	2						
Vt.	-	0	2	3	4	-	0	1	-	1	-	0	2	-	-						
MID. ATLANTIC	3	4	13	19	62	1	0	2	2	-	4	34	53	287	288						
N.J.	-	0	0	-	-	-	0	0	-	-	1	4	10	33	46						
N.Y. (Upstate)	3	1	6	9	10	1	0	1	2	-	2	2	8	14	16						
N.Y. City	-	1	5	-	25	-	0	0	-	-	-	23	38	198	163						
Pa.	-	1	9	10	27	N	0	2	N	N	1	5	11	42	63						
E.N. CENTRAL	9	10	40	106	141	1	1	6	12	13	9	17	33	163	359						
Ill.	N	0	0	N	N	-	0	0	-	-	-	2	11	29	256						
Ind.	2	2	31	11	45	-	0	5	-	3	2	3	10	28	18						
Mich.	-	0	3	5	5	-	0	1	-	1	6	3	18	39	22						
Ohio	7	7	18	90	91	1	1	4	12	9	-	6	17	56	51						
Wis.	-	0	0	-	-	-	0	0	-	-	1	1	4	11	12						
W.N. CENTRAL	3	2	7	19	60	1	0	2	2	2	1	7	14	44	83						
Iowa	-	0	0	-	-	-	0	0	-	-	-	0	2	3	2						
Kans.	2	0	4	6	26	N	0	1	N	N	1	0	3	2	5						
Minn.	-	0	0	-	-	-	0	0	-	-	-	2	6	12	21						
Mo.	1	1	4	13	33	1	0	1	2	1	-	4	10	25	54						
Nebr.	-	0	0	-	-	-	0	0	-	-	-	0	2	2	1						
N. Dak.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
S. Dak.	-	0	1	-	1	-	0	1	-	1	-	0	1	-	-						
S. ATLANTIC	42	22	52	369	319	10	4	14	54	44	27	57	183	432	336						
Del.	1	0	1	4	-	-	0	0	-	-	-	0	4	6	1						
D.C.	N	0	0	N	N	N	0	0	N	N	-	2	9	26	21						
Fla.	29	14	36	234	172	8	2	13	38	24	10	19	37	175	139						
Ga.	8	7	23	110	122	2	1	5	16	16	-	13	160	36	20						
Md.	-	0	2	2	2	-	0	0	-	1	8	8	14	51	51						
N.C.	N	0	0	N	N	N	0	0	N	N	9	5	19	86	52						
S.C.	-	0	0	-	-	-	0	0	-	-	-	2	6	9	18						
Va.	N	0	0	N	N	N	0	0	N	N	-	5	16	42	34						
W. Va.	4	1	7	19	23	-	0	2	-	3	-	0	1	1	-						
E.S. CENTRAL	1	5	22	72	84	-	1	4	4	6	12	22	37	184	183						
Ala.	N	0	0	N	N	N	0	0	N	N	-	8	17	52	89						
Ky.	1	1	6	19	16	N	0	2	N	N	-	1	10	10	11						
Miss.	-	0	2	-	-	-	0	1	-	-	6	3	18	32	16						
Tenn.	-	3	20	53	68	-	0	3	4	6	6	8	19	90	67						
W.S. CENTRAL	-	2	7	17	29	-	0	1	3	6	31	44	75	347	345						
Ark.	-	0	4	10	4	-	0	1	1	2	5	3	35	41	11						
La.	-	1	6	7	25	-	0	1	2	4	3	10	33	35	76						
Okla.	N	0	0	N	N	-	0	0	-	-	-	1	7	10	20						
Tex.	-	0	0	-	-	-	0	0	-	-	23	28	41	261	238						
MOUNTAIN	1	2	11	17	24	-	0	4	2	4	3	8	25	33	95						
Ariz.	-	0	0	-	-	-	0	0	-	-	-	4	13	2	52						
Colo.	-	0	0	-	-	-	0	0	-	-	-	1	5	2	20						
Idaho	N	0	1	N	N	-	0	1	-	-	-	0	2	1	1						
Mont.	-	0	1	-	-	N	0	0	N	N	-	0	7	-	-						
Nev.	1	1	3	12	10	-	0	1	1	1	3	1	7	19	19						
N. Mex.	-	0	1	-	-	-	0	0	-	-	-	1	4	9	3						
Utah	-	1	10	1	14	-	0	4	1	3	-	0	18	-	-						
Wyo.	-	0	2	4	-	-	0	0	-	-	-	0	1	-	-						
PACIFIC	-	0	1	2	1	-	0	1	-	1	16	45	73	292	436						
Alaska	-	0	0	-	-	-	0	0	-	-	-	0	1	-	-						
Calif.	N	0	0	N	N	N	0	0	N	N	9	41	67	260	387						
Hawaii	-	0	1	2	1	-	0	1	-	1	-	0	3	9	7						
Oreg.	N	0	0	N	N	N	0	0	N	N	1	0	3	7	4						
Wash.	N	0	0	N	N	N	0	0	N	N	6	2	9	16	38						
Amer. Samoa	N	0	0	N	N	N	0	0	N	N	-	0	0	-	-						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
P.R.	-	0	0	-	-	N	0	0	N	N	-	3	11	29	20						
