
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending April 28, 2007 (WEEK 17)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal disease, invasive, group A current week
Streptococcal disease, invasive, group A previous 52 weeks median 
Streptococcal disease, invasive, group A previous 52 weeks maximum 
Streptococcal disease, invasive, group A cummulative for 2007
Streptococcal disease, invasive, group A cummulative for 2006
Streptococcus pneumoniae, invasive disease †, Age <5 years current week
Streptococcus pneumoniae, invasive disease †, Age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease †, Age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease †, Age <5 years cummulative for 2007
Streptococcus pneumoniae, invasive disease †, Age <5 years cummulative for 2006

tab delimited data:
test
UNITED STATES	70	88	217	1,729	2,167	28	24	93	502	453											
NEW ENGLAND	6	2	21	54	74	-	1	4	10	21											
Conn.	5	0	17	22	-	-	0	0	-	-											
Maine	-	0	2	7	8	-	0	2	-	-											
Mass.	-	0	5	-	56	-	0	4	-	21											
N.H.	1	0	9	15	3	-	0	4	6	-											
R.I.	-	0	6	-	4	-	0	3	3	-											
Vt.	-	0	2	10	3	-	0	1	1	-											
MID. ATLANTIC	22	17	39	347	447	3	3	20	45	72											
N.J.	-	2	6	28	77	-	0	4	-	24											
N.Y. (Upstate)	16	5	26	132	135	3	2	14	45	48											
N.Y. City	-	3	9	71	86	-	0	3	-	-											
Pa.	6	6	11	116	149	N	0	0	N	N											
E.N. CENTRAL	7	15	31	290	490	4	6	14	79	132											
Ill.	-	4	11	63	153	-	1	6	9	33											
Ind.	3	2	12	45	53	-	0	10	8	17											
Mich.	1	3	10	74	107	1	1	5	34	31											
Ohio	3	4	14	108	118	3	1	7	27	29											
Wis.	-	1	6	-	59	-	0	2	1	22											
W.N. CENTRAL	2	4	32	139	156	1	2	10	45	35											
Iowa	-	0	0	-	-	-	0	0	-	-											
Kans.	-	0	3	19	34	-	0	3	3	9											
Minn.	-	0	29	60	67	1	1	6	26	12											
Mo.	1	2	6	41	28	-	0	3	12	8											
Nebr.	-	0	2	7	16	-	0	2	3	4											
N. Dak.	1	0	2	9	6	-	0	1	1	2											
S. Dak.	-	0	2	3	5	-	0	0	-	-											
S. ATLANTIC	15	20	42	423	421	8	2	11	100	22											
Del.	-	0	2	1	4	-	0	0	-	-											
D.C.	-	0	2	4	4	-	0	1	-	-											
Fla.	5	6	16	101	101	5	0	5	26	-											
Ga.	-	5	11	94	112	-	0	5	31	-											
Md.	5	4	10	77	51	3	1	6	30	17											
N.C.	-	0	26	51	61	-	0	0	-	-											
S.C.	1	1	5	33	31	-	0	3	9	-											
Va.	3	2	10	55	49	-	0	1	2	-											
W. Va.	1	0	6	7	8	-	0	3	2	5											
E.S. CENTRAL	5	4	11	71	95	1	0	6	29	6											
Ala.	N	0	0	N	N	N	0	0	N	N											
Ky.	1	0	4	17	26	-	0	0	-	-											
Miss.	N	0	0	N	N	-	0	2	2	6											
Tenn.	4	3	7	54	69	1	0	6	27	-											
W.S. CENTRAL	8	6	61	120	166	7	4	39	95	71											
Ark.	1	0	2	11	14	-	0	2	7	12											
La.	-	0	2	3	2	-	0	4	18	2											
Okla.	2	2	5	38	52	1	1	12	22	16											
Tex.	5	3	56	68	98	6	2	24	48	41											
MOUNTAIN	4	12	42	245	287	4	4	12	87	91											
Ariz.	2	5	34	101	149	4	2	7	54	54											
Colo.	-	3	9	67	49	-	1	4	19	21											
Idaho	-	0	1	6	5	-	0	1	2	1											
Mont.	N	0	0	N	N	N	0	0	N	N											
Nev.	-	0	1	1	1	-	0	1	1	-											
N. Mex.	-	1	6	19	57	-	0	4	11	15											
Utah	2	1	7	48	24	-	0	0	-	-											
Wyo.	-	0	1	3	2	-	0	0	-	-											
PACIFIC	1	3	9	40	31	-	0	4	12	3											
Alaska	1	0	2	9	N	-	0	2	10	-											
Calif.	N	0	0	N	N	N	0	0	N	N											
Hawaii	-	2	9	31	31	-	0	2	2	3											
Oreg.	N	0	0	N	N	N	0	0	N	N											
Wash.	N	0	0	N	N	N	0	0	N	N											
Amer. Samoa	U	0	0	U	U	U	0	0	U	U											
C.N.M.I.	U	-	-	U	U	U	-	-	U	U											
Guam	-	-	-	-	-	N	-	-	N	N											
P.R.	-	0	0	-	-	N	0	0	N	N											
V.I.	U	0	0	U	U	U	0	0	U	U											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2006 and 2007 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes cases of invasive pneumococcal disease, in children aged <5 years, caused by Streptococcus pneumoniae, 
which is susceptible or for which susceptibility testing is not available (NNDSS event code 11717).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


