
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending June 29, 2002 (WEEK 26)*

column labels in same order that data fields appears in each record below:
Reporting Area
Escherichia coli, shiga toxin positive, not serogrouped cummulative for 2002
Escherichia coli, shiga toxin positive, not serogrouped cummulative for 2001
Giardiasis cummulative for 2002
Gonorrhea cummulative for 2002
Gonorrhea cummulative for 2001
Haemophilus influenzae, Invasive, All ages, All serotypes cummulative for 2002
Haemophilus influenzae, Invasive, All ages, All serotypes cummulative for 2001
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2002
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2001

tab delimited data:
test
UNITED STATES	13	4	6,606	148,815	169,747	828	836	11	14												
NEW ENGLAND	-	1	698	3,693	2,923	58	54	-	1												
Maine	-	-	77	53	68	1	1	-	-												
N.H.	-	-	24	62	72	5	-	-	-												
Vt.	-	1	49	44	39	3	2	-	-												
Mass.	-	-	330	1,649	1,253	27	33	-	1												
R.I.	-	-	60	460	348	9	2	-	-												
Conn.	-	-	158	1,425	1,143	13	16	-	-												
MID. ATLANTIC	-	-	1,493	16,527	18,368	151	119	2	3												
Upstate N.Y.	-	-	505	4,094	3,942	68	39	2	-												
N.Y. City	-	-	605	5,726	6,118	34	32	-	-												
N.J.	-	-	141	2,736	2,299	31	27	-	-												
Pa.	-	-	242	3,971	6,009	18	21	-	3												
E.N. CENTRAL	5	2	1,220	26,320	35,611	140	143	2	1												
Ohio	5	2	380	5,909	9,602	54	46	-	1												
Ind.	-	-	-	3,377	3,257	28	22	1	-												
Ill.	-	-	288	8,388	11,214	43	50	-	-												
Mich.	-	-	383	6,804	8,706	9	8	1	-												
Wis.	-	-	169	1,842	2,832	6	17	-	-												
W.N. CENTRAL	-	-	776	7,259	7,904	27	36	-	1												
Minn.	-	-	276	1,374	1,215	17	18	-	-												
Iowa	-	-	108	170	594	1	-	-	-												
Mo.	-	-	226	4,112	4,013	7	12	-	-												
N. Dak.	-	-	11	27	18	-	4	-	-												
S. Dak.	-	-	30	129	139	-	-	-	-												
Nebr.	-	-	52	137	594	-	1	-	1												
Kans.	-	-	73	1,310	1,331	2	1	-	-												
S. ATLANTIC	-	-	1,137	40,402	44,297	208	204	1	1												
Del.	-	-	21	808	819	-	-	-	-												
Md.	-	-	44	4,035	4,349	47	52	1	-												
D.C.	-	-	20	1,295	1,459	-	-	-	-												
Va.	-	-	99	5,147	4,596	15	17	-	-												
W. Va.	-	-	18	479	300	6	6	-	1												
N.C.	-	-	-	7,959	8,777	21	29	-	-												
S.C.	-	-	30	3,758	6,017	11	4	-	-												
Ga.	-	-	452	7,379	8,014	63	55	-	-												
Fla.	-	-	453	9,542	9,966	45	41	-	-												
E.S. CENTRAL	-	1	155	14,042	15,821	26	56	1	-												
Ky.	-	1	-	1,623	1,677	2	2	-	-												
Tenn.	-	-	68	4,352	4,799	15	27	-	-												
Ala.	-	-	87	4,931	5,414	6	25	1	-												
Miss.	-	-	-	3,136	3,931	3	2	-	-												
W.S. CENTRAL	-	-	71	22,804	25,829	33	32	2	1												
Ark.	-	-	59	1,718	2,383	1	-	-	-												
La.	-	-	1	5,785	6,107	2	6	-	-												
Okla.	-	-	11	2,158	2,464	28	25	-	-												
Tex.	-	-	-	13,143	14,875	2	1	2	1												
MOUNTAIN	8	-	610	4,649	5,163	114	96	2	3												
Mont.	-	-	34	47	63	-	-	-	-												
Idaho	-	-	38	40	41	2	1	-	-												
Wyo.	-	-	10	30	31	1	-	-	-												
Colo.	8	-	208	1,474	1,574	21	26	-	-												
N. Mex.	-	-	71	493	469	18	14	-	-												
Ariz.	-	-	80	1,785	2,029	54	40	1	1												
Utah	-	-	108	171	66	13	5	-	-												
Nev.	-	-	61	609	890	5	10	1	2												
PACIFIC	-	-	446	13,119	13,831	71	96	1	3												
Wash.	-	-	173	1,405	1,459	2	1	1	-												
Oreg.	-	-	184	396	573	37	30	-	-												
Calif.	-	-	-	10,729	11,299	9	43	-	3												
Alaska	-	-	43	295	182	1	3	-	-												
Hawaii	-	-	46	294	318	22	19	-	-												
Guam	-	-	-	-	24	-	-	-	-												
P.R.	-	-	1	235	326	-	1	-	-												
V.I.	-	-	-	17	14	-	-	-	-												
Amer. Samoa	U	U	U	U	U	U	U	U	U												
C.N.M.I.	-	U	-	10	U	-	U	-	U												

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2001 and 2002 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


