
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending April 7, 2001 (WEEK 14)*

column labels in same order that data fields appears in each record below:
Reporting Area
Meningococcal Disease cummulative for 2001
Meningococcal Disease cummulative for 2000
Mumps current week
Mumps cummulative for 2001
Mumps cummulative for 2000
Pertussis current week
Pertussis cummulative for 2001
Pertussis cummulative for 2000
Rubella current week
Rubella cummulative for 2001
Rubella cummulative for 2000

tab delimited data:
test
UNITED STATES	782	757	1	32	126	48	1,267	1,315	-	3	14										
NEW ENGLAND	51	43	-	-	2	-	212	367	-	-	5										
Maine	-	3	-	-	-	-	-	9	-	-	-										
N.H.	5	3	-	-	-	-	16	48	-	-	1										
Vt.	4	2	-	-	-	-	22	64	-	-	-										
Mass.	29	27	-	-	-	-	168	230	-	-	3										
R.I.	1	2	-	-	1	-	-	5	-	-	-										
Conn.	12	6	-	-	1	-	6	11	-	-	1										
MID. ATLANTIC	65	72	-	-	7	5	77	102	-	1	2										
Upstate N.Y.	27	14	-	-	5	5	67	65	-	1	2										
N.Y. City	16	22	-	-	-	-	-	-	-	-	-										
N.J.	21	16	-	-	-	-	2	-	-	-	-										
Pa.	1	20	-	-	2	-	8	37	-	-	-										
E.N. CENTRAL	96	132	-	5	14	8	154	185	-	1	-										
Ohio	34	23	-	1	4	4	106	108	-	-	-										
Ind.	17	16	-	-	-	-	5	9	-	-	-										
Ill.	18	37	-	3	3	4	11	18	-	1	-										
Mich.	18	41	-	1	6	-	15	12	-	-	-										
Wis.	9	15	-	-	1	-	17	38	-	-	-										
W.N. CENTRAL	52	45	-	1	6	-	38	37	-	-	1										
Minn.	5	3	-	-	-	-	-	15	-	-	-										
Iowa	13	12	-	-	3	-	3	7	-	-	-										
Mo.	20	24	-	-	1	-	23	5	-	-	-										
N. Dak.	2	1	-	-	-	-	-	1	-	-	-										
S. Dak.	2	2	-	-	-	-	2	1	-	-	-										
Nebr.	2	2	-	-	1	-	-	2	-	-	1										
Kans.	8	1	-	1	1	-	10	6	-	-	-										
S. ATLANTIC	158	111	-	4	16	4	61	96	-	1	2										
Del.	-	-	-	-	-	-	-	1	-	-	-										
Md.	21	12	-	2	6	-	12	29	-	-	-										
D.C.	-	-	-	-	-	-	-	-	-	-	-										
Va.	17	19	-	1	2	2	8	5	-	-	-										
W. Va.	4	3	-	-	-	-	1	-	-	-	-										
N.C.	39	20	-	-	2	-	23	28	-	-	-										
S.C.	14	6	-	1	5	1	8	14	-	-	1										
Ga.	22	21	-	-	-	-	2	9	-	1	-										
Fla.	41	30	-	-	1	1	7	10	-	-	1										
E.S. CENTRAL	54	51	-	-	1	3	27	33	-	-	-										
Ky.	10	10	-	-	-	-	6	22	-	-	-										
Tenn.	21	22	-	-	-	3	16	2	-	-	-										
Ala.	19	14	-	-	1	-	2	8	-	-	-										
Miss.	4	5	-	-	-	-	3	1	-	-	-										
W.S. CENTRAL	118	83	1	4	14	5	20	23	-	-	3										
Ark.	8	5	-	1	1	-	2	5	-	-	-										
La.	38	25	-	1	3	-	-	3	-	-	-										
Okla.	13	10	-	-	-	-	1	-	-	-	-										
Tex.	59	43	1	2	10	5	17	15	-	-	3										
MOUNTAIN	46	48	-	4	7	22	594	228	-	-	-										
Mont.	-	1	-	-	1	-	3	1	-	-	-										
Idaho	3	6	-	-	-	5	156	32	-	-	-										
Wyo.	-	-	U	1	-	U	-	-	U	-	-										
Colo.	18	12	-	1	1	8	131	141	-	-	-										
N. Mex.	8	7	-	2	1	1	16	35	-	-	-										
Ariz.	9	15	-	-	-	8	278	11	-	-	-										
Utah	5	5	-	-	2	-	9	5	-	-	-										
Nev.	3	2	-	-	2	-	1	3	-	-	-										
PACIFIC	142	172	-	14	59	1	84	244	-	-	1										
Wash.	25	15	-	-	2	1	28	58	-	-	1										
Oreg.	2	22	N	N	N	-	-	24	-	-	-										
Calif.	114	130	-	13	52	-	56	149	-	-	-										
Alaska	1	1	-	1	-	-	-	4	-	-	-										
Hawaii	-	4	-	-	5	-	-	9	-	-	-										
Guam	-	-	U	-	-	U	-	-	U	-	-										
P.R.	1	3	-	-	-	-	-	-	-	-	-										
V.I.	U	U	U	U	U	U	U	U	U	U	U										
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U										
C.N.M.I.	U	U	U	U	U	U	U	U	U	U	U										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2000 and 2001 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


