
TABLE II. (Part 8)  Provisional cases of selected notifiable diseases, United States, week ending February 21, 2009 (WEEK 07)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages current week
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages cummulative for 2009
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages cummulative for 2008
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years current week
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years cummulative for 2009
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years cummulative for 2008
Syphillis, primary & secondary current week
Syphillis, primary & secondary previous 52 weeks median 
Syphillis, primary & secondary previous 52 weeks maximum 
Syphillis, primary & secondary cummulative for 2009
Syphillis, primary & secondary cummulative for 2008

tab delimited data:
test
UNITED STATES	62	53	105	444	587	8	8	23	59	65	101	240	433	1,328	1,477						
NEW ENGLAND	1	1	48	6	10	-	0	5	-	1	1	5	14	44	33						
Conn.	-	0	48	-	-	-	0	5	-	-	-	0	4	6	2						
Maine	1	0	2	2	2	-	0	1	-	-	-	0	2	1	-						
Mass.	-	0	0	-	-	-	0	0	-	-	1	4	11	32	26						
N.H.	-	0	1	1	-	-	0	0	-	-	-	0	2	5	3						
R.I.	-	0	2	-	4	-	0	1	-	-	-	0	5	-	2						
Vt.	-	0	2	3	4	-	0	1	-	1	-	0	2	-	-						
MID. ATLANTIC	2	3	13	13	50	-	0	2	1	4	21	34	52	223	225						
N.J.	-	0	0	-	-	-	0	0	-	-	1	4	10	20	39						
N.Y. (Upstate)	-	1	6	3	8	-	0	1	1	-	3	3	7	10	8						
N.Y. City	-	1	5	-	18	-	0	0	-	-	13	22	36	159	132						
Pa.	2	1	9	10	24	-	0	2	-	4	4	5	12	34	46						
E.N. CENTRAL	16	11	41	87	148	-	2	7	14	19	6	17	239	137	113						
Ill.	-	1	7	6	48	-	0	2	6	9	1	1	230	27	25						
Ind.	6	2	31	7	28	-	0	5	-	2	3	3	10	24	14						
Mich.	-	0	3	4	4	-	0	1	-	1	2	3	18	34	22						
Ohio	10	7	18	70	68	-	1	4	8	7	-	6	14	46	43						
Wis.	-	0	0	-	-	-	0	0	-	-	-	1	3	6	9						
W.N. CENTRAL	1	2	7	11	49	-	0	2	4	2	-	8	14	35	62						
Iowa	-	0	0	-	-	-	0	0	-	-	-	0	2	-	-						
Kans.	-	1	4	3	21	-	0	1	3	1	-	0	5	1	-						
Minn.	-	0	0	-	-	-	0	0	-	-	-	2	6	10	15						
Mo.	1	1	4	8	27	-	0	1	1	-	-	4	10	22	46						
Nebr.	-	0	0	-	-	-	0	0	-	-	-	0	2	2	1						
N. Dak.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
S. Dak.	-	0	1	-	1	-	0	1	-	1	-	0	1	-	-						
S. ATLANTIC	35	22	53	270	234	7	4	14	32	27	39	55	148	319	225						
Del.	-	0	1	2	-	-	0	0	-	-	-	0	4	6	1						
D.C.	-	0	3	-	4	-	0	1	-	-	2	2	9	26	16						
Fla.	32	14	36	178	132	7	2	13	22	18	15	18	37	131	88						
Ga.	3	7	22	77	85	-	1	5	10	7	-	13	126	20	10						
Md.	-	0	2	1	2	-	0	0	-	1	-	7	14	10	29						
N.C.	N	0	0	N	N	N	0	0	N	N	7	5	19	75	41						
S.C.	-	0	0	-	-	-	0	0	-	-	-	2	6	9	16						
Va.	N	0	0	N	N	N	0	0	N	N	15	5	16	41	24						
W. Va.	-	1	9	12	11	-	0	2	-	1	-	0	1	1	-						
E.S. CENTRAL	5	5	21	38	63	1	1	4	5	3	7	21	37	118	138						
Ala.	N	0	0	N	N	N	0	0	N	N	-	8	17	31	68						
Ky.	2	1	6	16	12	-	0	2	3	1	2	1	10	10	7						
Miss.	-	0	2	-	-	-	0	1	-	-	3	3	18	22	13						
Tenn.	3	3	19	22	51	1	0	3	2	2	2	8	19	55	50						
W.S. CENTRAL	2	2	7	13	20	-	0	1	2	5	19	44	76	248	249						
Ark.	2	0	4	8	2	-	0	1	1	1	3	3	35	35	8						
La.	-	1	6	5	17	-	0	1	1	4	-	10	33	12	54						
Okla.	N	0	0	N	N	N	0	0	N	N	-	1	7	4	18						
Tex.	-	0	0	-	1	-	0	0	-	-	16	27	46	197	169						
MOUNTAIN	-	1	11	4	12	-	0	4	1	3	1	9	25	18	78						
Ariz.	-	0	0	-	-	-	0	0	-	-	-	4	13	2	37						
Colo.	-	0	0	-	-	-	0	0	-	-	-	1	5	2	18						
Idaho	N	0	1	N	N	N	0	1	N	N	-	0	2	-	-						
Mont.	-	0	1	-	-	-	0	0	-	-	-	0	7	-	-						
Nev.	N	0	1	N	N	N	0	0	N	N	1	1	7	12	17						
N. Mex.	-	0	1	-	-	-	0	0	-	-	-	1	4	2	6						
Utah	-	1	10	1	12	-	0	4	1	3	-	0	18	-	-						
Wyo.	-	0	2	3	-	-	0	0	-	-	-	0	1	-	-						
PACIFIC	-	0	1	2	1	-	0	1	-	1	7	45	73	186	354						
Alaska	N	0	0	N	N	N	0	0	N	N	-	0	1	-	-						
Calif.	N	0	0	N	N	N	0	0	N	N	3	41	67	167	310						
