
TABLE II. (Part 9)  Provisional cases of selected notifiable diseases, United States, week ending September 17, 2011 (WEEK 37)*

column labels in same order that data fields appears in each record below:
Reporting Area
Shigellosis current week
Shigellosis previous 52 weeks median 
Shigellosis previous 52 weeks maximum 
Shigellosis cummulative for 2011
Shigellosis cummulative for 2010
Spotted Fever Rickettsiosis (including RMSF) † Confirmed current week
Spotted Fever Rickettsiosis (including RMSF) † Confirmed previous 52 weeks median 
Spotted Fever Rickettsiosis (including RMSF) † Confirmed previous 52 weeks maximum 
Spotted Fever Rickettsiosis (including RMSF) † Confirmed cummulative for 2011
Spotted Fever Rickettsiosis (including RMSF) † Confirmed cummulative for 2010
Spotted Fever Rickettsiosis (including RMSF) † Probable current week
Spotted Fever Rickettsiosis (including RMSF) † Probable previous 52 weeks median 
Spotted Fever Rickettsiosis (including RMSF) † Probable previous 52 weeks maximum 
Spotted Fever Rickettsiosis (including RMSF) † Probable cummulative for 2011
Spotted Fever Rickettsiosis (including RMSF) † Probable cummulative for 2010

tab delimited data:
test
UNITED STATES	142	214	742	7,190	9,963	1	2	16	128	111	11	23	245	1,272	1,193						
NEW ENGLAND	-	2	29	133	284	-	0	0	-	-	-	0	1	3	3						
Conn.	-	0	28	28	69	-	0	0	-	-	-	0	0	-	-						
Maine	-	0	4	19	5	-	0	0	-	-	-	0	1	-	2						
Mass.	-	2	6	76	188	-	0	0	-	-	-	0	1	1	-						
N.H.	-	0	2	1	10	-	0	0	-	-	-	0	1	1	1						
R.I.	-	0	4	6	11	-	0	0	-	-	-	0	1	1	-						
Vt.	-	0	1	3	1	-	0	0	-	-	-	0	0	-	-						
MID. ATLANTIC	8	14	74	485	1,320	-	0	2	11	2	1	1	5	31	81						
N.J.	-	2	8	51	306	-	0	0	-	1	-	0	3	-	47						
N.Y. (Upstate)	6	3	18	171	165	-	0	1	3	1	1	0	2	6	11						
N.Y. City	1	4	12	177	238	-	0	0	-	-	-	0	2	13	11						
Pa.	1	3	56	86	611	-	0	2	8	-	-	0	3	12	12						
E.N. CENTRAL	4	16	40	510	1,268	-	0	2	4	3	-	1	6	71	70						
Ill.	-	4	10	115	731	-	0	1	-	2	-	0	2	24	32						
Ind.	-	1	4	43	46	-	0	0	-	1	-	0	4	36	19						
Mich.	-	3	10	116	193	-	0	1	1	-	-	0	1	-	1						
Ohio	4	5	27	236	239	-	0	2	3	-	-	0	2	11	12						
Wis.	-	0	4	-	59	-	0	0	-	-	-	0	1	-	6						
W.N. CENTRAL	3	8	38	223	1,736	-	0	7	24	11	1	4	30	272	224						
Iowa	-	0	4	13	41	-	0	0	-	-	-	0	2	5	5						
Kans.	-	2	12	39	204	-	0	0	-	-	-	0	0	-	-						
