
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending July 10, 2004 (WEEK 27)*

column labels in same order that data fields appears in each record below:
Reporting Area
Syphilis (Primary and Secondary) cummulative for 2004
Syphilis (Primary and Secondary) cummulative for 2003
Syphilis (Congenital) cummulative for 2004
Syphilis (Congenital) cummulative for 2003
Tuberculosis cummulative for 2004
Tuberculosis cummulative for 2003
Typhoid Fever cummulative for 2004
Typhoid Fever cummulative for 2003
Varicella (Chicken Pox) cummulative for 2004
Varicella (Chicken Pox) cummulative for 2003

tab delimited data:
test
UNITED STATES	3,622	3,624	168	238	4,751	6,222	120	161	8,723	9,737											
NEW ENGLAND	98	112	1	-	188	208	13	17	583	2,126											
Maine	2	4	-	-	-	11	-	-	179	634											
N.H.	3	13	-	-	8	10	-	1	-	-											
Vt.	-	-	-	-	-	5	-	-	404	483											
Mass.	64	71	-	-	118	98	11	9	-	104											
R.I.	14	12	-	-	17	26	1	2	-	3											
Conn.	15	12	1	-	45	58	1	5	-	902											
MID. ATLANTIC	516	419	28	38	1,001	1,103	30	25	33	12											
Upstate N.Y.	45	17	2	5	116	118	3	3	-	-											
N.Y. City	269	237	9	21	533	599	8	13	-	-											
N.J.	83	81	17	12	204	200	9	8	-	-											
Pa.	119	84	-	-	148	186	10	1	33	12											
E.N. CENTRAL	387	506	33	42	567	575	6	19	3,837	3,716											
Ohio	119	107	1	2	104	96	2	-	997	920											
Ind.	29	24	8	8	71	67	-	4	-	-											
Ill.	121	216	2	16	250	271	-	8	-	-											
Mich.	104	148	22	16	105	110	3	7	2,493	2,233											
Wis.	14	11	-	-	37	31	1	-	347	563											
W.N. CENTRAL	73	93	1	4	216	234	3	4	117	39											
Minn.	12	31	-	-	82	88	2	2	-	-											
Iowa	4	7	-	-	19	12	-	1	N	N											
Mo.	37	31	-	4	61	64	1	1	2	-											
N. Dak.	-	-	-	-	3	-	-	-	72	39											
S. Dak.	-	1	-	-	5	13	-	-	43	-											
Nebr.	4	3	-	-	15	10	-	-	-	-											
Kans.	16	20	1	-	31	47	-	-	-	-											
S. ATLANTIC	958	958	21	47	906	1,187	23	30	1,440	1,394											
Del.	3	4	1	-	-	-	-	-	4	15											
Md.	185	152	3	8	128	115	5	7	-	-											
D.C.	38	29	1	-	-	-	-	-	17	18											
Va.	54	43	1	1	105	110	3	11	355	350											
W. Va.	2	1	-	-	12	10	-	-	847	846											
N.C.	85	87	4	9	125	145	3	5	N	N											
S.C.	53	59	1	4	104	83	-	-	217	165											
Ga.	147	257	1	12	11	264	9	3	-	-											
Fla.	391	326	9	13	421	460	3	4	-	-											
E.S. CENTRAL	201	170	11	8	300	330	4	2	2	-											
Ky.	24	21	1	1	54	59	2	-	-	-											
Tenn.	75	70	5	2	106	101	2	1	-	-											
Ala.	84	63	3	4	107	117	-	1	-	-											
Miss.	18	16	2	1	33	53	-	-	2	-											
W.S. CENTRAL	586	418	28	37	314	968	7	11	1,168	2,105											
Ark.	20	24	-	1	63	49	-	-	-	-											
La.	107	56	-	-	-	-	-	-	42	9											
Okla.	18	25	2	1	75	69	-	-	-	-											
Tex.	441	313	26	35	176	850	7	11	1,126	2,096											
MOUNTAIN	181	158	30	23	200	190	5	4	1,543	345											
Mont.	-	-	-	-	4	-	-	-	-	-											
Idaho	13	4	2	-	-	3	-	-	-	-											
Wyo.	1	-	-	-	1	2	-	-	21	37											
Colo.	19	21	-	3	50	45	1	3	1,157	-											
N. Mex.	26	32	1	4	13	28	-	-	67	-											
Ariz.	109	93	27	16	110	76	2	1	-	-											
Utah	3	2	-	-	22	15	1	-	298	308											
Nev.	10	6	-	-	-	21	1	-	-	-											
PACIFIC	622	790	15	39	1,059	1,427	29	49	-	-											
Wash.	51	38	-	-	122	114	2	2	-	-											
Oreg.	16	25	-	-	34	55	1	2	-	-											
Calif.	552	720	15	39	828	1,179	20	45	-	-											
Alaska	-	1	-	-	15	28	-	-	-	-											
Hawaii	3	6	-	-	60	51	6	-	-	-											
Guam	-	1	-	-	-	30	-	-	-	84											
P.R.	54	107	2	8	14	49	-	-	150	285											
V.I.	4	1	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	2	U	-	U	10	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2003 and 2004 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


