
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending January 31, 2009 (WEEK 04)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal disease, invasive, group A current week
Streptococcal disease, invasive, group A previous 52 weeks median 
Streptococcal disease, invasive, group A previous 52 weeks maximum 
Streptococcal disease, invasive, group A cummulative for 2009
Streptococcal disease, invasive, group A cummulative for 2008
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years current week
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2009
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2008

tab delimited data:
test
UNITED STATES	41	84	182	270	421	13	34	55	76	165											
NEW ENGLAND	-	4	31	3	20	-	1	11	1	11											
Conn.	-	0	26	-	-	-	0	11	-	-											
Maine	-	0	3	1	2	-	0	1	-	-											
Mass.	-	1	8	-	16	-	0	4	-	8											
N.H.	-	0	2	1	2	-	0	1	-	3											
R.I.	-	0	9	1	-	-	0	2	-	-											
Vt.	-	0	3	-	-	-	0	1	1	-											
MID. ATLANTIC	11	17	43	47	96	2	3	18	6	33											
N.J.	-	2	11	-	22	-	1	4	1	6											
N.Y. (Upstate)	7	6	18	18	24	2	2	18	5	11											
N.Y. City	-	3	10	4	22	-	0	5	-	16											
Pa.	4	7	16	25	28	N	0	2	N	N											
E.N. CENTRAL	5	15	42	51	79	2	6	15	13	30											
Ill.	-	5	16	9	22	-	1	5	-	10											
Ind.	-	2	9	3	7	-	0	5	-	2											
Mich.	-	3	10	8	20	-	1	5	2	8											
Ohio	4	5	14	29	24	2	1	4	10	7											
Wis.	1	1	10	2	6	-	0	4	1	3											
W.N. CENTRAL	3	5	39	14	18	1	2	11	6	9											
Iowa	-	0	0	-	-	-	0	0	-	-											
Kans.	-	0	5	1	3	1	0	3	2	1											
Minn.	-	0	35	-	-	-	0	9	2	-											
Mo.	2	2	10	6	10	-	1	2	2	6											
Nebr.	1	1	3	5	3	-	0	1	-	2											
N. Dak.	-	0	3	-	-	-	0	2	-	-											
S. Dak.	-	0	2	2	2	-	0	1	-	-											
S. ATLANTIC	15	21	37	94	96	3	6	16	28	32											
Del.	1	0	2	3	-	-	0	0	-	-											
D.C.	-	0	4	-	2	-	0	1	-	-											
Fla.	3	5	10	22	30	1	1	4	6	4											
Ga.	4	5	14	28	18	2	1	5	10	5											
Md.	2	3	8	13	24	-	1	4	5	12											
N.C.	4	2	10	9	2	N	0	0	N	N											
S.C.	-	2	5	9	5	-	1	6	5	5											
Va.	1	2	9	7	12	-	0	6	-	6											
W. Va.	-	0	3	3	3	-	0	2	2	-											
E.S. CENTRAL	2	3	9	12	10	-	2	6	1	3											
Ala.	N	0	0	N	N	N	0	0	N	N											
Ky.	-	1	3	-	2	N	0	0	N	N											
Miss.	N	0	0	N	N	-	0	3	-	2											
Tenn.	2	3	6	12	8	-	1	5	1	1											
W.S. CENTRAL	3	9	33	23	19	3	5	17	9	11											
Ark.	-	0	2	-	-	-	0	2	1	2											
La.	-	0	1	-	3	-	0	3	4	1											
Okla.	1	2	8	15	5	1	1	3	1	2											
Tex.	2	6	30	8	11	2	3	14	3	6											
MOUNTAIN	1	9	20	16	70	2	4	11	11	33											
Ariz.	1	3	8	11	24	2	2	7	8	21											
Colo.	-	2	8	3	18	-	1	4	2	6											
Idaho	-	0	2	-	1	-	0	1	-	1											
Mont.	N	0	0	N	N	-	0	1	-	-											
Nev.	-	0	1	-	2	N	0	0	N	N											
N. Mex.	-	1	8	2	17	-	0	3	-	2											
Utah	-	1	4	-	8	-	0	4	1	3											
Wyo.	-	0	2	-	-	-	0	1	-	-											
PACIFIC	1	3	8	10	13	-	0	2	1	3											
Alaska	-	1	4	2	3	N	0	0	N	N											
Calif.	-	0	0	-	-	N	0	0	N	N											
Hawaii	1	2	8	8	10	-	0	2	1	3											
Oreg.	N	0	0	N	N	N	0	0	N	N											
Wash.	N	0	0	N	N	N	0	0	N	N											
Amer. Samoa	-	0	12	-	-	N	0	0	N	N											
C.N.M.I.	-	-	-	-	-	-	-	-	-	-											
Guam	-	0	0	-	-	-	0	0	-	-											
P.R.	N	0	0	N	N	N	0	0	N	N											
V.I.	-	0	0	-	-	N	0	0	N	N											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2008 and 2009 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes cases of invasive pneumococcal disease, in children aged <5 years, caused by Streptococcus pneumoniae, 
which is susceptible or for which susceptibility testing is not available (NNDSS event code 11717).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


