
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending September 10, 2011 (WEEK 36)*

column labels in same order that data fields appears in each record below:
Reporting Area
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis current week
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis cummulative for 2011
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis cummulative for 2010
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum current week
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum cummulative for 2011
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum cummulative for 2010
Ehrlichiosis/Anaplasmosis†, Undetermined current week
Ehrlichiosis/Anaplasmosis†, Undetermined previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Undetermined previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Undetermined cummulative for 2011
Ehrlichiosis/Anaplasmosis†, Undetermined cummulative for 2010

tab delimited data:
test
UNITED STATES	1	7	109	526	528	9	16	42	392	1,393	6	1	13	76	75						
NEW ENGLAND	-	0	2	4	3	-	2	15	106	74	-	0	1	1	2						
Conn.	-	0	0	-	-	-	0	6	-	31	-	0	0	-	-						
Maine	-	0	1	1	2	-	0	2	12	13	-	0	0	-	-						
Mass.	-	0	0	-	-	-	0	10	49	-	-	0	0	-	-						
N.H.	-	0	1	2	1	-	0	4	12	12	-	0	1	1	2						
R.I.	-	0	1	1	-	-	0	10	30	17	-	0	0	-	-						
Vt.	-	0	0	-	-	-	0	1	3	1	-	0	0	-	-						
MID. ATLANTIC	1	1	7	45	75	9	4	27	197	194	2	0	2	9	9						
N.J.	-	0	1	-	47	-	0	3	-	57	-	0	0	-	1						
N.Y. (Upstate)	1	0	7	40	22	9	3	25	170	127	2	0	2	9	6						
N.Y. City	-	0	1	5	5	-	0	5	25	10	-	0	0	-	-						
Pa.	-	0	1	-	1	-	0	1	2	-	-	0	1	-	2						
E.N. CENTRAL	-	0	3	21	37	-	1	9	10	431	1	0	4	35	40						
Ill.	-	0	2	11	12	-	0	1	3	5	-	0	1	2	3						
Ind.	-	0	0	-	-	-	0	0	-	-	1	0	3	28	14						
Mich.	-	0	2	4	2	-	0	1	-	3	-	0	2	3	-						
Ohio	-	0	1	6	6	-	0	1	4	2	-	0	1	1	-						
Wis.	-	0	1	-	17	-	0	9	3	421	-	0	1	1	23						
W.N. CENTRAL	-	1	17	133	113	-	1	20	27	624	-	0	11	14	9						
Iowa	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Kans.	-	0	1	2	6	-	0	1	1	1	-	0	0	-	-						
Minn.	-	0	12	-	-	-	0	20	1	613	-	0	11	-	-						
Mo.	-	0	17	130	106	-	0	7	23	10	-	0	7	13	9						
Nebr.	-	0	1	-	1	-	0	0	-	-	-	0	1	1	-						
N. Dak.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
S. Dak.	-	0	1	1	-	-	0	1	2	-	-	0	0	-	-						
S. ATLANTIC	-	3	33	186	201	-	1	8	40	50	-	0	1	5	4						
Del.	-	0	2	14	16	-	0	1	1	4	-	0	0	-	-						
D.C.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Fla.	-	0	3	13	8	-	0	3	7	3	-	0	0	-	-						
Ga.	-	0	3	16	19	-	0	2	7	1	-	0	1	1	1						
Md.	-	0	3	19	18	-	0	2	3	12	-	0	0	-	2						
N.C.	-	0	17	55	70	-	0	6	17	20	-	0	0	-	-						
S.C.	-	0	1	1	4	-	0	1	-	-	-	0	0	-	-						
Va.	-	1	13	68	64	-	0	2	5	10	-	0	1	3	1						
W. Va.	-	0	1	-	2	-	0	0	-	-	-	0	1	1	-						
E.S. CENTRAL	-	0	7	56	79	-	0	2	10	18	3	0	1	9	8						
Ala.	-	0	1	-	10	-	0	1	3	7	N	0	0	N	N						
Ky.	-	0	2	9	13	-	0	0	-	-	-	0	0	-	1						
Miss.	-	0	1	3	3	-	0	0	-	2	-	0	0	-	1						
Tenn.	-	0	5	44	53	-	0	1	7	9	3	0	1	9	6						
W.S. CENTRAL	-	0	87	81	19	-	0	9	1	2	-	0	0	-	1						
Ark.	-	0	12	35	4	-	0	2	1	-	-	0	0	-	-						
La.	-	0	0	-	1	-	0	0	-	-	-	0	0	-	-						
Okla.	-	0	82	45	11	-	0	7	-	2	-	0	0	-	-						
Tex.	-	0	1	1	3	-	0	1	-	-	-	0	0	-	1						
MOUNTAIN	-	0	0	-	-	-	0	0	-	-	-	0	1	3	-						
Ariz.	-	0	0	-	-	-	0	0	-	-	-	0	1	3	-						
Colo.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Idaho	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Mont.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Nev.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
N. Mex.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Utah	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
Wyo.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
PACIFIC	-	0	1	-	1	-	0	1	1	-	-	0	0	-	2						
Alaska	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Calif.	-	0	1	-	1	-	0	0	-	-	-	0	0	-	2						
Hawaii	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Oreg.	-	0	0	-	-	-	0	1	1	-	-	0	0	-	-						
Wash.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
Amer. Samoa	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
P.R.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
V.I.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not reportable.
NN: Not Nationally Notifiable
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Case counts for reporting years 2010 and 2011 are provisional and subject to change.
