
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending May 13, 2000 (WEEK 19)*

column labels in same order that data fields appears in each record below:
Reporting Area
Meningococcal Disease cummulative for 2000
Meningococcal Disease cummulative for 1999
Mumps current week
Mumps cummulative for 2000
Mumps cummulative for 1999
Pertussis current week
Pertussis cummulative for 2000
Pertussis cummulative for 1999
Rubella current week
Rubella cummulative for 2000
Rubella cummulative for 1999

tab delimited data:
test
UNITED STATES	924	1,065	10	143	152	79	1,602	2,176	15	43	57										
NEW ENGLAND	55	54	-	2	3	8	412	209	-	5	7										
Maine	3	3	-	-	-	1	11	-	-	-	-										
N.H.	4	9	-	-	1	2	54	36	-	1	-										
Vt.	2	4	-	-	-	2	85	9	-	-	-										
Mass.	36	30	-	-	2	2	237	153	-	3	7										
R.I.	3	2	-	1	-	1	7	3	-	-	-										
Conn.	7	6	-	1	-	-	18	8	-	1	-										
MID. ATLANTIC	85	107	1	9	18	2	131	478	-	2	7										
Upstate N.Y.	21	28	1	6	3	2	76	417	-	2	3										
N.Y. City	21	36	-	-	3	-	-	10	-	-	-										
N.J.	21	17	-	-	-	-	-	12	-	-	1										
Pa.	22	26	-	3	12	-	55	39	-	-	3										
E.N. CENTRAL	160	190	1	17	19	6	205	171	-	-	-										
Ohio	33	70	1	7	6	4	146	94	-	-	-										
Ind.	22	22	-	-	2	2	19	9	-	-	-										
Ill.	35	54	-	3	4	-	18	27	-	-	-										
Mich.	56	22	-	7	7	-	12	17	-	-	-										
Wis.	14	22	-	-	-	-	10	24	-	-	-										
W.N. CENTRAL	72	115	-	10	6	4	65	61	-	2	21										
Minn.	3	26	-	-	1	4	36	18	-	-	-										
Iowa	15	22	-	4	3	-	11	13	-	-	1										
Mo.	46	40	-	1	1	-	9	14	-	-	-										
N. Dak.	1	3	-	-	-	-	1	-	-	-	-										
S. Dak.	4	5	-	-	-	-	1	2	-	-	-										
Nebr.	1	7	U	2	-	U	2	1	U	-	20										
Kans.	2	12	-	3	1	-	5	13	-	2	-										
S. ATLANTIC	150	146	2	24	27	10	143	101	13	28	2										
Del.	-	2	-	-	-	-	1	-	-	-	-										
Md.	15	26	-	5	4	3	35	36	-	-	1										
D.C.	-	1	U	-	2	U	-	-	U	-	-										
Va.	26	22	-	4	8	-	13	13	-	-	-										
W. Va.	3	2	-	-	-	-	-	1	-	-	-										
N.C.	26	21	-	3	5	1	39	25	12	20	1										
S.C.	10	20	-	6	2	-	16	7	-	6	-										
Ga.	24	27	1	2	-	2	18	9	-	-	-										
Fla.	46	25	1	4	6	4	21	10	1	2	-										
E.S. CENTRAL	64	84	-	4	3	-	29	46	-	4	1										
Ky.	13	16	-	-	-	-	16	12	-	1	-										
Tenn.	31	30	-	2	-	-	4	23	-	-	-										
Ala.	17	21	-	1	1	-	8	9	-	3	1										
Miss.	3	17	-	1	2	-	1	2	-	-	-										
W.S. CENTRAL	79	98	2	7	20	6	37	60	1	1	5										
Ark.	6	19	-	1	-	-	8	4	-	-	-										
La.	25	37	-	3	2	-	3	2	-	-	-										
Okla.	18	18	-	-	1	3	3	8	-	-	-										
Tex.	30	24	2	3	17	3	23	46	1	1	5										
MOUNTAIN	52	75	2	11	8	21	310	238	1	1	12										
Mont.	1	-	-	1	-	-	6	1	-	-	-										
Idaho	6	8	-	-	-	1	37	88	-	-	-										
Wyo.	-	2	1	1	-	-	-	2	-	-	-										
Colo.	13	20	-	1	3	15	169	60	1	1	-										
N. Mex.	7	9	-	1	N	3	57	15	-	-	-										
Ariz.	16	26	-	-	-	1	32	42	-	-	10										
Utah	7	5	-	4	4	1	6	28	-	-	1										
Nev.	2	5	1	3	1	-	3	2	-	-	1										
PACIFIC	207	196	2	59	48	22	270	812	-	-	2										
Wash.	22	26	1	3	1	20	98	413	-	-	-										
Oreg.	27	37	N	N	N	2	28	14	-	-	-										
Calif.	151	124	-	51	41	-	135	365	-	-	2										
Alaska	3	5	1	4	1	-	5	3	-	-	-										
Hawaii	4	4	-	1	5	-	4	17	-	-	-										
Guam	-	-	U	-	1	U	-	1	U	-	-										
P.R.	2	7	-	-	-	-	-	5	-	-	-										
V.I.	-	U	U	-	U	U	-	U	U	-	U										
Amer. Samoa	-	U	U	-	U	U	-	U	U	-	U										
C.N.M.I.	-	U	U	-	U	U	-	U	U	-	U										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1999 and 2000 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


