
TABLE II. (Part 10)  Provisional cases of selected notifiable diseases, United States, week ending January 14, 2012 (WEEK 02)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcus pneumoniae, invasive disease †, all ages current week
Streptococcus pneumoniae, invasive disease †, all ages previous 52 weeks median 
Streptococcus pneumoniae, invasive disease †, all ages previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease †, all ages cummulative for 2012
Streptococcus pneumoniae, invasive disease †, all ages cummulative for 2011
Streptococcus pneumoniae, invasive disease †, age <5 years current week
Streptococcus pneumoniae, invasive disease †, age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease †, age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease †, age <5 years cummulative for 2012
Streptococcus pneumoniae, invasive disease †, age <5 years cummulative for 2011
Syphillis, primary & secondary current week
Syphillis, primary & secondary previous 52 weeks median 
Syphillis, primary & secondary previous 52 weeks maximum 
Syphillis, primary & secondary cummulative for 2012
Syphillis, primary & secondary cummulative for 2011

tab delimited data:
test
UNITED STATES	209	250	464	443	868	13	20	41	28	46	53	263	316	101	461						
NEW ENGLAND	5	12	31	14	46	-	1	4	-	1	-	7	21	-	18						
Conn.	-	4	20	-	25	-	0	2	-	-	-	0	12	-	-						
Maine	2	2	8	9	5	-	0	1	-	-	-	0	2	-	1						
Mass.	-	0	3	-	3	-	0	2	-	1	-	5	10	-	12						
N.H.	-	1	8	-	6	-	0	1	-	-	-	0	3	-	-						
R.I.	-	2	6	-	6	-	0	1	-	-	-	0	7	-	5						
Vt.	3	1	6	5	1	-	0	2	-	-	-	0	2	-	-						
MID. ATLANTIC	27	15	48	49	60	-	1	9	1	-	9	30	53	17	69						
N.J.	1	0	6	7	-	-	0	1	1	-	-	4	13	-	5						
N.Y. (Upstate)	26	1	30	31	1	-	1	7	-	-	5	4	9	6	5						
N.Y. City	-	12	26	11	59	-	0	9	-	-	-	14	24	5	44						
Pa.	N	0	0	N	N	N	0	0	N	N	4	6	16	6	15						
E.N. CENTRAL	33	61	123	94	188	3	3	10	6	9	3	30	48	4	58						
Ill.	N	0	0	N	N	-	0	0	-	-	3	11	24	3	25						
Ind.	-	14	36	-	39	-	1	4	-	1	-	3	8	-	7						
Mich.	4	13	26	18	36	1	0	3	1	2	-	5	12	1	12						
Ohio	29	27	43	70	86	2	2	7	5	3	-	8	17	-	13						
Wis.	-	8	24	6	27	-	0	3	-	3	-	1	5	-	1						
W.N. CENTRAL	4	2	28	9	9	-	0	2	-	1	-	6	13	-	16						
Iowa	N	0	0	N	N	N	0	0	N	N	-	0	3	-	-						
Kans.	N	0	0	N	N	N	0	0	N	N	-	0	4	-	-						
Minn.	-	0	0	-	-	-	0	0	-	-	-	2	8	-	9						
Mo.	N	0	0	N	N	-	0	0	-	-	-	2	6	-	6						
Nebr.	4	2	9	9	9	-	0	2	-	1	-	0	2	-	1						
N. Dak.	-	0	25	-	-	-	0	1	-	-	-	0	1	-	-						
S. Dak.	N	0	0	N	N	-	0	0	-	-	-	0	0	-	-						
S. ATLANTIC	81	65	157	160	302	3	6	15	9	21	27	68	100	50	97						
Del.	-	1	5	1	7	-	0	0	-	-	1	0	4	1	1						
D.C.	-	1	5	1	1	-	0	1	1	-	4	3	8	6	5						
Fla.	47	21	55	71	118	2	3	8	4	8	2	23	36	8	50						
Ga.	16	20	40	47	84	1	2	5	4	8	10	14	31	14	9						
Md.	8	9	33	17	58	-	1	3	-	4	-	8	20	-	7						
N.C.	N	0	0	N	N	N	0	0	N	N	3	8	21	12	16						
S.C.	10	8	25	23	34	-	0	3	-	1	-	4	11	-	5						
Va.	N	0	0	N	N	-	0	0	-	-	7	4	12	9	4						
W. Va.	-	0	48	-	-	-	0	4	-	-	-	0	1	-	-						
E.S. CENTRAL	21	23	45	46	72	2	2	4	5	7	2	14	30	3	19						
Ala.	N	0	0	N	N	N	0	0	N	N	-	4	11	-	9						
Ky.	2	4	12	9	15	-	0	3	-	3	2	2	8	2	-						
Miss.	N	0	0	N	N	-	0	0	-	-	-	3	14	-	-						
Tenn.	19	19	37	37	57	2	1	4	5	4	-	5	11	1	10						
W.S. CENTRAL	21	32	87	25	63	4	3	10	4	1	-	36	50	2	62						
Ark.	5	4	14	6	14	1	0	4	1	1	-	4	10	-	5						
La.	-	2	11	1	16	-	0	2	-	-	-	7	25	2	6						
