
TABLE II. (Part 5)  Provisional cases of selected notifiable diseases, United States, week ending January 15, 2005 (WEEK 02)*

column labels in same order that data fields appears in each record below:
Reporting Area
Legionellosis cummulative for 2005
Legionellosis cummulative for 2004
Listeriosis cummulative for 2005
Listeriosis cummulative for 2004
Lyme Disease cummulative for 2005
Lyme Disease cummulative for 2004
Malaria cummulative for 2005
Malaria cummulative for 2004

tab delimited data:
test
UNITED STATES	27	57	14	23	69	309	23	54													
NEW ENGLAND	-	-	-	-	-	24	1	3													
Maine	-	-	-	-	-	-	-	-													
N.H.	-	-	-	-	-	-	-	-													
Vt.	-	-	-	-	-	-	-	-													
Mass.	-	-	-	-	-	24	1	3													
R.I.	-	-	-	-	-	-	-	-													
Conn.	-	-	-	-	-	-	-	-													
MID. ATLANTIC	5	16	1	4	48	251	2	12													
Upstate N.Y.	2	1	-	1	4	63	-	-													
N.Y. City	-	-	-	-	-	-	1	6													
N.J.	2	6	-	2	34	62	1	2													
Pa.	1	9	1	1	10	126	-	4													
E.N. CENTRAL	6	22	2	3	6	5	1	3													
Ohio	4	11	1	2	5	1	1	-													
Ind.	1	-	-	-	-	-	-	-													
Ill.	-	5	-	-	-	-	-	1													
Mich.	1	5	1	-	1	-	-	1													
Wis.	-	1	-	1	U	4	-	1													
W.N. CENTRAL	-	1	1	-	-	2	-	2													
Minn.	-	-	-	-	-	-	-	-													
Iowa	-	-	1	-	-	1	-	-													
Mo.	-	-	-	-	-	1	-	2													
N. Dak.	-	-	-	-	-	-	-	-													
S. Dak.	-	1	-	-	-	-	-	-													
Nebr.	-	-	-	-	-	-	-	-													
Kans.	-	-	-	-	-	-	-	-													
S. ATLANTIC	8	8	4	6	13	21	3	16													
Del.	-	-	N	N	-	2	-	-													
Md.	3	2	1	2	8	17	1	5													
D.C.	-	-	-	-	-	-	-	-													
Va.	-	-	-	-	-	-	-	-													
W. Va.	-	-	-	-	-	-	-	-													
N.C.	1	3	2	2	-	-	-	-													
S.C.	-	1	-	-	-	-	-	1													
Ga.	1	-	-	1	-	-	2	4													
Fla.	3	2	1	1	5	2	-	6													
E.S. CENTRAL	-	2	-	2	1	-	2	1													
Ky.	-	-	-	1	-	-	-	-													
Tenn.	-	-	-	1	1	-	2	-													
Ala.	-	2	-	-	-	-	-	-													
Miss.	-	-	-	-	-	-	-	1													
W.S. CENTRAL	-	3	-	-	-	3	-	10													
Ark.	-	-	-	-	-	-	-	-													
La.	-	-	-	-	-	-	-	2													
Okla.	-	-	-	-	-	-	-	-													
Tex.	-	3	-	-	-	3	-	8													
MOUNTAIN	-	2	-	2	-	-	2	2													
Mont.	-	-	-	-	-	-	-	-													
Idaho	-	-	-	-	-	-	-	-													
Wyo.	-	1	-	-	-	-	-	-													
Colo.	-	1	-	1	-	-	-	-													
N. Mex.	-	-	-	-	-	-	-	1													
Ariz.	-	-	-	-	-	-	1	-													
Utah	-	-	-	-	-	-	1	-													
Nev.	-	-	-	1	-	-	-	1													
PACIFIC	8	3	6	6	1	3	12	5													
Wash.	-	-	-	-	-	-	-	-													
Oreg.	N	N	-	2	-	-	1	-													
Calif.	8	3	6	4	1	3	11	5													
Alaska	-	-	-	-	-	-	-	-													
Hawaii	-	-	-	-	N	N	-	-													
Guam	-	-	-	-	-	-	-	-													
P.R.	-	-	-	-	N	N	-	-													
V.I.	-	-	-	-	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	-	U	-	U	-	U	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2004 and 2005 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


