
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending January 22, 2000 (WEEK 03)*

column labels in same order that data fields appears in each record below:
Reporting Area
Malaria cummulative for 2000
Malaria cummulative for 1999
Rabies, Animal cummulative for 2000
Rabies, Animal cummulative for 1999
Salmonellosis, NETSS cummulative for 2000
Salmonellosis, NETSS cummulative for 1999
Salmonellosis, PHLIS cummulative for 2000
Salmonellosis, PHLIS cummulative for 1999

tab delimited data:
test
UNITED STATES	20	71	127	196	648	1,199	145	1,490													
NEW ENGLAND	-	2	17	36	42	75	3	84													
Maine	-	-	3	2	4	7	-	4													
N.H.	-	-	-	-	6	-	2	3													
Vt.	-	-	2	7	-	3	-	5													
Mass.	-	2	6	13	22	48	-	42													
R.I.	-	-	-	4	-	2	1	10													
Conn.	-	-	6	10	10	15	-	20													
MID. ATLANTIC	2	20	32	34	18	192	3	177													
Upstate N.Y.	1	2	29	15	8	20	3	49													
N.Y. City	1	8	U	U	7	59	-	77													
N.J.	-	9	3	14	-	76	-	50													
Pa.	-	1	-	5	3	37	-	1													
E.N. CENTRAL	1	7	-	-	62	227	27	216													
Ohio	1	-	-	-	42	45	19	37													
Ind.	-	-	-	-	-	-	-	14													
Ill.	-	4	-	-	-	81	-	84													
Mich.	-	1	-	-	20	56	3	58													
Wis.	-	2	-	-	-	45	5	23													
W.N. CENTRAL	-	1	5	29	24	44	24	89													
Minn.	-	-	2	5	1	7	11	25													
Iowa	-	-	2	5	4	5	-	11													
Mo.	-	1	1	1	18	17	7	26													
N. Dak.	-	-	-	3	-	-	1	3													
S. Dak.	-	-	-	10	-	2	3	5													
Nebr.	-	-	-	1	1	6	-	10													
Kans.	-	-	-	4	-	7	2	9													
S. ATLANTIC	5	8	57	51	98	173	27	272													
Del.	-	-	-	3	1	5	-	6													
Md.	3	3	4	9	23	43	7	33													
D.C.	-	4	-	-	-	3	U	U													
Va.	-	-	16	7	9	5	-	39													
W. Va.	-	-	-	4	-	2	5	5													
N.C.	2	-	21	19	54	64	-	72													
S.C.	-	-	2	-	11	5	15	26													
Ga.	-	-	-	-	-	14	-	70													
Fla.	-	1	14	9	-	32	-	21													
E.S. CENTRAL	-	-	-	2	36	98	-	62													
Ky.	-	-	-	-	4	20	U	U													
Tenn.	-	-	-	2	-	16	-	41													
Ala.	-	-	-	-	28	26	-	19													
Miss.	-	-	-	-	4	36	-	2													
W.S. CENTRAL	-	2	-	5	7	29	7	171													
Ark.	-	-	-	-	7	6	6	15													
La.	-	1	-	-	-	1	-	32													
Okla.	-	-	-	5	-	8	-	2													
Tex.	-	1	-	-	-	14	1	122													
MOUNTAIN	1	3	11	11	97	95	31	123													
Mont.	-	1	5	1	3	1	-	-													
Idaho	-	-	-	-	9	2	-	7													
Wyo.	-	-	4	5	1	2	-	3													
Colo.	1	-	-	1	4	31	10	33													
N. Mex.	-	1	-	-	8	17	-	15													
Ariz.	-	1	2	4	29	18	6	39													
Utah	-	-	-	-	28	10	15	16													
Nev.	-	-	-	-	15	14	-	10													
PACIFIC	11	28	5	28	264	266	23	296													
Wash.	-	1	-	-	1	-	2	30													
Oreg.	1	1	-	-	10	11	19	26													
Calif.	10	26	5	28	247	228	-	217													
Alaska	-	-	-	-	6	5	2	2													
Hawaii	-	-	-	-	-	22	-	21													
Guam	-	-	-	-	-	4	U	U													
P.R.	-	-	1	3	-	15	U	U													
V.I.	-	U	-	U	-	U	U	U													
Amer. Samoa	-	U	-	U	-	U	U	U													
C.N.M.I.	-	U	-	U	-	U	U	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1999 and 2000 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


