
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending February 7, 2004 (WEEK 05)*

column labels in same order that data fields appears in each record below:
Reporting Area
Haemophilus influenzae, Invasive, All Ages, All serotypes cummulative for 2004
Haemophilus influenzae, Invasive, All Ages, All serotypes cummulative for 2003
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2004
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2003
Haemophilus influenzae, Invasive, Age < 5 years, non-Serotype B cummulative for 2004
Haemophilus influenzae, Invasive, Age < 5 years, non-Serotype B cummulative for 2003
Haemophilus influenzae, Invasive, Age < 5 years, Unknown Serotype cummulative for 2004
Haemophilus influenzae, Invasive, Age < 5 years, Unknown Serotype cummulative for 2003
Hepatitis (Viral Acute), Type A cummulative for 2004
Hepatitis (Viral Acute), Type A cummulative for 2003

tab delimited data:
test
UNITED STATES	143	253	2	5	7	11	13	25	379	878											
NEW ENGLAND	11	16	-	-	1	-	-	1	77	15											
Maine	1	-	-	-	-	-	-	-	4	-											
N.H.	-	3	-	-	-	-	-	-	-	-											
Vt.	1	4	-	-	-	-	-	-	4	1											
Mass.	2	7	-	-	-	-	-	1	62	10											
R.I.	1	-	-	-	-	-	-	-	-	-											
Conn.	6	2	-	-	1	-	-	-	7	4											
MID. ATLANTIC	32	23	-	-	-	-	4	3	53	85											
Upstate N.Y.	10	3	-	-	-	-	1	1	5	3											
N.Y. City	3	7	-	-	-	-	1	2	10	40											
N.J.	5	3	-	-	-	-	1	-	9	13											
Pa.	14	10	-	-	-	-	1	-	29	29											
E.N. CENTRAL	25	19	-	1	3	1	4	4	31	62											
Ohio	16	3	-	-	-	-	3	1	6	9											
Ind.	1	1	-	-	-	-	1	-	3	1											
Ill.	-	10	-	-	-	-	-	3	7	26											
Mich.	5	3	-	1	3	1	-	-	13	18											
Wis.	3	2	-	-	-	-	-	-	2	8											
W.N. CENTRAL	2	10	-	-	-	-	-	3	14	14											
Minn.	-	1	-	-	-	-	-	-	-	-											
Iowa	-	-	-	-	-	-	-	-	4	5											
Mo.	1	8	-	-	-	-	-	3	4	3											
N. Dak.	-	-	-	-	-	-	-	-	-	-											
S. Dak.	-	-	-	-	-	-	-	-	-	-											
Nebr.	1	-	-	-	-	-	-	-	1	2											
Kans.	-	1	-	-	-	-	-	-	5	4											
S. ATLANTIC	41	138	-	1	-	8	1	9	82	512											
Del.	-	-	-	-	-	-	-	-	-	1											
Md.	14	7	-	-	-	1	-	-	16	19											
D.C.	-	-	-	-	-	-	-	-	-	-											
Va.	7	2	-	-	-	-	-	-	6	4											
W. Va.	1	-	-	-	-	-	-	-	-	-											
N.C.	1	1	-	-	-	-	-	-	5	4											
S.C.	-	1	-	-	-	-	-	-	-	6											
Ga.	7	4	-	-	-	-	1	-	26	67											
Fla.	11	123	-	1	-	7	-	9	29	411											
E.S. CENTRAL	9	11	-	-	-	-	1	2	10	14											
Ky.	-	1	-	-	-	-	-	-	-	1											
Tenn.	4	4	-	-	-	-	-	1	7	9											
Ala.	5	6	-	-	-	-	1	1	-	3											
Miss.	-	-	-	-	-	-	-	-	3	1											
W.S. CENTRAL	3	9	-	-	1	1	-	-	8	44											
Ark.	-	1	-	-	-	-	-	-	4	-											
La.	-	4	-	-	-	-	-	-	-	6											
Okla.	3	4	-	-	1	1	-	-	3	-											
Tex.	-	-	-	-	-	-	-	-	1	38											
MOUNTAIN	15	17	-	1	2	1	2	2	6	24											
Mont.	-	-	-	-	-	-	-	-	-	-											
Idaho	-	-	-	-	-	-	-	-	1	-											
Wyo.	-	-	-	-	-	-	-	-	1	-											
Colo.	3	3	-	-	-	-	1	-	1	1											
N. Mex.	4	2	-	-	1	-	-	-	-	-											
Ariz.	7	7	-	1	1	-	-	1	-	15											
Utah	1	3	-	-	-	-	1	1	3	3											
Nev.	-	2	-	-	-	1	-	-	-	5											
PACIFIC	5	10	2	2	-	-	1	1	98	108											
Wash.	3	-	2	-	-	-	1	-	4	2											
Oreg.	2	4	-	-	-	-	-	1	7	8											
Calif.	-	4	-	2	-	-	-	-	86	96											
Alaska	-	-	-	-	-	-	-	-	-	1											
Hawaii	-	2	-	-	-	-	-	-	1	1											
Guam	-	-	-	-	-	-	-	-	-	-											
P.R.	-	-	-	-	-	-	-	-	-	1											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2003 and 2004 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


