
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending September 21, 2002 (WEEK 38)*

column labels in same order that data fields appears in each record below:
Reporting Area
Shigellosis cummulative for 2002
Shigellosis cummulative for 2001
Streptococcal Disease, Invasive, Group A cummulative for 2002
Streptococcal Disease, Invasive, Group A cummulative for 2001
Streptococcus pneumoniae, Drug Resistant, Invasive cummulative for 2002
Streptococcus pneumoniae, Drug Resistant, Invasive cummulative for 2001
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2002
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2001

tab delimited data:
test
UNITED STATES	11,828	13,613	3,182	2,816	1,669	2,067	173	316													
NEW ENGLAND	235	238	152	182	15	96	2	34													
Maine	4	6	20	10	-	-	-	-													
N.H.	8	4	30	N	-	-	N	N													
Vt.	1	7	9	10	4	7	1	-													
Mass.	147	167	79	57	N	N	N	N													
R.I.	12	16	14	11	11	3	1	3													
Conn.	63	38	-	94	-	86	-	31													
MID. ATLANTIC	851	1,135	518	515	89	136	50	82													
Upstate N.Y.	213	394	241	215	78	130	50	82													
N.Y. City	291	315	128	144	U	U	U	U													
N.J.	198	227	103	103	N	N	N	N													
Pa.	149	199	46	53	11	6	-	-													
E.N. CENTRAL	1,232	3,345	565	661	170	142	73	86													
Ohio	463	2,245	176	168	33	-	5	-													
Ind.	69	168	42	53	132	142	43	42													
Ill.	453	441	105	214	2	-	-	44													
Mich.	127	242	242	175	3	-	N	N													
Wis.	120	249	-	51	N	N	25	-													
W.N. CENTRAL	790	1,269	194	290	162	112	37	48													
Minn.	164	337	100	131	48	51	37	40													
Iowa	100	324	-	-	N	N	N	N													
Mo.	125	238	39	61	6	9	-	-													
N. Dak.	15	20	-	11	1	5	-	8													
S. Dak.	150	229	11	9	1	3	-	-													
Nebr.	166	60	16	32	29	14	N	N													
Kans.	70	61	28	46	77	30	N	N													
S. ATLANTIC	4,510	1,831	649	475	1,047	1,114	4	5													
Del.	126	12	2	2	3	4	N	N													
Md.	850	116	103	N	N	N	N	N													
D.C.	43	44	6	16	48	5	1	3													
Va.	700	227	63	63	N	N	N	N													
W. Va.	9	8	16	18	36	37	3	2													
N.C.	258	279	107	124	N	N	U	U													
S.C.	75	206	29	9	147	229	N	N													
Ga.	1,170	255	139	150	258	324	N	N													
Fla.	1,279	684	184	93	555	515	N	N													
E.S. CENTRAL	937	1,180	82	89	113	199	-	-													
Ky.	101	504	16	32	12	23	N	N													
Tenn.	60	75	66	57	101	175	N	N													
Ala.	497	180	-	-	-	1	N	N													
Miss.	279	421	-	-	-	-	-	-													
W.S. CENTRAL	878	2,141	105	252	37	232	3	61													
Ark.	153	449	5	-	6	14	-	-													
La.	108	183	-	1	31	218	1	61													
Okla.	352	43	37	36	N	N	2	-													
Tex.	265	1,466	63	215	N	N	-	-													
MOUNTAIN	577	702	454	294	36	33	4	-													
Mont.	3	4	-	-	-	-	-	-													
Idaho	9	27	7	7	N	N	N	N													
Wyo.	7	5	7	9	9	5	-	-													
Colo.	135	179	115	125	-	-	-	-													
N. Mex.	115	95	80	64	27	26	-	-													
Ariz.	245	281	216	86	-	-	N	N													
Utah	26	47	29	3	-	-	4	-													
Nev.	37	64	-	-	-	2	-	-													
PACIFIC	1,818	1,772	463	58	-	3	-	-													
Wash.	113	146	65	-	-	-	N	N													
Oreg.	83	83	N	N	N	N	N	N													
Calif.	1,576	1,488	341	-	N	N	N	N													
Alaska	4	5	-	-	-	-	N	N													
Hawaii	42	50	57	58	-	3	-	-													
Guam	-	37	-	1	-	-	-	-													
P.R.	5	15	N	N	-	-	N	N													
V.I.	-	-	-	-	-	-	-	-													
Amer. Samoa	U	U	U	U	-	-	U	U													
C.N.M.I.	17	U	-	U	-	-	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2001 and 2002 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


