
TABLE II. (Part 11)  Provisional cases of selected notifiable diseases, United States, week ending February 9, 2013 (WEEK 06)*

column labels in same order that data fields appears in each record below:
Reporting Area
Varicella (chickenpox) current week
Varicella (chickenpox) previous 52 weeks median 
Varicella (chickenpox) previous 52 weeks maximum 
Varicella (chickenpox) cummulative for 2013
Varicella (chickenpox) cummulative for 2012
West Nile virus disease † Neuroinvasive current week
West Nile virus disease † Neuroinvasive previous 52 weeks median 
West Nile virus disease † Neuroinvasive previous 52 weeks maximum 
West Nile virus disease † Neuroinvasive cummulative for 2013
West Nile virus disease † Neuroinvasive cummulative for 2012
West Nile virus disease † Non-neuroinvasive § current week
West Nile virus disease † Non-neuroinvasive § previous 52 weeks median 
West Nile virus disease † Non-neuroinvasive § previous 52 weeks maximum 
West Nile virus disease † Non-neuroinvasive § cummulative for 2013
West Nile virus disease † Non-neuroinvasive § cummulative for 2012

tab delimited data:
test
UNITED STATES	39	212	370	383	1,578	-	0	0	-	-	-	0	0	-	-						
NEW ENGLAND	-	19	49	32	164	-	0	0	-	-	-	0	0	-	-						
Conn.	-	5	10	28	30	-	0	0	-	-	-	0	0	-	-						
Maine	-	3	22	2	45	-	0	0	-	-	-	0	0	-	-						
Mass.	-	9	21	-	68	-	0	0	-	-	-	0	0	-	-						
N.H.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
R.I.	-	0	9	-	3	-	0	0	-	-	-	0	0	-	-						
Vt.	-	2	13	2	18	-	0	0	-	-	-	0	0	-	-						
MID. ATLANTIC	10	19	56	70	151	-	0	0	-	-	-	0	0	-	-						
N.J.	-	5	25	-	56	-	0	0	-	-	-	0	0	-	-						
N.Y. (Upstate)	N	0	0	N	N	-	0	0	-	-	-	0	0	-	-						
N.Y. City	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
Pa.	10	15	35	70	95	-	0	0	-	-	-	0	0	-	-						
E.N. CENTRAL	27	58	126	218	399	-	0	0	-	-	-	0	0	-	-						
Ill.	-	16	36	42	117	-	0	0	-	-	-	0	0	-	-						
Ind.	-	8	26	5	39	-	0	0	-	-	-	0	0	-	-						
Mich.	4	16	45	52	117	-	0	0	-	-	-	0	0	-	-						
Ohio	23	15	33	107	125	-	0	0	-	-	-	0	0	-	-						
Wis.	-	0	7	12	1	-	0	0	-	-	-	0	0	-	-						
W.N. CENTRAL	1	6	26	7	124	-	0	0	-	-	-	0	0	-	-						
Iowa	N	0	0	N	N	-	0	0	-	-	-	0	0	-	-						
Kans.	-	0	14	-	62	-	0	0	-	-	-	0	0	-	-						
Minn.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
Mo.	-	4	24	-	55	-	0	0	-	-	-	0	0	-	-						
Nebr.	-	0	3	-	3	-	0	0	-	-	-	0	0	-	-						
N. Dak.	-	1	5	6	1	-	0	0	-	-	-	0	0	-	-						
S. Dak.	1	0	3	1	3	-	0	0	-	-	-	0	0	-	-						
S. ATLANTIC	-	22	76	13	224	-	0	0	-	-	-	0	0	-	-						
Del.	-	0	1	-	2	-	0	0	-	-	-	0	0	-	-						
D.C.	-	0	4	-	2	-	0	0	-	-	-	0	0	-	-						
Fla.	-	12	50	-	116	-	0	0	-	-	-	0	0	-	-						
Ga.	-	1	9	9	1	-	0	0	-	-	-	0	0	-	-						
Md.	N	0	0	N	N	-	0	0	-	-	-	0	0	-	-						
N.C.	N	0	0	N	N	-	0	0	-	-	-	0	0	-	-						
S.C.	-	0	2	-	-	-	0	0	-	-	-	0	0	-	-						
Va.	-	7	17	1	52	-	0	0	-	-	-	0	0	-	-						
W. Va.	-	2	12	3	51	-	0	0	-	-	-	0	0	-	-						
E.S. CENTRAL	-	3	13	3	27	-	0	0	-	-	-	0	0	-	-						
Ala.	-	2	12	3	24	-	0	0	-	-	-	0	0	-	-						
Ky.	N	0	0	N	N	-	0	0	-	-	-	0	0	-	-						
Miss.	-	0	1	-	3	-	0	0	-	-	-	0	0	-	-						
Tenn.	N	0	0	N	N	-	0	0	-	-	-	0	0	-	-						
W.S. CENTRAL	-	40	98	19	259	-	0	0	-	-	-	0	0	-	-						
Ark.	-	3	17	-	20	-	0	0	-	-	-	0	0	-	-						
La.	-	1	7	5	19	-	0	0	-	-	-	0	0	-	-						
Okla.	N	0	0	N	N	-	0	0	-	-	-	0	0	-	-						
Tex.	-	37	94	14	220	-	0	0	-	-	-	0	0	-	-						
MOUNTAIN	-	23	61	14	218	-	0	0	-	-	-	0	0	-	-						
Ariz.	-	8	20	3	82	-	0	0	-	-	-	0	0	-	-						
Colo.	-	8	25	-	60	-	0	0	-	-	-	0	0	-	-						
Idaho	N	0	0	N	N	-	0	0	-	-	-	0	0	-	-						
Mont.	-	2	8	3	16	-	0	0	-	-	-	0	0	-	-						
Nev.	N	0	0	N	N	-	0	0	-	-	-	0	0	-	-						
N. Mex.	-	1	8	-	15	-	0	0	-	-	-	0	0	-	-						
Utah	-	4	15	8	40	-	0	0	-	-	-	0	0	-	-						
Wyo.	-	0	2	-	5	-	0	0	-	-	-	0	0	-	-						
PACIFIC	1	2	8	7	12	-	0	0	-	-	-	0	0	-	-						
Alaska	1	1	4	6	4	-	0	0	-	-	-	0	0	-	-						
Calif.	-	0	3	-	5	-	0	0	-	-	-	0	0	-	-						
Hawaii	-	1	3	1	3	-	0	0	-	-	-	0	0	-	-						
Oreg.	N	0	0	N	N	-	0	0	-	-	-	0	0	-	-						
Wash.	N	0	0	N	N	-	0	0	-	-	-	0	0	-	-						
Amer. Samoa	N	0	0	N	N	-	0	0	-	-	-	0	0	-	-						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
P.R.	-	0	6	-	23	-	0	0	-	-	-	0	0	-	-						
V.I.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not reportable.
NN: Not Nationally Notifiable
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Case counts for reporting years 2012 and 2013 are provisional and subject to change.
For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ProvisionalNationaNotifiableDiseasesSurveillanceData20100927.pdf. 
Data for TB are displayed in Table IV, which appears quarterly.

† Updated weekly from reports to the Division of Vector-Borne Infectious Diseases, National Center for Zoonotic, 
Vector-Borne, and Enteric Diseases (ArboNet Surveillance). Data for California serogroup, eastern equine, 
Powassan, St. Louis, and western equine diseases are available in Table I.

§ Not reportable in all states.  Data from states where the condition is not reportable are excluded from this table, 
except starting in 2007 for the Arboviral diseases and influenza-associated pediatric mortality, and in 2003 for 
SARS-CoV.  Reporting exceptions are available at http://wwwn.cdc.gov/nndss/document/SRCA_FINAL_REPORT_2006-2010.xlsx.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


