
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending February 13, 1999 (WEEK 06)*

column labels in same order that data fields appears in each record below:
Reporting Area
Meningococcal Disease cummulative for 1999
Meningococcal Disease cummulative for 1998
Mumps current week
Mumps cummulative for 1999
Mumps cummulative for 1998
Pertussis current week
Pertussis cummulative for 1999
Pertussis cummulative for 1998
Rubella current week
Rubella cummulative for 1999
Rubella cummulative for 1998

tab delimited data:
test
UNITED STATES	213	406	7	37	32	39	246	451	-	3	24										
NEW ENGLAND	16	26	-	1	-	4	45	94	-	-	8										
Maine	2	1	-	-	-	-	-	4	-	-	-										
N.H.	-	1	-	1	-	2	3	7	-	-	-										
Vt.	1	1	-	-	-	-	7	18	-	-	-										
Mass.	13	10	-	-	-	2	35	62	-	-	1										
R.I.	-	3	-	-	-	-	-	-	-	-	-										
Conn.	-	10	-	-	-	-	-	3	-	-	7										
MID. ATLANTIC	22	39	1	3	1	7	14	41	-	-	11										
Upstate N.Y.	4	9	-	-	1	6	13	28	-	-	10										
N.Y. City	6	7	-	-	-	-	-	3	-	-	-										
N.J.	8	14	-	-	-	-	-	3	-	-	1										
Pa.	4	9	1	3	-	1	1	7	-	-	-										
E.N. CENTRAL	30	65	-	1	4	2	47	59	-	-	-										
Ohio	18	26	-	1	3	2	41	23	-	-	-										
Ind.	6	8	-	-	-	-	1	2	-	-	-										
Ill.	5	20	-	-	-	-	-	-	-	-	-										
Mich.	1	4	-	-	1	-	5	8	-	-	-										
Wis.	-	7	-	-	-	-	-	26	-	-	-										
W.N. CENTRAL	13	32	-	1	-	-	5	31	-	-	-										
Minn.	-	-	-	-	-	-	-	18	-	-	-										
Iowa	4	4	-	1	-	-	3	6	-	-	-										
Mo.	3	17	-	-	-	-	1	2	-	-	-										
N. Dak.	-	-	-	-	-	-	-	-	-	-	-										
S. Dak.	3	3	-	-	-	-	1	-	-	-	-										
Nebr.	1	1	-	-	-	-	-	2	-	-	-										
Kans.	2	7	-	-	-	-	-	3	-	-	-										
S. ATLANTIC	43	55	4	7	7	15	40	33	-	3	1										
Del.	1	-	-	-	-	-	-	-	-	-	-										
Md.	6	7	1	1	-	1	13	5	-	-	-										
D.C.	-	-	-	-	-	-	-	-	-	-	-										
Va.	2	6	-	-	-	5	6	-	-	-	-										
W. Va.	-	2	-	-	-	-	-	-	-	-	-										
N.C.	5	8	-	1	4	6	16	23	-	3	1										
S.C.	6	5	-	2	2	-	2	-	-	-	-										
Ga.	4	20	-	-	-	-	-	-	-	-	-										
Fla.	19	7	3	3	1	3	3	5	-	-	-										
E.S. CENTRAL	17	37	-	-	-	-	7	11	-	-	-										
Ky.	-	8	U	-	-	U	-	-	U	-	-										
Tenn.	8	13	-	-	-	-	4	3	-	-	-										
Ala.	9	14	-	-	-	-	3	8	-	-	-										
Miss.	-	2	U	-	-	U	-	-	U	-	-										
W.S. CENTRAL	8	20	-	8	7	1	11	9	-	-	1										
Ark.	1	4	-	-	-	-	4	2	-	-	-										
La.	6	4	-	-	-	-	-	-	-	-	-										
Okla.	-	11	-	-	-	-	-	-	-	-	-										
Tex.	1	1	-	8	7	1	7	7	-	-	1										
MOUNTAIN	18	26	-	2	2	10	71	106	-	-	2										
Mont.	-	1	-	-	-	-	-	1	-	-	-										
Idaho	3	1	-	-	-	8	44	51	-	-	-										
Wyo.	-	1	U	-	-	U	-	-	U	-	-										
Colo.	3	10	-	1	-	1	4	14	-	-	-										
N. Mex.	4	3	N	N	N	1	7	36	-	-	-										
Ariz.	5	8	U	-	1	U	2	-	U	-	-										
Utah	3	1	-	1	-	-	14	2	-	-	2										
Nev.	-	1	U	-	1	U	-	2	U	-	-										
PACIFIC	46	106	2	14	11	-	6	67	-	-	1										
Wash.	4	12	-	-	-	-	2	7	-	-	-										
Oreg.	3	26	N	N	N	-	3	8	-	-	-										
Calif.	33	65	2	12	5	-	-	52	-	-	1										
Alaska	3	1	-	1	2	-	1	-	-	-	-										
Hawaii	3	2	-	1	4	-	-	-	-	-	-										
Guam	-	-	U	-	-	U	-	-	U	-	-										
P.R.	-	-	-	-	-	-	-	-	-	-	-										
V.I.	U	U	U	U	U	U	U	U	U	U	U										
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U										
C.N.M.I.	-	-	U	-	-	U	-	-	U	-	-										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1998 and 1999 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


