
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending February 7, 2004 (WEEK 05)*

column labels in same order that data fields appears in each record below:
Reporting Area
Salmonellosis cummulative for 2004
Salmonellosis cummulative for 2003
Shigellosis cummulative for 2004
Shigellosis cummulative for 2003
Streptococcal Disease, Invasive, Group A cummulative for 2004
Streptococcal Disease, Invasive, Group A cummulative for 2003
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2004
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2003
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2004
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2003

tab delimited data:
test
UNITED STATES	1,799	6,823	681	4,432	384	700	298	773	26	45											
NEW ENGLAND	83	87	22	28	13	42	-	12	-	-											
Maine	3	3	-	1	1	-	-	-	-	-											
N.H.	-	4	-	-	-	1	-	-	N	N											
Vt.	3	1	-	-	-	2	-	2	-	-											
Mass.	58	60	17	20	10	22	N	N	N	N											
R.I.	4	4	-	2	2	-	-	-	-	-											
Conn.	15	15	5	5	-	17	-	10	U	U											
MID. ATLANTIC	186	282	80	164	47	93	15	12	6	6											
Upstate N.Y.	38	23	34	12	19	22	5	4	2	5											
N.Y. City	49	99	17	46	1	14	U	U	U	U											
N.J.	31	62	12	53	7	18	N	N	N	N											
Pa.	68	98	17	53	20	39	10	8	4	1											
E.N. CENTRAL	260	362	69	149	78	125	83	41	19	30											
Ohio	90	121	24	28	39	30	73	41	16	21											
Ind.	17	11	3	5	1	2	10	-	3	1											
Ill.	63	133	22	77	-	41	-	-	-	-											
Mich.	51	50	12	24	35	35	N	N	N	N											
Wis.	39	47	8	15	3	17	N	N	-	8											
W.N. CENTRAL	121	113	33	76	25	21	25	29	-	2											
Minn.	21	28	6	3	-	-	-	-	-	1											
Iowa	24	24	2	2	N	N	N	N	N	N											
Mo.	38	34	9	37	8	10	1	-	-	-											
N. Dak.	3	2	1	-	2	-	-	-	-	1											
S. Dak.	5	5	1	4	3	3	-	-	-	-											
Nebr.	10	8	1	22	1	4	-	-	N	N											
Kans.	20	12	13	8	11	4	24	29	N	N											
S. ATLANTIC	537	5,133	252	3,372	115	265	158	654	1	-											
Del.	-	6	1	47	-	1	-	-	N	N											
Md.	42	58	16	91	18	17	-	1	-	-											
D.C.	-	-	4	-	-	-	-	-	1	-											
Va.	38	26	7	18	5	1	N	N	N	N											
W. Va.	1	-	-	-	1	-	4	3	-	-											
N.C.	64	136	24	92	11	8	N	N	U	U											
S.C.	9	38	15	11	1	1	9	9	N	N											
Ga.	128	200	55	264	53	6	64	30	N	N											
Fla.	255	4,669	130	2,849	26	231	81	611	N	N											
E.S. CENTRAL	105	167	30	82	17	7	8	9	-	-											
Ky.	7	21	1	10	5	2	3	-	N	N											
Tenn.	27	53	16	19	12	5	5	9	N	N											
Ala.	49	61	10	37	-	-	-	-	N	N											
Miss.	22	32	3	16	-	-	-	-	-	-											
W.S. CENTRAL	47	196	41	255	13	54	4	14	-	6											
Ark.	19	18	5	1	1	1	1	-	-	-											
La.	4	32	6	39	-	-	3	14	-	1											
Okla.	19	5	24	38	7	5	N	N	-	2											
Tex.	5	141	6	177	5	48	N	N	-	3											
MOUNTAIN	98	128	44	69	19	60	5	2	-	1											
Mont.	6	4	1	-	-	-	-	-	-	-											
Idaho	22	9	-	1	1	4	N	N	N	N											
Wyo.	2	2	1	1	2	-	3	-	-	-											
Colo.	16	52	7	17	6	13	-	-	-	-											
N. Mex.	18	10	16	21	8	10	2	2	-	-											
Ariz.	21	25	12	25	-	31	-	-	N	N											
Utah	13	11	7	2	2	2	-	-	-	1											
Nev.	-	15	-	2	-	-	-	-	-	-											
PACIFIC	362	355	110	237	57	33	-	-	-	-											
Wash.	22	15	5	-	-	-	-	-	N	N											
Oreg.	29	16	5	6	N	N	N	N	N	N											
Calif.	273	298	94	225	39	20	N	N	N	N											
Alaska	13	11	-	2	-	-	-	-	N	N											
Hawaii	25	15	6	4	18	13	-	-	-	-											
Guam	-	-	-	-	-	-	-	-	-	-											
P.R.	5	20	1	-	N	N	N	N	N	N											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2003 and 2004 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


