
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending July 1, 2000 (WEEK 26)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 2000
AIDS § cummulative for 1999
Chlamydia† cummulative for 2000
Chlamydia† cummulative for 1999
Cryptosporidiosis cummulative for 2000
Cryptosporidiosis cummulative for 1999
Escherichia coli O157:H7 NETSS cummulative for 2000
Escherichia coli O157:H7 NETSS cummulative for 1999
Escherichia coli O157:H7 PHLIS cummulative for 2000
Escherichia coli O157:H7 PHLIS cummulative for 1999

tab delimited data:
test
UNITED STATES	16,820	23,026	282,501	329,623	591	872	1,036	801	590	762											
NEW ENGLAND	1,003	1,109	10,332	10,547	34	44	110	118	100	103											
Maine	16	29	675	502	9	9	7	10	6	-											
N.H.	13	30	499	497	4	5	10	14	9	15											
Vt.	2	6	265	242	13	6	3	14	4	7											
Mass.	681	702	4,968	4,434	6	21	51	52	46	48											
R.I.	41	63	1,207	1,181	2	-	6	6	5	7											
Conn.	250	279	2,718	3,691	-	3	33	22	30	26											
MID. ATLANTIC	4,030	5,895	19,077	33,989	62	183	123	58	64	52											
Upstate N.Y.	213	726	N	N	37	54	98	38	43	4											
N.Y. City	2,325	2,997	5,527	14,341	7	107	7	4	-	-											
N.J.	885	1,146	3,346	6,148	7	14	18	16	13	47											
Pa.	607	1,026	10,204	13,500	11	8	N	N	8	1											
E.N. CENTRAL	1,641	1,499	46,479	58,499	120	144	174	148	78	129											
Ohio	218	246	11,863	13,901	23	19	40	51	25	42											
Ind.	149	189	5,922	5,973	11	9	28	17	19	17											
Ill.	1,012	677	12,753	16,014	7	29	49	53	-	35											
Mich.	190	308	11,647	10,544	28	20	36	27	21	17											
Wis.	72	79	4,294	12,067	51	67	21	N	13	18											
W.N. CENTRAL	376	531	16,467	18,930	55	54	169	141	105	164											
Minn.	79	82	3,282	3,790	11	13	52	36	41	54											
Iowa	38	52	2,101	2,217	15	12	33	24	10	15											
Mo.	164	259	5,745	6,864	10	10	44	13	31	21											
N. Dak.	-	4	282	441	5	4	8	3	6	4											
S. Dak.	3	11	865	792	5	3	7	5	3	14											
Nebr.	25	37	1,548	1,706	7	11	15	48	9	55											
Kans.	67	86	2,644	3,120	2	1	10	12	5	1											
S. ATLANTIC	4,484	6,284	60,046	69,646	114	161	85	94	45	76											
Del.	78	80	1,402	1,392	4	-	-	4	-	-											
Md.	459	721	6,158	6,388	7	7	11	7	1	-											
D.C.	315	239	1,694	N	7	6	-	-	U	U											
Va.	327	335	7,241	7,487	4	10	16	28	15	25											
W. Va.	29	31	753	888	3	-	3	4	3	2											
N.C.	279	394	11,192	11,466	11	4	17	22	6	26											
S.C.	326	579	4,870	8,873	-	-	6	11	2	9											
Ga.	430	957	11,094	17,683	58	86	13	5	9	U											
Fla.	2,241	2,948	15,642	15,469	20	48	19	13	9	14											
E.S. CENTRAL	805	1,028	22,803	21,927	25	10	44	56	26	40											
Ky.	99	151	4,008	3,850	1	2	17	13	12	10											
Tenn.	337	402	7,176	6,866	7	4	17	24	12	16											
Ala.	213	255	7,009	5,205	10	2	4	13	-	12											
Miss.	156	220	4,610	6,006	7	2	6	6	2	2											
W.S. CENTRAL	1,511	2,475	43,552	44,558	25	40	52	40	55	49											
Ark.	94	90	2,628	3,020	1	-	31	5	3	5											
La.	281	463	9,507	7,279	5	21	-	5	18	6											
Okla.	110	71	3,861	3,946	4	2	9	7	6	6											
Tex.	1,026	1,851	27,556	30,313	15	17	12	23	28	32											
MOUNTAIN	582	852	18,094	17,529	39	38	122	62	44	51											
Mont.	7	4	752	654	6	7	12	4	-	-											
Idaho	11	12	930	846	3	2	14	2	-	6											
Wyo.	2	3	326	360	3	-	5	3	2	5											
Colo.	130	171	5,353	4,156	11	4	53	23	20	13											
N. Mex.	58	46	2,210	2,645	2	15	5	3	3	1											
Ariz.	193	422	5,851	6,281	3	7	24	11	18	6											
Utah	61	80	1,240	1,039	9	N	7	13	1	15											
Nev.	120	114	1,432	1,548	2	3	2	3	-	5											
PACIFIC	2,388	3,353	45,651	53,998	117	198	157	84	73	98											
Wash.	247	185	6,403	5,951	N	N	49	29	43	38											
Oreg.	86	87	2,626	3,124	8	75	25	19	23	20											
Calif.	1,987	3,022	34,392	42,406	109	123	74	32	-	37											
Alaska	5	13	1,174	932	-	-	2	-	-	-											
Hawaii	63	46	1,056	1,585	-	-	7	4	7	3											
Guam	13	5	-	223	-	-	N	N	U	U											
P.R.	431	737	298	U	-	-	4	10	U	U											
V.I.	18	15	-	U	-	U	-	U	U	U											
Amer. Samoa	-	-	-	U	-	U	-	U	U	U											
C.N.M.I.	-	-	-	U	-	U	-	U	U	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1999 and 2000 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


