
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending December 29, 2001 (WEEK 52)*

column labels in same order that data fields appears in each record below:
Reporting Area
Meningococcal Disease cummulative for 2001
Meningococcal Disease cummulative for 2000
Mumps current week
Mumps cummulative for 2001
Mumps cummulative for 2000
Pertussis current week
Pertussis cummulative for 2001
Pertussis cummulative for 2000
Rubella current week
Rubella cummulative for 2001
Rubella cummulative for 2000

tab delimited data:
test
UNITED STATES	2,255	2,256	2	231	338	96	5,396	7,867	-	19	176										
NEW ENGLAND	115	123	-	-	5	23	579	1,952	-	-	12										
Maine	7	9	-	-	-	-	21	46	-	-	-										
N.H.	14	12	-	-	-	-	39	159	-	-	2										
Vt.	7	4	-	-	-	23	107	254	-	-	-										
Mass.	56	70	-	-	1	-	389	1,411	-	-	8										
R.I.	6	9	-	-	1	-	6	28	-	-	1										
Conn.	25	19	-	-	3	-	17	54	-	-	1										
MID. ATLANTIC	255	262	-	24	31	1	307	819	-	5	11										
Upstate N.Y.	64	79	-	4	12	1	150	385	-	1	1										
N.Y. City	42	46	-	12	8	-	49	90	-	3	9										
N.J.	93	54	-	4	4	-	22	56	-	1	1										
Pa.	56	83	-	4	7	-	86	288	-	-	-										
E.N. CENTRAL	326	403	-	20	27	1	739	942	-	2	1										
Ohio	92	94	-	1	9	-	326	389	-	-	-										
Ind.	43	59	-	3	2	-	96	153	-	-	-										
Ill.	72	91	-	11	6	-	80	133	-	2	1										
Mich.	71	115	-	5	7	1	139	127	-	-	-										
Wis.	48	44	-	-	3	-	98	140	-	-	-										
W.N. CENTRAL	165	157	-	17	26	5	443	829	-	3	2										
Minn.	27	23	-	5	7	-	207	575	-	-	1										
Iowa	31	37	-	1	8	2	81	67	-	1	-										
Mo.	56	67	-	4	5	3	108	97	-	1	-										
N. Dak.	6	3	-	-	1	-	5	9	-	-	-										
S. Dak.	5	6	-	-	-	-	5	11	-	-	-										
Nebr.	25	9	-	1	2	-	7	28	-	-	1										
Kans.	15	12	-	6	3	-	30	42	-	1	-										
S. ATLANTIC	380	337	-	42	50	2	356	593	-	5	119										
Del.	5	1	-	-	-	-	-	9	-	-	1										
Md.	42	28	-	7	9	-	45	133	-	-	-										
D.C.	-	-	-	-	-	-	1	3	-	-	-										
Va.	44	42	-	8	11	1	142	134	-	-	-										
W. Va.	14	15	-	-	1	-	4	3	-	-	-										
N.C.	63	39	-	5	9	-	74	129	-	-	89										
S.C.	35	26	-	7	11	-	34	63	-	2	27										
Ga.	52	53	-	7	2	-	27	52	-	1	-										
Fla.	125	133	-	8	7	1	29	67	-	2	2										
E.S. CENTRAL	134	137	-	9	7	3	188	132	-	-	6										
Ky.	23	26	-	3	1	2	84	63	-	-	1										
Tenn.	60	59	-	1	2	1	63	45	-	-	1										
Ala.	35	36	-	-	4	-	37	20	-	-	4										
Miss.	16	16	-	5	-	-	4	4	-	-	-										
W.S. CENTRAL	340	245	-	14	38	7	543	452	-	2	10										
Ark.	21	19	-	1	3	1	47	44	-	-	3										
La.	66	46	-	2	5	-	3	21	-	-	1										
Okla.	32	34	-	-	3	-	33	60	-	-	-										
Tex.	221	146	-	11	27	6	460	327	-	2	6										
MOUNTAIN	99	106	-	15	24	52	1,468	887	-	-	2										
Mont.	4	6	U	1	1	U	54	35	U	-	-										
Idaho	8	7	-	2	1	1	171	64	-	-	-										
Wyo.	5	2	-	2	1	-	1	4	-	-	-										
Colo.	36	35	-	3	1	8	344	488	-	-	1										
N. Mex.	11	11	-	2	1	1	145	91	-	-	-										
Ariz.	19	33	-	1	6	42	637	143	-	-	1										
Utah	8	7	-	1	7	-	76	47	-	-	-										
Nev.	8	5	-	3	6	-	40	15	-	-	-										
PACIFIC	441	486	2	90	130	2	773	1,261	-	2	13										
Wash.	66	71	-	2	10	1	171	458	-	-	7										
Oreg.	46	70	N	N	N	1	53	110	-	-	-										
Calif.	313	328	-	46	89	-	495	631	-	1	6										
Alaska	3	9	-	1	8	-	11	21	-	-	-										
Hawaii	13	8	2	41	23	-	43	41	-	1	-										
Guam	-	-	-	-	16	-	-	4	-	-	1										
P.R.	5	10	-	-	2	-	2	12	-	-	-										
V.I.	-	-	-	-	-	-	-	-	-	-	-										
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U										
C.N.M.I.	-	U	U	-	U	U	-	U	U	-	U										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting year 2001 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


