
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending March 8, 2003 (WEEK 10)*

column labels in same order that data fields appears in each record below:
Reporting Area
Escherichia coli, Enterohemorrhagic, (EHEC), 0157:H7 cummulative for 2003
Escherichia coli, Enterohemorrhagic, (EHEC), 0157:H7 cummulative for 2002
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, serogroup non-0157 cummulative for 2003
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, serogroup non-0157 cummulative for 2002
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, not serogrouped cummulative for 2003
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, not serogrouped cummulative for 2002
Giardiasis cummulative for 2003
Giardiasis cummulative for 2002
Gonorrhea cummulative for 2003
Gonorrhea cummulative for 2002

tab delimited data:
test
UNITED STATES	155	221	11	11	7	1	1,917	2,542	51,125	64,532											
NEW ENGLAND	10	14	-	1	-	-	124	293	1,192	1,549											
Maine	-	-	-	-	-	-	18	29	6	13											
N.H.	2	1	-	-	-	-	11	11	21	21											
Vt.	-	-	-	-	-	-	12	20	19	23											
Mass.	4	7	-	1	-	-	64	161	381	673											
R.I.	-	2	-	-	-	-	18	18	180	173											
Conn.	4	4	-	-	-	-	1	54	585	646											
MID. ATLANTIC	7	16	-	-	1	-	334	517	3,604	7,292											
Upstate N.Y.	4	11	-	-	1	-	112	134	1,135	1,036											
N.Y. City	-	1	-	-	-	-	166	194	345	2,364											
N.J.	3	4	-	-	-	-	31	93	1,155	1,501											
Pa.	N	N	-	-	-	-	25	96	969	2,391											
E.N. CENTRAL	38	78	1	-	3	-	361	570	11,503	13,694											
Ohio	13	13	1	-	3	-	145	162	3,972	3,941											
Ind.	4	7	-	-	-	-	-	-	1,040	1,409											
Ill.	5	23	-	-	-	-	80	169	2,646	4,254											
Mich.	8	15	-	-	-	-	120	150	2,772	2,998											
Wis.	8	20	-	-	-	-	16	89	1,073	1,092											
W.N. CENTRAL	25	32	3	3	2	-	237	243	2,806	3,459											
Minn.	10	7	3	3	-	-	70	67	356	607											
Iowa	3	7	-	-	-	-	37	46	153	195											
Mo.	4	9	N	N	N	N	61	67	1,550	1,662											
N. Dak.	1	-	-	-	1	-	7	3	2	13											
S. Dak.	2	1	-	-	-	-	8	10	22	47											
Nebr.	4	5	-	-	-	-	32	24	232	291											
Kans.	1	3	-	-	1	-	22	26	491	644											
S. ATLANTIC	24	27	3	5	-	-	402	453	14,171	15,836											
Del.	-	1	-	-	-	-	10	10	263	331											
Md.	-	-	-	-	-	-	21	19	1,489	1,601											
D.C.	-	-	-	-	-	-	-	11	513	557											
Va.	2	2	-	-	-	-	35	16	1,380	1,727											
W. Va.	-	-	-	-	-	-	4	3	158	183											
N.C.	6	6	-	-	-	-	N	N	2,582	2,768											
S.C.	-	-	-	-	-	-	4	3	1,490	1,569											
Ga.	8	17	-	4	-	-	168	115	2,921	3,021											
Fla.	8	1	3	1	-	-	160	276	3,375	4,079											
E.S. CENTRAL	9	3	-	-	-	-	50	49	5,094	5,851											
Ky.	1	-	-	-	-	-	N	N	649	665											
Tenn.	4	3	-	-	-	-	20	19	1,482	1,870											
Ala.	3	-	-	-	-	-	30	30	1,761	2,078											
Miss.	1	-	-	-	-	-	-	-	1,202	1,238											
W.S. CENTRAL	1	3	-	-	-	1	37	15	7,911	9,345											
Ark.	1	-	-	-	-	-	25	15	674	871											
La.	-	-	-	-	-	-	1	-	1,974	2,289											
Okla.	-	-	-	-	-	-	11	-	628	713											
Tex.	-	3	-	-	-	1	-	-	4,635	5,472											
MOUNTAIN	17	15	3	1	1	-	237	227	1,737	2,141											
Mont.	-	2	-	-	-	-	4	12	26	26											
Idaho	2	1	2	-	-	-	24	5	16	17											
Wyo.	-	-	-	1	-	-	3	2	11	14											
Colo.	4	2	-	-	1	-	68	79	433	755											
N. Mex.	-	2	1	-	-	-	9	24	52	271											
Ariz.	8	3	N	N	N	N	53	42	851	696											
Utah	3	3	-	-	-	-	56	34	59	14											
Nev.	-	2	-	-	-	-	20	29	289	348											
PACIFIC	24	33	1	1	-	-	135	175	3,107	5,365											
Wash.	9	5	-	-	-	-	25	38	537	594											
Oreg.	4	7	1	1	-	-	61	93	168	178											
Calif.	9	20	-	-	-	-	20	-	2,149	4,351											
Alaska	-	-	-	-	-	-	14	17	87	127											
Hawaii	2	1	-	-	-	-	15	27	166	115											
Guam	N	N	-	-	-	-	-	-	-	-											
P.R.	-	-	-	-	-	-	1	-	19	3											
V.I.	-	-	-	-	-	-	-	-	-	16											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2002 and 2003 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


