
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending April 23, 2005 (WEEK 16)*

column labels in same order that data fields appears in each record below:
Reporting Area
Escherichia coli, Enterohemorrhagic, (EHEC), 0157:H7 cummulative for 2005
Escherichia coli, Enterohemorrhagic, (EHEC), 0157:H7 cummulative for 2004
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, serogroup non-0157 cummulative for 2005
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, serogroup non-0157 cummulative for 2004
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, not serogrouped cummulative for 2005
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, not serogrouped cummulative for 2004
Giardiasis cummulative for 2005
Giardiasis cummulative for 2004
Gonorrhea cummulative for 2005
Gonorrhea cummulative for 2004

tab delimited data:
test
UNITED STATES	297	298	40	53	50	35	4,248	4,829	84,244	97,943											
NEW ENGLAND	21	17	8	15	8	3	403	422	1,470	2,191											
Maine	2	-	1	-	-	-	41	35	44	84											
N.H.	2	3	1	-	-	-	18	16	39	41											
Vt.	1	-	-	-	-	-	49	27	12	24											
Mass.	5	7	1	5	8	3	170	217	906	975											
R.I.	1	2	-	-	-	-	21	33	162	301											
Conn.	10	5	5	10	-	-	104	94	307	766											
MID. ATLANTIC	33	25	3	4	1	9	767	1,081	8,600	11,188											
Upstate N.Y.	15	8	3	1	-	3	253	290	1,941	2,167											
N.Y. City	1	6	-	-	-	-	203	357	2,199	3,512											
N.J.	9	2	-	1	-	3	106	136	1,216	2,081											
Pa.	8	9	-	2	1	3	205	298	3,244	3,428											
E.N. CENTRAL	60	71	6	11	3	4	585	746	14,301	20,934											
Ohio	23	17	1	-	2	4	176	224	4,089	6,677											
Ind.	8	14	-	-	-	-	N	N	2,202	1,947											
Ill.	6	16	1	-	-	-	92	244	4,044	6,075											
Mich.	10	10	-	2	1	-	173	167	2,619	4,890											
Wis.	13	14	4	9	-	-	144	111	1,347	1,345											
W.N. CENTRAL	40	47	6	7	7	7	551	529	5,067	5,540											
Minn.	4	20	2	3	2	-	264	168	742	1,296											
Iowa	9	6	-	-	-	-	66	67	346	381											
Mo.	14	3	2	4	2	2	118	170	2,866	2,634											
N. Dak.	1	2	-	-	-	3	1	8	15	47											
S. Dak.	2	2	-	-	-	-	25	19	107	84											
Nebr.	5	7	2	-	1	-	33	47	320	338											
Kans.	5	7	-	-	2	2	44	50	671	760											
S. ATLANTIC	58	33	8	7	24	7	752	757	21,409	23,657											
Del.	-	-	N	N	N	N	4	16	239	310											
Md.	5	4	2	-	-	2	47	28	2,043	2,508											
D.C.	-	-	-	-	-	-	13	27	614	746											
Va.	2	1	3	5	6	-	163	105	2,544	2,844											
W. Va.	-	1	-	-	-	-	8	9	212	246											
N.C.	-	-	-	-	12	4	N	N	5,330	4,576											
S.C.	1	3	-	-	-	-	26	22	2,879	2,895											
Ga.	7	11	1	1	-	-	241	228	1,973	4,360											
Fla.	43	13	2	1	6	1	250	322	5,575	5,172											
E.S. CENTRAL	15	12	-	1	4	4	106	90	6,540	7,276											
Ky.	1	4	-	1	3	2	N	N	1,183	731											
Tenn.	8	3	-	-	1	2	50	39	2,327	2,496											
Ala.	6	1	-	-	-	-	56	51	1,322	2,235											
Miss.	-	4	-	-	-	-	-	-	1,708	1,814											
W.S. CENTRAL	5	20	1	3	2	1	65	83	13,394	13,187											
Ark.	1	1	-	1	-	-	25	38	1,389	1,125											
La.	-	1	1	-	2	-	8	14	3,019	3,633											
Okla.	1	3	-	-	-	-	32	31	1,417	1,372											
Tex.	3	15	-	2	-	1	N	N	7,569	7,057											
MOUNTAIN	32	32	8	4	1	-	332	353	3,439	3,433											
Mont.	2	3	-	-	-	-	9	11	37	18											
Idaho	3	6	5	1	-	-	31	49	31	25											
Wyo.	-	-	1	-	-	-	6	3	16	18											
Colo.	10	6	1	1	-	-	117	113	880	910											
N. Mex.	-	5	1	1	-	-	12	19	141	303											
Ariz.	6	4	N	N	N	N	54	68	1,418	1,418											
Utah	4	5	-	-	-	-	82	69	204	117											
Nev.	7	3	-	1	1	-	21	21	712	624											
PACIFIC	33	41	-	1	-	-	687	768	10,024	10,537											
Wash.	6	6	-	-	-	-	53	64	1,062	837											
Oreg.	2	7	-	1	-	-	64	123	487	305											
Calif.	20	24	-	-	-	-	529	531	8,061	8,718											
Alaska	2	1	-	-	-	-	19	22	153	226											
Hawaii	3	3	-	-	-	-	22	28	261	451											
Guam	N	N	-	-	-	-	-	-	-	57											
P.R.	-	-	-	-	-	-	10	11	125	70											
V.I.	-	-	-	-	-	-	-	-	2	44											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2004 and 2005 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


