
TABLE II. (Part 9)  Provisional cases of selected notifiable diseases, United States, week ending February 26, 2005 (WEEK 08)*

column labels in same order that data fields appears in each record below:
Reporting Area
Tuberculosis cummulative for 2005
Tuberculosis cummulative for 2004
Typhoid Fever cummulative for 2005
Typhoid Fever cummulative for 2004
Varicella (Chicken Pox) cummulative for 2005
Varicella (Chicken Pox) cummulative for 2004
West Nile virus disease § Neuroinvasive cummulative for 2005
West Nile virus disease § Neuroinvasive cummulative for 2004
West Nile virus disease § Non-neuroinvasive † cummulative for 2005

tab delimited data:
test
UNITED STATES	749	1,437	20	40	2,883	2,737	-	-	-												
NEW ENGLAND	30	39	-	3	49	147	-	-	-												
Maine	-	-	-	-	45	7	-	-	-												
N.H.	1	-	-	-	-	-	-	-	-												
Vt.	-	-	-	-	3	140	-	-	-												
Mass.	24	21	-	3	1	-	-	-	-												
R.I.	-	7	-	-	-	-	-	-	-												
Conn.	5	11	-	-	-	-	-	-	-												
MID. ATLANTIC	249	232	5	10	479	8	-	-	-												
Upstate N.Y.	18	21	-	-	-	-	-	-	-												
N.Y. City	151	150	-	5	-	-	-	-	-												
N.J.	46	37	2	3	-	-	-	-	-												
Pa.	34	24	3	2	479	8	-	-	-												
E.N. CENTRAL	151	111	1	2	1,339	1,150	-	-	-												
Ohio	21	20	-	1	193	287	-	-	-												
Ind.	16	24	1	-	N	N	-	-	-												
Ill.	91	48	-	-	2	-	-	-	-												
Mich.	13	10	-	1	1,060	733	-	-	-												
Wis.	10	9	-	-	84	130	-	-	-												
W.N. CENTRAL	39	37	-	-	21	29	-	-	-												
Minn.	16	14	-	-	-	-	-	-	-												
Iowa	5	4	-	-	N	N	-	-	-												
Mo.	12	11	-	-	1	-	-	-	-												
N. Dak.	-	-	-	-	1	16	-	-	-												
S. Dak.	-	-	-	-	19	13	-	-	-												
Nebr.	1	2	-	-	-	-	-	-	-												
Kans.	5	6	-	-	-	-	-	-	N												
S. ATLANTIC	116	303	4	7	262	258	-	-	-												
Del.	-	3	-	-	1	-	-	-	-												
Md.	18	17	1	2	-	-	-	-	-												
D.C.	12	4	-	-	-	4	-	-	-												
Va.	-	13	-	1	27	20	-	-	-												
W. Va.	6	4	-	-	221	213	-	-	N												
N.C.	16	14	1	2	-	N	-	-	-												
S.C.	20	15	-	-	13	21	-	-	-												
Ga.	2	107	1	-	-	-	-	-	-												
Fla.	42	126	1	2	-	-	-	-	-												
E.S. CENTRAL	54	63	1	-	-	-	-	-	-												
Ky.	18	5	1	-	N	N	-	-	-												
Tenn.	36	22	-	-	-	-	-	-	-												
Ala.	-	25	-	-	-	-	-	-	-												
Miss.	-	11	-	-	-	-	-	-	-												
W.S. CENTRAL	26	286	-	5	169	743	-	-	-												
Ark.	11	12	-	-	-	-	-	-	-												
La.	-	-	-	-	4	19	-	-	-												
Okla.	15	17	-	-	-	-	-	-	-												
Tex.	-	257	-	5	165	724	-	-	-												
MOUNTAIN	13	40	1	3	564	402	-	-	-												
Mont.	-	-	-	-	-	-	-	-	-												
Idaho	-	-	-	-	-	-	-	-	-												
Wyo.	-	-	-	-	18	11	-	-	-												
Colo.	-	10	-	-	399	260	-	-	-												
N. Mex.	-	4	-	-	30	14	-	-	-												
Ariz.	11	16	1	1	-	-	-	-	-												
Utah	2	9	-	1	117	117	-	-	-												
Nev.	-	1	-	1	-	-	-	-	-												
PACIFIC	71	326	8	10	-	-	-	-	-												
Wash.	30	37	-	1	N	N	-	-	-												
Oreg.	12	10	1	-	-	-	-	-	-												
Calif.	9	257	4	7	-	-	-	-	-												
Alaska	2	3	-	-	-	-	-	-	-												
Hawaii	18	19	3	2	-	-	-	-	-												
Guam	-	12	-	-	-	15	-	-	-												
P.R.	-	5	-	-	20	52	-	-	-												
V.I.	-	-	-	-	-	-	-	-	-												
Amer. Samoa	U	U	U	U	U	U	U	U	-												
C.N.M.I.	-	U	-	U	-	U	-	U	-												

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2004 and 2005 are provisional and cumulative (year-to-date).

§ Updated weekly from reports to the Division of Vector-Borne Infectious Diseases, National Center for Infectious Diseases 
(ArboNet Surveillance).

† Not previously notifiable.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


