
TABLE II. (Part 4)  Provisional cases of selected notifiable diseases, United States, week ending January 21, 2006 (WEEK 03)*

column labels in same order that data fields appears in each record below:
Reporting Area
Lyme disease current week
Lyme disease previous 52 weeks median 
Lyme disease previous 52 weeks maximum 
Lyme disease cummulative for 2006
Lyme disease cummulative for 2005
Malaria current week
Malaria previous 52 weeks median 
Malaria previous 52 weeks maximum 
Malaria cummulative for 2006
Malaria cummulative for 2005

tab delimited data:
test
UNITED STATES	22	291	1,316	74	457	18	23	45	32	61											
NEW ENGLAND	1	43	209	1	38	-	1	12	2	1											
Conn.	-	9	154	-	-	-	0	10	-	-											
Maine	-	2	25	-	2	-	0	1	-	-											
Mass.	-	12	141	-	36	-	1	4	2	1											
N.H.	1	4	17	1	-	-	0	1	-	-											
R.I.	-	0	12	-	-	-	0	1	-	-											
Vt.	-	0	5	-	-	-	0	2	-	-											
MID. ATLANTIC	8	179	919	34	326	1	6	14	3	19											
N.J.	-	39	307	-	105	-	1	6	-	4											
N.Y. (Upstate)	4	48	559	9	64	-	1	4	-	2											
N.Y. City	-	0	0	-	-	-	3	8	1	11											
Pa.	4	56	452	25	157	1	1	2	2	2											
E.N. CENTRAL	-	12	155	-	18	1	2	6	3	7											
Ill.	-	0	6	-	-	-	1	2	1	4											
Ind.	-	0	4	-	-	-	0	1	-	-											
Mich.	-	0	7	-	1	-	0	2	-	2											
Ohio	-	1	5	-	5	1	0	3	1	1											
Wis.	-	10	146	-	12	-	0	2	1	-											
W.N. CENTRAL	1	13	99	1	2	2	1	5	4	3											
Iowa	-	1	8	-	2	-	0	1	-	1											
Kans.	1	0	3	1	-	-	0	1	-	-											
Minn.	-	9	96	-	-	2	0	3	2	-											
Mo.	-	0	2	-	-	-	0	3	1	2											
Nebr.	-	0	1	-	-	-	0	2	-	-											
N. Dak.	-	0	0	-	-	-	0	0	-	-											
S. Dak.	-	0	1	-	-	-	0	1	1	-											
S. ATLANTIC	11	31	125	32	69	5	6	15	9	9											
Del.	-	9	37	4	28	-	0	1	-	-											
D.C.	-	0	2	-	-	-	0	2	-	-											
Fla.	1	1	8	1	3	1	1	6	3	1											
Ga.	-	0	1	-	-	-	0	5	1	5											
Md.	8	16	86	23	33	1	1	9	2	3											
N.C.	2	0	5	4	4	3	0	8	3	-											
S.C.	-	0	3	-	1	-	0	2	-	-											
Va.	-	3	20	-	-	-	0	4	-	-											
W. Va.	-	0	6	-	-	-	0	2	-	-											
E.S. CENTRAL	-	1	4	-	1	-	0	2	-	1											
Ala.	-	0	1	-	-	-	0	1	-	1											
Ky.	-	0	1	-	-	-	0	2	-	-											
Miss.	-	0	0	-	-	-	0	0	-	-											
Tenn.	-	0	4	-	1	-	0	2	-	-											
W.S. CENTRAL	-	1	8	-	-	-	1	9	1	3											
Ark.	-	0	2	-	-	-	0	2	-	-											
La.	-	0	2	-	-	-	0	1	-	-											
Okla.	-	0	0	-	-	-	0	6	-	-											
Tex.	-	0	7	-	-	-	1	9	1	3											
MOUNTAIN	-	0	4	-	-	-	0	6	-	5											
Ariz.	-	0	4	-	-	-	0	4	-	2											
Colo.	-	0	1	-	-	-	0	3	-	1											
Idaho	-	0	1	-	-	-	0	0	-	-											
Mont.	-	0	0	-	-	-	0	0	-	-											
Nev.	-	0	1	-	-	-	0	1	-	-											
N. Mex.	-	0	1	-	-	-	0	1	-	-											
Utah	-	0	1	-	-	-	0	2	-	1											
Wyo.	-	0	1	-	-	-	0	1	-	1											
PACIFIC	1	2	10	6	3	9	4	12	10	13											
Alaska	-	0	1	-	-	1	0	1	1	-											
Calif.	1	2	10	6	2	8	2	9	9	12											
Hawaii	N	0	0	N	N	-	0	4	-	-											
Oreg.	-	0	2	-	1	-	0	2	-	1											
Wash.	-	0	3	-	-	-	0	4	-	-											
Amer. Samoa	U	0	0	U	U	U	0	0	U	U											
C.N.M.I.	U	0	0	U	U	U	0	0	U	U											
Guam	-	0	0	-	-	-	0	0	-	-											
P.R.	N	0	0	N	N	-	0	1	-	-											
V.I.	-	0	0	-	-	-	0	0	-	-											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2005 and 2006 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


