
TABLE II. (Part 4)  Provisional cases of selected notifiable diseases, United States, week ending January 15, 2000 (WEEK 02)*

column labels in same order that data fields appears in each record below:
Reporting Area
Shigellosis NETSS cummulative for 2000
Shigellosis NETSS cummulative for 1999
Shigellosis PHLIS cummulative for 2000
Shigellosis PHLIS cummulative for 1999
Syphilis (Primary and Secondary) cummulative for 2000
Syphilis (Primary and Secondary) cummulative for 1999
Tuberculosis cummulative for 2000
Tuberculosis cummulative for 1999

tab delimited data:
test
UNITED STATES	150	408	15	321	93	252	48	342													
NEW ENGLAND	7	4	1	8	1	3	-	7													
Maine	-	-	-	-	-	-	-	-													
N.H.	-	-	-	2	-	-	-	-													
Vt.	-	-	-	-	-	-	-	-													
Mass.	7	4	-	5	1	2	-	1													
R.I.	-	-	-	-	-	-	-	3													
Conn.	-	-	1	1	-	1	-	3													
MID. ATLANTIC	1	36	-	33	-	9	8	3													
Upstate N.Y.	1	2	-	9	-	-	-	-													
N.Y. City	-	8	-	16	-	5	3	3													
N.J.	-	19	-	8	-	2	-	-													
Pa.	-	7	-	-	-	2	5	-													
E.N. CENTRAL	49	135	-	49	24	27	-	24													
Ohio	7	58	-	6	3	5	-	10													
Ind.	2	-	-	-	13	4	-	3													
Ill.	-	42	-	38	6	15	-	11													
Mich.	40	17	-	-	-	-	-	-													
Wis.	-	18	-	5	2	3	-	-													
W.N. CENTRAL	17	30	2	30	-	12	1	2													
Minn.	4	2	-	7	-	-	1	2													
Iowa	6	-	-	-	-	-	-	-													
Mo.	7	20	2	20	-	11	-	-													
N. Dak.	-	-	-	-	-	-	-	-													
S. Dak.	-	-	-	-	-	-	-	-													
Nebr.	-	5	-	2	-	1	-	-													
Kans.	-	3	-	1	-	-	-	-													
S. ATLANTIC	4	27	-	15	53	103	16	14													
Del.	-	2	-	-	-	-	-	2													
Md.	1	4	-	-	6	11	-	2													
D.C.	-	1	U	U	19	6	-	-													
Va.	-	-	-	-	9	4	-	-													
W. Va.	-	-	-	-	-	1	-	2													
N.C.	2	7	-	5	15	30	-	-													
S.C.	1	4	-	2	4	9	16	7													
Ga.	-	-	-	-	-	30	-	-													
Fla.	-	9	-	8	-	12	-	1													
E.S. CENTRAL	6	34	1	40	6	48	6	12													
Ky.	-	5	U	U	-	4	-	3													
Tenn.	-	18	1	35	-	16	-	-													
Ala.	2	3	-	5	6	23	6	9													
Miss.	4	8	-	-	-	5	-	-													
W.S. CENTRAL	-	24	3	112	8	35	-	74													
Ark.	-	4	-	3	-	1	-	-													
La.	-	-	1	9	-	9	-	U													
Okla.	-	8	1	-	5	6	-	2													
Tex.	-	12	1	100	3	19	-	72													
MOUNTAIN	19	14	4	22	-	5	3	5													
Mont.	-	-	-	-	-	-	-	-													
Idaho	2	2	-	-	-	-	-	-													
Wyo.	-	-	-	-	-	-	-	-													
Colo.	-	5	-	7	-	-	-	U													
N. Mex.	2	2	-	2	-	-	3	1													
Ariz.	14	2	2	9	-	5	-	1													
Utah	1	2	2	3	-	-	-	2													
Nev.	-	1	-	1	-	-	-	1													
PACIFIC	47	104	4	12	1	10	14	201													
Wash.	-	-	2	7	-	-	8	1													
Oreg.	-	2	2	1	-	1	-	3													
Calif.	46	98	-	-	1	9	6	186													
Alaska	1	-	-	-	-	-	-	2													
Hawaii	-	4	-	4	-	-	-	9													
Guam	-	1	U	U	-	-	-	-													
P.R.	-	-	U	U	8	4	-	-													
V.I.	-	U	U	U	-	U	-	U													
Amer. Samoa	-	U	U	U	-	U	-	U													
C.N.M.I.	-	U	U	U	-	U	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1999 and 2000 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


