
TABLE III. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending September 26, 1998 (WEEK 38)*

column labels in same order that data fields appears in each record below:
Reporting Area
H. influenzae, Invasive cummulative for 1998
H. influenzae, Invasive cummulative for 1997
Hepatitis (Viral), Type A cummulative for 1998
Hepatitis (Viral), Type A cummulative for 1997
Hepatitis (Viral), Type B cummulative for 1998
Hepatitis (Viral), Type B cummulative for 1997
Measles (Rubeola), Indigenous current week 
Measles (Rubeola), Indigenous cummulative for 1998
Measles (Rubeola), Imported current week 
Measles (Rubeola), Imported cummulative for 1998
Measles (Rubeola), Total cummulative for 1998
Measles (Rubeola), Total cummulative for 1997

tab delimited data:
test
UNITED STATES	788	821	15,856	20,502	5,931	6,900	6	37	-	20	57	116									
NEW ENGLAND	53	47	197	494	132	129	-	1	-	2	3	19									
Maine	2	5	16	47	2	6	-	-	-	-	-	1									
N.H.	7	6	8	22	14	10	-	-	-	-	-	1									
Vt.	5	3	14	10	4	7	-	-	-	1	1	-									
Mass.	33	29	73	202	35	54	-	1	-	1	2	16									
R.I.	5	2	14	111	59	12	-	-	-	-	-	-									
Conn.	1	2	72	102	18	40	-	-	-	-	-	1									
MID. ATLANTIC	116	125	1,063	1,564	823	1,005	-	8	-	5	13	23									
Upstate N.Y.	46	40	265	250	220	216	-	1	-	1	2	5									
N.Y. City	26	32	248	697	204	360	-	-	-	-	-	7									
N.J.	39	37	255	225	161	189	-	7	-	1	8	3									
Pa.	5	16	295	392	238	240	U	-	U	3	3	8									
E.N. CENTRAL	132	135	2,414	2,118	630	1,088	-	11	-	3	14	10									
Ohio	43	74	247	244	57	60	-	-	-	1	1	-									
Ind.	35	13	118	222	74	77	U	2	U	1	3	-									
Ill.	45	33	419	564	126	206	-	-	-	-	-	7									
Mich.	5	15	1,494	936	347	322	-	9	-	1	10	2									
Wis.	4	-	136	152	26	423	-	-	-	-	-	1									
W.N. CENTRAL	74	39	1,055	1,613	297	350	-	-	-	-	-	17									
Minn.	58	27	95	133	34	27	-	-	-	-	-	8									
Iowa	2	5	376	337	50	28	-	-	-	-	-	-									
Mo.	8	4	449	826	177	254	-	-	-	-	-	1									
N. Dak.	-	-	3	10	4	5	-	-	-	-	-	-									
S. Dak.	-	2	21	18	2	1	-	-	-	-	-	8									
Nebr.	-	1	29	75	9	12	U	-	U	-	-	-									
Kans.	6	-	82	214	21	23	U	-	U	-	-	-									
S. ATLANTIC	161	126	1,404	1,254	860	897	-	3	-	5	8	11									
Del.	-	-	3	23	1	5	-	-	-	1	1	-									
Md.	43	46	238	146	118	126	-	-	-	1	1	2									
D.C.	-	-	45	17	10	25	-	-	-	-	-	1									
Va.	15	12	163	167	79	91	-	-	-	2	2	1									
W. Va.	4	3	4	10	5	14	-	-	-	-	-	-									
N.C.	23	19	90	150	169	180	-	-	-	-	-	2									
S.C.	3	4	29	83	29	81	-	-	-	-	-	1									
Ga.	35	24	433	274	129	104	-	1	-	1	2	1									
Fla.	38	18	399	384	320	271	-	2	-	-	2	3									
E.S. CENTRAL	42	41	295	470	291	518	-	-	-	2	2	1									
Ky.	7	6	18	61	32	29	-	-	-	-	-	-									
Tenn.	23	24	178	290	205	333	-	-	-	1	1	-									
Ala.	10	9	56	67	53	55	-	-	-	1	1	1									
Miss.	2	2	43	52	1	101	-	-	-	-	-	-									
W.S. CENTRAL	45	38	3,135	4,216	1,015	936	-	1	-	-	1	7									
Ark.	-	2	77	179	69	63	U	-	U	-	-	-									
La.	22	10	64	164	75	111	U	1	U	-	1	-									
Okla.	21	24	440	1,158	70	38	-	-	-	-	-	-									
Tex.	2	2	2,554	2,715	801	724	-	-	-	-	-	7									
MOUNTAIN	76	70	2,275	3,211	609	651	-	-	-	-	-	8									
Mont.	-	-	79	58	5	7	-	-	-	-	-	-									
Idaho	-	1	206	105	27	28	-	-	-	-	-	-									
Wyo.	1	3	32	26	4	22	U	-	U	-	-	-									
Colo.	17	13	235	314	86	117	-	-	-	-	-	-									
N. Mex.	6	7	109	264	258	193	-	-	-	-	-	-									
Ariz.	41	28	1,371	1,640	138	149	U	-	U	-	-	5									
Utah	4	3	157	469	57	73	-	-	-	-	-	1									
Nev.	7	15	86	335	34	62	-	-	-	-	-	2									
PACIFIC	89	200	4,018	5,562	1,274	1,326	6	13	-	3	16	20									
Wash.	7	4	775	423	77	57	-	-	-	1	1	2									
Oreg.	34	29	279	274	81	83	-	-	-	-	-	-									
Calif.	40	156	2,913	4,722	1,101	1,167	-	5	-	2	7	14									
Alaska	1	4	16	25	9	11	6	8	-	-	8	-									
Hawaii	7	7	35	118	6	8	-	-	-	-	-	4									
Guam	-	-	-	-	2	3	U	-	U	-	-	-									
P.R.	2	-	49	225	319	563	U	-	U	-	-	-									
V.I.	U	U	U	U	U	U	U	U	U	U	U	U									
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U	U									
C.N.M.I.	-	6	3	1	53	34	U	-	U	-	-	1									

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1997 and 1998 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


