
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending May 15, 2004 (WEEK 19)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 2004
AIDS § cummulative for 2003
Chlamydia† cummulative for 2004
Chlamydia† cummulative for 2003
Coccidioidomycosis cummulative for 2004
Coccidioidomycosis cummulative for 2003
Cryptosporidiosis cummulative for 2004
Cryptosporidiosis cummulative for 2003
Encephalitis/Meningitis West Nile cummulative for 2004
Encephalitis/Meningitis West Nile cummulative for 2003

tab delimited data:
test
UNITED STATES	8,989	15,309	294,394	312,148	1,642	1,216	819	684	4	-											
NEW ENGLAND	312	499	10,105	10,027	-	-	46	45	-	-											
Maine	5	23	652	707	N	N	9	2	-	-											
N.H.	11	12	562	571	-	-	12	7	-	-											
Vt.	8	6	357	377	-	-	6	7	-	-											
Mass.	84	226	5,038	3,762	-	-	13	22	-	-											
R.I.	32	38	1,238	1,185	-	-	1	5	-	-											
Conn.	172	194	2,258	3,425	N	N	5	2	-	-											
MID. ATLANTIC	1,286	3,333	39,919	37,976	-	-	130	104	-	-											
Upstate N.Y.	134	182	7,881	6,782	N	N	30	24	-	-											
N.Y. City	380	1,627	11,312	12,900	-	-	29	38	-	-											
N.J.	387	595	4,730	5,388	-	-	7	3	-	-											
Pa.	385	929	15,996	12,906	N	N	64	39	-	-											
E.N. CENTRAL	809	1,390	49,454	57,257	5	2	189	163	-	-											
Ohio	231	228	11,488	15,820	-	-	52	21	-	-											
Ind.	118	224	6,131	6,136	N	N	30	14	-	-											
Ill.	279	595	12,846	17,906	-	-	13	28	-	-											
Mich.	132	277	14,614	11,114	5	2	48	29	-	-											
Wis.	49	66	4,375	6,281	-	-	46	71	-	-											
W.N. CENTRAL	228	288	17,112	17,893	4	1	93	63	1	-											
Minn.	48	56	3,194	3,965	N	N	40	32	-	-											
Iowa	11	34	1,087	1,851	N	N	14	10	-	-											
Mo.	107	139	6,938	6,488	3	1	16	6	1	-											
N. Dak.	10	-	369	506	N	N	-	2	-	-											
S. Dak.	-	6	944	872	-	-	10	10	-	-											
Nebr.	6	22	1,873	1,667	1	-	3	2	-	-											
Kans.	46	31	2,707	2,544	N	N	10	1	-	-											
S. ATLANTIC	3,515	4,482	54,557	57,444	-	1	173	93	2	-											
Del.	42	80	1,091	2,278	N	N	-	1	-	-											
Md.	343	411	7,072	5,949	-	1	9	8	-	-											
D.C.	149	476	1,285	1,240	-	-	2	-	-	-											
Va.	141	421	8,277	6,586	-	-	22	11	-	-											
W. Va.	30	32	1,019	933	N	N	2	-	-	-											
N.C.	243	504	9,815	8,167	N	N	31	10	-	-											
S.C.	205	311	6,465	4,600	-	-	7	2	2	-											
Ga.	509	609	4,971	12,533	-	-	55	33	-	-											
Fla.	1,853	1,638	14,562	15,158	N	N	45	28	-	-											
E.S. CENTRAL	448	621	19,147	20,249	N	N	35	41	-	-											
Ky.	42	67	2,033	3,049	N	N	9	9	-	-											
Tenn.	189	269	8,114	6,981	N	N	12	12	-	-											
Ala.	127	144	4,138	5,477	-	-	9	17	-	-											
Miss.	90	141	4,862	4,742	N	N	5	3	-	-											
W.S. CENTRAL	1,309	1,634	37,928	38,863	1	-	23	15	1	-											
Ark.	43	47	2,950	2,571	1	-	8	2	-	-											
La.	281	192	9,373	6,883	N	N	-	1	1	-											
Okla.	37	74	3,689	3,802	N	N	7	3	-	-											
Tex.	948	1,321	21,916	25,607	-	-	8	9	-	-											
MOUNTAIN	259	586	15,041	18,913	1,017	843	39	31	-	-											
Mont.	-	8	575	850	N	N	4	6	-	-											
Idaho	2	10	1,145	938	N	N	4	6	-	-											
Wyo.	2	4	412	380	-	-	2	1	-	-											
Colo.	48	127	2,687	4,768	N	N	20	6	-	-											
N. Mex.	20	42	2,298	2,738	9	1	1	1	-	-											
Ariz.	109	274	5,388	5,760	975	826	6	2	-	-											
Utah	19	29	845	1,252	12	2	1	7	-	-											
Nev.	59	92	1,691	2,227	21	14	1	2	-	-											
PACIFIC	823	2,476	51,131	53,526	613	368	91	129	-	-											
Wash.	127	178	6,345	5,688	N	N	9	12	-	-											
Oreg.	53	108	2,069	2,788	-	-	11	15	-	-											
Calif.	604	2,148	40,790	41,714	613	368	70	102	-	-											
Alaska	8	9	1,349	1,356	-	-	-	-	-	-											
Hawaii	31	33	578	1,980	-	-	1	-	-	-											
Guam	1	1	-	-	-	-	-	-	-	-											
P.R.	143	437	594	787	N	N	N	N	-	-											
V.I.	2	13	20	122	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	2	U	32	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2003 and 2004 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


