
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending September 18, 2004 (WEEK 37)*

column labels in same order that data fields appears in each record below:
Reporting Area
Syphilis (Primary and Secondary) cummulative for 2004
Syphilis (Primary and Secondary) cummulative for 2003
Syphilis (Congenital) cummulative for 2004
Syphilis (Congenital) cummulative for 2003
Tuberculosis cummulative for 2004
Tuberculosis cummulative for 2003
Typhoid Fever cummulative for 2004
Typhoid Fever cummulative for 2003
Varicella (Chicken Pox) cummulative for 2004
Varicella (Chicken Pox) cummulative for 2003

tab delimited data:
test
UNITED STATES	5,174	4,951	242	318	7,246	8,712	194	265	13,193	11,245											
NEW ENGLAND	138	149	4	-	263	291	18	23	591	2,265											
Maine	2	6	-	-	-	18	-	-	180	642											
N.H.	3	15	3	-	9	11	-	2	-	-											
Vt.	-	-	-	-	-	7	-	-	411	504											
Mass.	89	96	-	-	169	147	13	13	-	124											
R.I.	18	15	-	-	23	39	1	2	-	3											
Conn.	26	17	1	-	62	69	4	6	-	992											
MID. ATLANTIC	694	593	34	49	1,490	1,545	41	58	70	25											
Upstate N.Y.	71	31	1	8	186	195	6	10	-	-											
N.Y. City	417	329	11	27	764	804	12	28	-	-											
N.J.	114	118	21	14	299	302	12	16	-	-											
Pa.	92	115	1	-	241	244	11	4	70	25											
E.N. CENTRAL	581	670	43	52	834	807	15	29	4,067	3,884											
Ohio	159	154	1	3	141	143	5	2	1,045	946											
Ind.	42	34	8	10	89	94	-	4	-	-											
Ill.	226	278	10	18	367	377	-	15	-	-											
Mich.	133	189	24	21	176	148	8	8	2,630	2,321											
Wis.	21	15	-	-	61	45	2	-	392	617											
W.N. CENTRAL	116	111	3	4	308	326	8	6	123	42											
Minn.	15	34	1	-	118	134	4	2	-	-											
Iowa	5	8	-	-	23	21	-	2	N	N											
Mo.	71	40	1	4	74	78	2	1	5	-											
N. Dak.	-	2	-	-	3	-	-	-	75	42											
S. Dak.	-	1	-	-	8	16	-	-	43	-											
Nebr.	5	5	-	-	25	15	2	1	-	-											
Kans.	20	21	1	-	57	62	-	-	-	-											
S. ATLANTIC	1,346	1,309	35	64	1,426	1,663	33	37	1,728	1,615											
Del.	6	4	1	-	-	-	-	-	4	21											
Md.	262	222	5	10	183	159	10	8	-	-											
D.C.	58	37	1	-	63	-	1	-	20	22											
Va.	70	63	2	1	162	180	3	12	466	441											
W. Va.	2	2	-	-	14	12	-	-	993	944											
N.C.	135	115	8	16	202	217	5	6	N	N											
S.C.	90	78	6	6	131	110	-	-	245	187											
Ga.	213	349	1	13	11	374	6	5	-	-											
Fla.	510	439	11	18	660	611	8	6	-	-											
E.S. CENTRAL	287	228	16	11	397	468	6	5	-	-											
Ky.	30	29	1	1	76	83	2	-	-	-											
Tenn.	93	94	7	2	144	163	4	2	-	-											
Ala.	126	83	6	6	144	147	-	3	-	-											
Miss.	38	22	2	2	33	75	-	-	-	-											
W.S. CENTRAL	836	638	39	57	643	1,338	12	26	4,865	3,012											
Ark.	32	39	-	2	83	66	-	-	-	-											
La.	191	97	-	1	-	-	-	-	45	10											
Okla.	19	44	2	1	108	106	1	-	-	-											
Tex.	594	458	37	53	452	1,166	11	26	4,820	3,002											
MOUNTAIN	261	223	43	28	331	313	5	4	1,749	402											
Mont.	-	-	-	-	4	5	-	-	-	-											
Idaho	15	4	2	2	4	5	-	-	-	-											
Wyo.	1	-	-	-	2	3	-	-	26	39											
Colo.	25	26	-	3	67	67	1	3	1,334	-											
N. Mex.	46	40	1	5	16	35	-	-	68	1											
Ariz.	145	138	40	18	156	148	2	1	-	-											
Utah	4	5	-	-	29	28	1	-	321	362											
Nev.	25	10	-	-	53	22	1	-	-	-											
PACIFIC	915	1,030	25	53	1,554	1,961	56	77	-	-											
Wash.	92	55	-	-	157	180	4	3	-	-											
Oreg.	20	30	-	-	58	79	2	3	-	-											
Calif.	799	938	25	52	1,235	1,578	44	70	-	-											
Alaska	-	1	-	-	28	45	-	-	-	-											
Hawaii	4	6	-	1	76	79	6	1	-	-											
Guam	-	1	-	-	-	38	-	-	-	94											
P.R.	93	142	5	13	60	75	-	-	207	418											
V.I.	4	1	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	2	U	-	U	10	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2003 and 2004 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


