
TABLE II. (Part 5)  Provisional cases of selected notifiable diseases, United States, week ending February 26, 2005 (WEEK 08)*

column labels in same order that data fields appears in each record below:
Reporting Area
Legionellosis cummulative for 2005
Legionellosis cummulative for 2004
Listeriosis cummulative for 2005
Listeriosis cummulative for 2004
Lyme Disease cummulative for 2005
Lyme Disease cummulative for 2004
Malaria cummulative for 2005
Malaria cummulative for 2004

tab delimited data:
test
UNITED STATES	156	191	60	61	582	1,171	146	187													
NEW ENGLAND	3	4	2	1	13	69	2	15													
Maine	-	-	-	-	1	1	-	-													
N.H.	-	-	1	-	7	-	-	-													
Vt.	-	-	-	-	-	1	-	-													
Mass.	3	3	-	-	5	60	2	11													
R.I.	-	-	-	-	-	-	-	1													
Conn.	-	1	1	1	-	7	-	3													
MID. ATLANTIC	50	41	9	16	433	950	32	39													
Upstate N.Y.	13	5	-	2	37	207	5	3													
N.Y. City	-	-	1	2	-	-	11	20													
N.J.	9	17	3	7	192	252	11	9													
Pa.	28	19	5	5	204	491	5	7													
E.N. CENTRAL	30	56	10	8	22	27	10	14													
Ohio	17	27	4	3	20	5	2	3													
Ind.	7	7	-	2	1	-	-	1													
Ill.	-	11	-	-	-	-	1	2													
Mich.	5	9	2	2	1	-	6	4													
Wis.	1	2	4	1	U	22	1	4													
W.N. CENTRAL	6	4	6	1	1	10	7	11													
Minn.	-	-	1	-	-	3	1	5													
Iowa	-	-	2	-	1	2	2	1													
Mo.	5	3	2	1	-	5	3	3													
N. Dak.	1	-	1	-	-	-	-	-													
S. Dak.	-	1	-	-	-	-	-	-													
Nebr.	-	-	-	-	-	-	-	-													
Kans.	-	-	-	-	-	-	1	2													
S. ATLANTIC	40	37	18	11	101	90	37	58													
Del.	-	1	N	N	15	8	-	-													
Md.	12	6	3	2	57	60	11	18													
D.C.	-	2	-	-	1	1	-	3													
Va.	3	3	1	-	2	-	4	4													
W. Va.	1	-	-	1	-	-	1	-													
N.C.	6	6	5	4	11	12	5	1													
S.C.	-	1	-	-	2	1	-	2													
Ga.	5	2	2	1	-	2	11	8													
Fla.	13	16	7	3	13	6	5	22													
E.S. CENTRAL	-	8	3	3	3	-	6	6													
Ky.	-	2	-	1	-	-	1	1													
Tenn.	-	3	1	2	3	-	4	-													
Ala.	-	3	2	-	-	-	1	4													
Miss.	-	-	-	-	-	-	-	1													
W.S. CENTRAL	-	16	1	4	1	9	11	19													
Ark.	-	-	-	-	-	-	1	1													
La.	-	1	1	-	-	-	-	2													
Okla.	-	1	-	-	-	-	-	1													
Tex.	-	14	-	4	1	9	10	15													
MOUNTAIN	11	11	-	4	-	3	10	5													
Mont.	-	-	-	-	-	-	-	-													
Idaho	-	1	-	-	-	-	-	-													
Wyo.	2	2	-	-	-	1	1	-													
Colo.	1	1	-	1	-	-	5	2													
N. Mex.	1	-	-	-	-	-	-	1													
Ariz.	3	2	-	-	-	1	2	-													
Utah	2	4	-	-	-	1	2	1													
Nev.	2	1	-	3	-	-	-	1													
PACIFIC	16	14	11	13	8	13	31	20													
Wash.	1	2	2	2	-	-	-	1													
Oreg.	N	N	-	4	-	6	1	1													
Calif.	15	12	9	7	7	7	29	18													
Alaska	-	-	-	-	1	-	1	-													
Hawaii	-	-	-	-	N	N	-	-													
Guam	-	-	-	-	-	-	-	-													
P.R.	-	-	-	-	N	N	-	-													
V.I.	-	-	-	-	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	-	U	-	U	-	U	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2004 and 2005 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


