
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending January 23, 1999 (WEEK 03)*

column labels in same order that data fields appears in each record below:
Reporting Area
Meningococcal Disease cummulative for 1999
Meningococcal Disease cummulative for 1998
Mumps current week
Mumps cummulative for 1999
Mumps cummulative for 1998
Pertussis current week
Pertussis cummulative for 1999
Pertussis cummulative for 1998
Rubella current week
Rubella cummulative for 1999
Rubella cummulative for 1998

tab delimited data:
test
UNITED STATES	73	194	2	6	19	17	95	205	3	4	4										
NEW ENGLAND	7	11	-	-	-	3	45	45	-	-	-										
Maine	2	1	-	-	-	-	-	1	-	-	-										
N.H.	-	1	-	-	-	-	-	5	-	-	-										
Vt.	1	-	-	-	-	1	6	11	-	-	-										
Mass.	4	5	-	-	-	2	39	28	-	-	-										
R.I.	-	-	-	-	-	-	-	-	-	-	-										
Conn.	-	4	-	-	-	-	-	-	-	-	-										
MID. ATLANTIC	7	18	-	-	1	1	3	6	-	-	2										
Upstate N.Y.	1	2	-	-	1	1	3	4	-	-	1										
N.Y. City	-	4	-	-	-	-	-	-	-	-	-										
N.J.	5	8	-	-	-	-	-	2	-	-	1										
Pa.	1	4	-	-	-	-	-	-	-	-	-										
E.N. CENTRAL	11	26	-	-	1	4	4	28	-	-	-										
Ohio	9	13	-	-	1	4	4	12	-	-	-										
Ind.	-	3	-	-	-	-	-	-	-	-	-										
Ill.	2	8	-	-	-	-	-	-	-	-	-										
Mich.	-	1	U	-	-	U	-	5	U	-	-										
Wis.	-	1	-	-	-	-	-	11	-	-	-										
W.N. CENTRAL	1	13	-	1	-	-	-	7	-	-	-										
Minn.	-	-	-	-	-	-	-	-	-	-	-										
Iowa	-	1	-	1	-	-	-	3	-	-	-										
Mo.	-	6	-	-	-	-	-	-	-	-	-										
N. Dak.	-	-	-	-	-	-	-	-	-	-	-										
S. Dak.	-	1	-	-	-	-	-	-	-	-	-										
Nebr.	-	-	-	-	-	-	-	2	-	-	-										
Kans.	1	5	-	-	-	-	-	2	-	-	-										
S. ATLANTIC	16	30	1	2	5	3	11	26	3	3	1										
Del.	-	-	-	-	-	-	-	-	-	-	-										
Md.	6	7	-	-	-	-	4	5	-	-	-										
D.C.	-	-	-	-	-	-	-	-	-	-	-										
Va.	-	3	-	-	-	-	-	-	-	-	-										
W. Va.	-	2	-	-	-	-	-	-	-	-	-										
N.C.	2	3	1	1	3	3	7	21	3	3	1										
S.C.	1	4	-	-	2	-	-	-	-	-	-										
Ga.	-	11	-	-	-	-	-	-	-	-	-										
Fla.	7	-	-	1	-	-	-	-	-	-	-										
E.S. CENTRAL	5	21	-	-	-	1	4	4	-	1	-										
Ky.	-	6	U	-	-	U	-	-	U	-	-										
Tenn.	1	5	-	-	-	1	1	-	-	-	-										
Ala.	4	9	-	-	-	-	3	4	-	-	-										
Miss.	-	1	-	-	-	-	-	-	-	1	-										
W.S. CENTRAL	-	8	-	-	3	-	-	-	-	-	1										
Ark.	-	2	-	-	-	-	-	-	-	-	-										
La.	-	-	-	-	-	-	-	-	-	-	-										
Okla.	-	6	-	-	-	-	-	-	-	-	-										
Tex.	-	-	-	-	3	-	-	-	-	-	1										
MOUNTAIN	9	17	-	-	2	3	26	63	-	-	-										
Mont.	-	1	-	-	-	-	-	-	-	-	-										
Idaho	1	-	-	-	-	1	14	25	-	-	-										
Wyo.	-	1	U	-	-	U	-	-	U	-	-										
Colo.	2	7	-	-	-	1	1	10	-	-	-										
N. Mex.	1	2	N	N	N	1	3	25	-	-	-										
Ariz.	3	4	-	-	1	-	1	-	-	-	-										
Utah	2	1	-	-	-	-	7	2	-	-	-										
Nev.	-	1	U	-	1	U	-	1	U	-	-										
PACIFIC	17	50	1	3	7	2	2	26	-	-	-										
Wash.	2	4	-	-	-	2	2	-	-	-	-										
Oreg.	-	16	N	N	N	U	-	5	U	-	-										
Calif.	13	30	1	2	2	-	-	21	-	-	-										
Alaska	2	-	-	-	2	-	-	-	-	-	-										
Hawaii	-	-	-	1	3	-	-	-	-	-	-										
Guam	-	-	U	-	-	U	-	-	U	-	-										
P.R.	-	-	-	-	-	-	-	-	-	-	-										
V.I.	U	U	U	U	U	U	U	U	U	U	U										
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U										
C.N.M.I.	-	-	U	-	-	U	-	-	U	-	-										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1998 and 1999 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


