
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending February 5, 2005 (WEEK 05)*

column labels in same order that data fields appears in each record below:
Reporting Area
Escherichia coli, Enterohemorrhagic, (EHEC), 0157:H7 cummulative for 2005
Escherichia coli, Enterohemorrhagic, (EHEC), 0157:H7 cummulative for 2004
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, serogroup non-0157 cummulative for 2005
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, serogroup non-0157 cummulative for 2004
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, not serogrouped cummulative for 2005
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, not serogrouped cummulative for 2004
Giardiasis cummulative for 2005
Giardiasis cummulative for 2004
Gonorrhea cummulative for 2005
Gonorrhea cummulative for 2004

tab delimited data:
test
UNITED STATES	62	92	4	13	15	11	944	1,344	22,167	30,708											
NEW ENGLAND	7	4	-	3	3	1	62	95	488	686											
Maine	-	-	-	-	-	-	8	14	11	27											
N.H.	-	1	-	-	-	-	-	3	12	13											
Vt.	-	-	-	-	-	-	4	5	3	4											
Mass.	3	-	-	2	3	1	49	70	252	282											
R.I.	-	-	-	-	-	-	-	3	43	98											
Conn.	4	3	-	1	-	-	1	-	167	262											
MID. ATLANTIC	5	10	-	-	1	1	195	288	2,486	3,331											
Upstate N.Y.	2	1	-	-	-	-	45	51	429	557											
N.Y. City	-	4	-	-	-	-	52	105	787	1,077											
N.J.	1	-	-	-	-	1	34	37	344	623											
Pa.	2	5	-	-	1	-	64	95	926	1,074											
E.N. CENTRAL	11	24	1	4	4	1	99	233	2,521	6,639											
Ohio	7	9	-	-	3	1	54	81	37	2,119											
Ind.	-	4	-	-	-	-	N	N	807	649											
Ill.	-	3	-	-	-	-	-	76	1,015	1,930											
Mich.	3	5	-	-	1	-	30	49	354	1,539											
Wis.	1	3	1	4	-	-	15	27	308	402											
W.N. CENTRAL	11	11	-	3	1	6	68	104	762	1,808											
Minn.	2	5	-	-	-	-	1	26	58	472											
Iowa	5	-	-	-	-	-	20	20	-	113											
Mo.	2	3	-	3	1	1	23	36	507	836											
N. Dak.	-	-	-	-	-	3	-	1	5	10											
S. Dak.	2	-	-	-	-	-	3	3	37	23											
Nebr.	-	1	-	-	-	-	9	7	-	125											
Kans.	-	2	-	-	-	2	12	11	155	229											
S. ATLANTIC	9	5	1	2	6	2	153	201	6,739	6,783											
Del.	-	-	N	N	N	N	-	1	70	103											
Md.	3	1	1	-	-	-	15	12	640	792											
D.C.	-	-	-	-	-	-	-	7	107	210											
Va.	-	-	-	1	1	-	15	18	885	974											
W. Va.	-	-	-	-	-	-	-	1	80	79											
N.C.	-	-	-	-	4	2	N	N	1,947	1,144											
S.C.	-	-	-	-	-	-	5	1	807	453											
Ga.	2	1	-	-	-	-	54	76	533	1,561											
Fla.	4	3	-	1	1	-	64	85	1,670	1,467											
E.S. CENTRAL	3	3	-	-	-	-	20	24	1,666	2,483											
Ky.	-	1	-	-	-	-	N	N	303	275											
Tenn.	1	-	-	-	-	-	2	10	575	860											
Ala.	2	1	-	-	-	-	18	14	172	775											
Miss.	-	1	-	-	-	-	-	-	616	573											
W.S. CENTRAL	2	6	-	-	-	-	14	27	3,934	4,450											
Ark.	1	-	-	-	-	-	6	12	369	331											
La.	-	-	-	-	-	-	-	6	643	1,480											
Okla.	1	1	-	-	-	-	8	9	471	417											
Tex.	-	5	-	-	-	-	N	N	2,451	2,222											
MOUNTAIN	3	10	2	-	-	-	87	113	1,078	1,342											
Mont.	-	1	-	-	-	-	5	1	3	8											
Idaho	1	1	-	-	-	-	13	18	12	5											
Wyo.	-	-	1	-	-	-	1	1	7	3											
Colo.	1	2	1	-	-	-	28	56	227	325											
N. Mex.	-	1	-	-	-	-	4	5	64	94											
Ariz.	1	1	N	N	N	N	19	-	450	595											
Utah	-	2	-	-	-	-	13	23	53	31											
Nev.	-	2	-	-	-	-	4	9	262	281											
PACIFIC	11	19	-	1	-	-	246	259	2,493	3,186											
Wash.	2	3	-	-	-	-	9	13	240	267											
Oreg.	-	2	-	1	-	-	21	48	116	89											
Calif.	6	11	-	-	-	-	201	188	2,071	2,634											
Alaska	1	-	-	-	-	-	3	5	33	48											
Hawaii	2	3	-	-	-	-	12	5	33	148											
Guam	N	N	-	-	-	-	-	-	-	26											
P.R.	-	-	-	-	-	-	-	-	21	9											
V.I.	-	-	-	-	-	-	-	-	-	18											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2004 and 2005 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


