
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending May 4, 1996 (WEEK 18)*

column labels in same order that data fields appears in each record below:
Reporting Area
Measles (Rubeola), Total cummulative for 1996
Measles (Rubeola), Total cummulative for 1995
Mumps current week
Mumps cummulative for 1996
Mumps cummulative for 1995
Pertussis current week
Pertussis cummulative for 1996
Pertussis cummulative for 1995
Rubella current week
Rubella cummulative for 1996
Rubella cummulative for 1995

tab delimited data:
test
UNITED STATES	98	189	16	211	310	44	870	937	2	63	29										
NEW ENGLAND	6	4	-	-	4	7	159	148	-	8	3										
Maine	-	-	-	-	2	-	8	17	-	-	-										
N.H.	-	-	U	-	-	U	17	8	U	-	1										
Vt.	1	-	-	-	-	-	6	3	-	1	-										
Mass.	4	2	-	-	1	7	125	114	-	5	2										
R.I.	-	2	-	-	-	-	-	-	-	-	-										
Conn.	1	-	-	-	1	-	3	6	-	2	-										
MID. ATLANTIC	4	3	1	26	43	4	82	82	-	4	3										
Upstate N.Y.	-	-	-	7	12	-	44	46	-	3	-										
N.Y. City	3	-	-	4	6	-	13	14	-	1	2										
N.J.	-	3	-	-	7	-	-	6	-	-	1										
Pa.	1	-	1	15	18	4	25	16	-	-	-										
E.N. CENTRAL	5	6	4	55	55	1	127	103	-	3	-										
Ohio	2	-	2	23	18	1	54	36	-	-	-										
Ind.	-	-	-	5	5	-	10	8	-	-	-										
Ill.	-	-	1	11	15	-	46	20	-	1	-										
Mich.	2	4	1	16	17	-	12	27	-	2	-										
Wis.	1	2	-	-	-	-	5	12	-	-	-										
W.N. CENTRAL	5	1	-	2	20	3	37	59	-	1	-										
Minn.	5	-	-	-	2	3	30	22	-	-	-										
Iowa	-	-	-	-	3	-	2	1	-	1	-										
Mo.	-	1	-	-	12	-	1	12	-	-	-										
N. Dak.	-	-	-	2	-	-	-	5	-	-	-										
S. Dak.	-	-	-	-	-	-	1	6	-	-	-										
Nebr.	-	-	-	-	3	-	-	3	-	-	-										
Kans.	-	-	-	-	-	-	3	10	-	-	-										
S. ATLANTIC	2	1	2	21	52	22	99	95	1	11	5										
Del.	1	-	-	-	-	-	7	5	-	-	-										
Md.	1	-	1	9	12	2	37	9	-	-	-										
D.C.	-	-	-	-	-	-	-	2	-	-	-										
Va.	-	-	-	3	12	2	5	7	-	-	-										
W. Va.	-	-	-	-	-	-	2	-	-	-	-										
N.C.	-	-	-	-	16	16	25	49	-	-	-										
S.C.	-	-	-	3	5	1	5	10	1	1	-										
Ga.	-	-	-	1	-	-	2	-	-	-	-										
Fla.	-	1	1	5	7	1	16	13	-	10	5										
E.S. CENTRAL	-	-	-	10	9	-	17	24	-	2	-										
Ky.	-	-	-	-	-	-	5	1	-	-	-										
Tenn.	-	-	-	1	-	-	7	4	-	-	-										
Ala.	-	-	-	4	3	-	1	19	-	-	-										
Miss.	-	-	-	5	6	-	4	-	N	N	N										
W.S. CENTRAL	1	2	1	9	20	1	18	47	-	1	2										
Ark.	-	2	-	-	5	-	2	6	-	-	-										
La.	-	-	1	8	6	1	3	1	-	1	-										
Okla.	-	-	-	-	-	-	4	7	-	-	-										
Tex.	1	-	-	1	9	-	9	33	-	-	2										
MOUNTAIN	7	57	1	18	11	3	113	224	-	1	3										
Mont.	-	-	-	-	-	-	3	3	-	-	-										
Idaho	-	-	-	-	2	3	44	70	-	-	-										
Wyo.	-	-	-	-	-	-	-	-	-	-	-										
Colo.	2	17	1	1	-	-	17	32	-	-	-										
N. Mex.	-	29	N	N	N	-	25	20	-	-	-										
Ariz.	2	10	-	1	1	-	4	93	-	1	3										
Utah	-	-	-	1	1	-	3	5	-	-	-										
Nev.	3	1	-	15	7	-	17	1	-	-	-										
PACIFIC	68	115	7	70	96	3	218	155	1	32	13										
Wash.	4	16	1	8	5	3	72	27	-	1	-										
Oreg.	-	1	N	N	N	-	23	11	-	-	1										
Calif.	1	97	3	47	78	-	115	109	1	29	11										
Alaska	62	-	-	2	12	-	-	-	-	-	-										
Hawaii	1	1	3	13	1	-	8	8	-	2	1										
Guam	-	-	U	2	3	U	-	-	U	-	-										
P.R.	1	3	-	1	1	-	-	5	-	-	-										
V.I.	-	-	U	-	1	U	-	-	U	-	-										
Amer. Samoa	-	-	U	-	-	U	-	-	U	-	-										
C.N.M.I.	-	-	U	-	-	U	-	-	U	-	-										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1995 and 1996 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


