
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending February 5, 2000 (WEEK 05)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 2000
AIDS § cummulative for 1999
Chlamydia† cummulative for 2000
Chlamydia† cummulative for 1999
Cryptosporidiosis cummulative for 2000
Cryptosporidiosis cummulative for 1999
Escherichia coli O157:H7 NETSS cummulative for 2000
Escherichia coli O157:H7 NETSS cummulative for 1999
Escherichia coli O157:H7 PHLIS cummulative for 2000
Escherichia coli O157:H7 PHLIS cummulative for 1999

tab delimited data:
test
UNITED STATES	-	3,075	29,433	62,146	45	88	105	103	34	86											
NEW ENGLAND	-	156	1,903	1,903	2	4	14	17	9	22											
Maine	-	3	112	35	1	1	1	1	-	-											
N.H.	-	3	72	103	-	-	3	-	3	1											
Vt.	-	-	52	37	1	1	1	-	1	-											
Mass.	-	122	906	835	-	2	3	11	1	10											
R.I.	-	9	-	211	-	-	-	-	-	-											
Conn.	-	19	761	682	-	-	6	5	4	11											
MID. ATLANTIC	-	486	438	6,997	4	14	16	6	-	1											
Upstate N.Y.	-	18	N	N	3	2	16	3	-	-											
N.Y. City	-	236	-	3,715	1	10	-	1	-	1											
N.J.	-	158	64	1,107	-	-	-	2	-	-											
Pa.	-	74	374	2,175	-	2	N	N	-	-											
E.N. CENTRAL	-	177	6,015	10,647	5	23	13	24	3	16											
Ohio	-	37	1,212	3,874	4	3	4	14	1	6											
Ind.	-	25	229	967	-	2	1	4	-	3											
Ill.	-	77	1,828	2,555	-	2	5	2	-	2											
Mich.	-	22	1,910	1,997	1	2	3	4	1	2											
Wis.	-	16	836	1,254	-	14	N	N	1	3											
W.N. CENTRAL	-	114	1,579	3,650	2	6	24	18	12	13											
Minn.	-	22	350	802	-	1	7	6	3	8											
Iowa	-	4	36	114	-	-	3	4	1	2											
Mo.	-	73	686	1,512	2	4	14	2	6	1											
N. Dak.	-	-	-	78	-	-	-	-	-	1											
S. Dak.	-	-	112	224	-	-	-	-	-	-											
Nebr.	-	5	201	390	-	-	-	2	1	1											
Kans.	-	10	194	530	-	1	-	4	1	-											
S. ATLANTIC	-	845	5,676	13,798	3	3	9	10	2	7											
Del.	-	13	285	266	-	-	-	-	-	-											
Md.	-	81	415	1,395	1	2	4	1	1	-											
D.C.	-	8	200	N	-	1	-	-	U	U											
Va.	-	54	857	1,473	-	-	1	4	-	2											
W. Va.	-	10	-	235	-	-	-	-	1	1											
N.C.	-	68	1,634	2,088	-	-	2	2	-	2											
S.C.	-	56	669	2,710	-	-	-	1	-	1											
Ga.	-	110	661	2,653	-	-	-	-	U	U											
Fla.	-	445	955	2,978	2	-	2	2	-	1											
E.S. CENTRAL	-	155	2,787	3,320	3	1	5	9	-	3											
Ky.	-	15	588	572	-	1	2	3	U	U											
Tenn.	-	62	1,168	1,300	-	-	2	3	-	2											
Ala.	-	30	693	1,211	3	-	1	1	-	1											
Miss.	-	48	338	237	-	-	-	2	-	-											
W.S. CENTRAL	-	530	2,961	7,992	2	4	4	1	4	5											
Ark.	-	19	298	448	1	-	2	-	-	2											
La.	-	26	-	784	-	-	-	-	3	1											
Okla.	-	6	711	925	-	-	-	-	-	-											
Tex.	-	479	1,952	5,835	1	4	2	1	1	2											
MOUNTAIN	-	45	1,833	3,343	5	9	11	5	2	4											
Mont.	-	-	-	60	-	-	5	-	-	-											
Idaho	-	4	64	165	1	1	-	-	-	-											
Wyo.	-	-	60	62	-	-	1	1	-	1											
Colo.	-	26	343	729	-	-	3	2	1	1											
N. Mex.	-	4	34	526	-	4	-	-	-	-											
Ariz.	-	4	916	1,334	2	4	1	1	1	-											
Utah	-	4	295	180	N	N	-	1	-	2											
Nev.	-	3	121	287	-	-	1	-	-	-											
PACIFIC	-	567	6,241	10,496	19	24	9	13	2	15											
Wash.	-	28	1,230	1,188	N	N	1	-	1	4											
Oreg.	-	15	374	466	1	3	1	7	1	6											
Calif.	-	509	4,445	8,357	18	21	6	6	-	5											
Alaska	-	5	192	186	-	-	-	-	-	-											
Hawaii	-	10	-	299	-	-	1	-	-	-											
Guam	-	1	-	46	-	-	N	N	U	U											
P.R.	-	92	113	U	-	-	-	1	U	U											
V.I.	-	-	-	U	-	U	-	U	U	U											
Amer. Samoa	-	-	-	U	-	U	-	U	U	U											
C.N.M.I.	-	-	-	U	-	U	-	U	U	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1999 and 2000 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


