
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending May 15, 2010 (WEEK 19)*

column labels in same order that data fields appears in each record below:
Reporting Area
Meningococcal diseases, invasive †, All groups current week
Meningococcal diseases, invasive †, All groups previous 52 weeks median 
Meningococcal diseases, invasive †, All groups previous 52 weeks maximum 
Meningococcal diseases, invasive †, All groups cummulative for 2010
Meningococcal diseases, invasive †, All groups cummulative for 2009
Pertussis current week
Pertussis previous 52 weeks median 
Pertussis previous 52 weeks maximum 
Pertussis cummulative for 2010
Pertussis cummulative for 2009
Rabies, animal current week
Rabies, animal previous 52 weeks median 
Rabies, animal previous 52 weeks maximum 
Rabies, animal cummulative for 2010
Rabies, animal cummulative for 2009

tab delimited data:
test
UNITED STATES	14	16	42	303	439	116	271	1,746	3,256	4,754	21	63	114	859	1,354						
NEW ENGLAND	1	0	2	4	16	-	7	24	29	240	1	5	24	79	117						
Conn.	-	0	2	-	2	-	1	4	14	13	-	1	22	36	44						
Maine	1	0	1	1	2	-	0	10	5	31	-	1	4	19	18						
Mass.	-	0	1	-	9	-	4	12	-	158	-	0	0	-	-						
N.H.	-	0	1	-	1	-	1	7	3	24	-	0	3	3	16						
R.I.	-	0	1	-	1	-	0	8	4	8	-	0	5	3	13						
Vt.	-	0	1	3	1	-	0	1	3	6	1	1	5	18	26						
MID. ATLANTIC	-	2	4	30	48	10	20	42	225	421	9	10	23	220	211						
N.J.	-	0	2	8	6	-	4	10	28	96	-	0	0	-	-						
N.Y. (Upstate)	-	0	3	6	9	7	5	27	92	65	9	9	22	160	109						
N.Y. City	-	0	2	7	10	-	0	11	3	35	-	0	11	60	2						
Pa.	-	1	2	9	23	3	9	22	102	225	-	0	0	-	100						
E.N. CENTRAL	1	3	7	45	78	55	54	105	809	964	3	2	19	17	28						
Ill.	-	0	4	7	19	-	9	29	104	247	-	1	9	5	13						
Ind.	-	0	3	11	17	-	6	16	60	116	-	0	7	-	4						
Mich.	-	0	5	7	11	9	16	41	255	204	2	1	6	7	11						
Ohio	1	1	2	17	19	46	19	49	385	346	1	0	5	5	-						
Wis.	-	0	1	3	12	-	2	12	5	51	N	0	0	N	N						
W.N. CENTRAL	1	1	6	19	33	7	26	626	241	866	3	6	14	74	119						
Iowa	-	0	2	3	3	-	4	12	62	70	-	0	4	-	9						
Kans.	-	0	2	1	6	-	3	12	40	83	-	1	4	22	37						
Minn.	-	0	2	2	8	6	0	601	6	168	1	0	9	13	18						
Mo.	-	0	3	8	10	-	12	35	102	452	1	1	5	15	13						
Nebr.	1	0	2	5	3	1	2	5	28	81	1	1	6	21	34						
N. Dak.	-	0	1	-	-	-	0	12	-	2	-	0	7	3	4						
S. Dak.	-	0	2	-	3	-	1	6	3	10	-	0	1	-	4						
S. ATLANTIC	3	2	7	63	87	9	22	63	311	508	2	25	43	350	687						
Del.	-	0	1	1	2	-	0	2	-	5	-	0	0	-	-						
D.C.	-	0	0	-	-	-	0	1	2	3	-	0	0	-	-						
Fla.	2	1	5	34	28	6	6	29	78	164	-	0	30	51	161						
Ga.	1	0	2	6	14	-	4	8	64	101	-	5	16	-	164						
Md.	-	0	1	2	3	-	3	8	41	46	-	8	15	130	131						
N.C.	-	0	2	5	23	-	1	9	-	76	N	0	4	N	N						
S.C.	-	0	1	4	5	1	4	18	77	55	-	0	0	-	-						
Va.	-	0	2	10	8	2	4	15	42	53	-	10	26	141	195						
W. Va.	-	0	2	1	4	-	0	6	7	5	2	2	6	28	36						
E.S. CENTRAL	1	0	4	15	19	-	16	31	255	281	2	1	7	42	58						
Ala.	-	0	2	3	4	-	5	19	66	83	2	0	4	13	-						
Ky.	-	0	2	5	3	-	4	15	93	90	-	0	2	-	22						
